sourcecontrol_id,control_identifier,control_name,sp800_53_family,catalog,source_document
CP-04,CP-04,Contingency Plan Testing,CP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CP-04(01),CP-04(01),Contingency Plan Testing | Coordinate Related Plans,CP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CP-06,CP-06,Alternate Storage Site,CP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CP-06(01),CP-06(01),Alternate Storage Site | Separation of Primary Site,CP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CP-06(03),CP-06(03),Alternate Storage Site | Accessibility,CP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CP-07,CP-07,Alternate Processing Site,CP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CP-07(01),CP-07(01),Alternate Processing Site | Separation of Primary Site,CP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CP-07(02),CP-07(02),Alternate Processing Site | Accessibility,CP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CP-07(03),CP-07(03),Alternate Processing Site | Priority of Service,CP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CP-08,CP-08,Telecommunications Services,CP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CP-08(01),CP-08(01),Telecommunications Services | Priority of Service Provisions,CP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CP-08(02),CP-08(02),Telecommunications Services | Single Points of Failure,CP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CP-09,CP-09,System Backup,CP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CP-09(01),CP-09(01),System Backup | Testing for Reliability and Integrity,CP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CP-09(08),CP-09(08),System Backup | Cryptographic Protection,CP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CP-10,CP-10,System Recovery and Reconstitution,CP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
CP-10(02),CP-10(02),System Recovery and Reconstitution | Transaction Recovery,CP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IA-01,IA-01,Policy and Procedures,IA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IA-02,IA-02,Identification and Authentication (Organizational Users),IA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IA-02(01),IA-02(01),Identification and Authentication (Organizational Users) | Multi- Factor Authentication to Privileged Accounts,IA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IA-02(02),IA-02(02),Identification and Authentication (Organizational Users) | Multi- Factor Authentication to Non-Privileged Accounts,IA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IA-02(08),IA-02(08),Identification and Authentication (Organizational Users) | Access to Accounts – Replay Resistant,IA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IA-02(12),IA-02(12),Identification and Authentication (Organizational Users) | Acceptance of PIV Credentials,IA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IA-03,IA-03,Device Identification and Authentication,IA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IA-04,IA-04,Identifier Management,IA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IA-04(04),IA-04(04),Identifier Management | Identify User Status,IA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IA-05,IA-05,Authenticator Management,IA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IA-05(01),IA-05(01),Authenticator Management | Password-Based Authentication,IA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IA-05(02),IA-05(02),Authenticator Management | Public Key-Based Authentication,IA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IA-05(06),IA-05(06),Authenticator Management | Protection of Authenticators,IA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IA-06,IA-06,Authentication Feedback,IA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IA-07,IA-07,Cryptographic Module Authentication,IA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IA-08,IA-08,Identification and Authentication (Non-Organizational Users),IA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IA-08(01),IA-08(01),Identification and Authentication (Non-Organizational Users) | Acceptance of PIV Credentials From Other Agencies,IA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IA-08(02),IA-08(02),Identification and Authentication (Non-Organizational Users) | Acceptance of External Authenticators,IA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IA-08(04),IA-08(04),Identification and Authentication (Non-Organizational Users) | Use of Defined Profiles,IA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IA-11,IA-11,Re-Authentication,IA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IA-12,IA-12,Identity Proofing,IA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IA-12(02),IA-12(02),Identity Proofing | Identity Evidence,IA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IA-12(03),IA-12(03),Identity Proofing | Identity Evidence Validation and Verification,IA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IA-12(05),IA-12(05),Identity Proofing | Address Confirmation,IA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IR-01,IR-01,Policy and Procedures,IR,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IR-02,IR-02,Incident Response Training,IR,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IR-03,IR-03,Incident Response Testing,IR,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IR-03(02),IR-03(02),Incident Response Testing | Coordinate With Related Plans,IR,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IR-04,IR-04,Incident Handling,IR,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IR-04(01),IR-04(01),Incident Handling | Automated Incident Handling Processes,IR,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IR-05,IR-05,Incident Monitoring,IR,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IR-06,IR-06,Incident Reporting,IR,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IR-06(01),IR-06(01),Incident Reporting | Automated Reporting,IR,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IR-06(03),IR-06(03),Incident Reporting | Supply Chain Coordination,IR,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IR-07,IR-07,Incident Response Assistance,IR,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IR-07(01),IR-07(01),Incident Response Assistance | Automation Support for Availability of Information and Support,IR,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
IR-08,IR-08,Incident Response Plan,IR,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
MA-01,MA-01,System Maintenance Policy and Procedures,MA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
MA-02,MA-02,Controlled Maintenance,MA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
MA-03,MA-03,Maintenance Tools,MA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
MA-03(01),MA-03(01),Maintenance Tools | Inspect Tools,MA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
MA-03(02),MA-03(02),Maintenance Tools | Inspect Media,MA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
MA-03(03),MA-03(03),Maintenance Tools | Prevent Unauthorized Removal,MA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
MA-04,MA-04,Nonlocal Maintenance,MA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
MA-05,MA-05,Maintenance Personnel,MA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
MA-06,MA-06,Timely Maintenance,MA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
MP-01,MP-01,Policy and Procedures,MP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
MP-02,MP-02,Media Access,MP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
MP-03,MP-03,Media Marking,MP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
MP-04,MP-04,Media Storage,MP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
MP-05,MP-05,Media Transport,MP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
MP-06,MP-06,Media Sanitization,MP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
MP-07,MP-07,Media Use,MP,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PE-01,PE-01,Policy and Procedures,PE,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PE-02,PE-02,Physical Access Authorizations,PE,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PE-03,PE-03,Physical Access Control,PE,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PE-04,PE-04,Access Control for Transmission,PE,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PE-05,PE-05,Access Control for Output Devices,PE,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PE-06,PE-06,Monitoring Physical Access,PE,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PE-06(01),PE-06(01),Monitoring Physical Access | Intrusion Alarms and Surveillance Equipment,PE,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PE-08,PE-08,Visitor Access Records,PE,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PE-09,PE-09,Power Equipment and Cabling,PE,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PE-10,PE-10,Emergency Shutoff,PE,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PE-11,PE-11,Emergency Power,PE,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PE-12,PE-12,Emergency Lighting,PE,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PE-13,PE-13,Fire Protection,PE,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PE-13(01),PE-13(01),Fire Protection | Detection Systems – Automatic Activation and Notification,PE,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PE-14,PE-14,Environmental Controls,PE,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PE-15,PE-15,Water Damage Protection,PE,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PE-16,PE-16,Delivery and Removal,PE,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PE-17,PE-17,Alternate Work Site,PE,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PL-01,PL-01,Policy and Procedures,PL,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PL-02,PL-02,System Security and Privacy Plans,PL,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PL-04,PL-04,Rules of Behavior,PL,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PL-04(01),PL-04(01),Rules of Behavior | Social Media and External Site/Application Usage Restrictions,PL,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PL-08,PL-08,Security and Privacy Architectures,PL,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PL-10,PL-10,Baseline Selection,PL,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PL-11,PL-11,Baseline Tailoring,PL,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-01,PM-01,Information Security Program Plan,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-02,PM-02,Information Security Program Leadership Role,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-03,PM-03,Information Security and Privacy Resources,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-04,PM-04,Plan of Action and Milestones Process,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-05,PM-05,System Inventory,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-05(01),PM-05(01),System Inventory | Inventory of Personally Identifiable Information,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-06,PM-06,Measures of Performance,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
