control_id,control_name,control_text,domain_identifier,pptdf_scope,control_question,relative_weighting,nist_csf_function,is_new_control,is_mcr,is_dsr,control_type
DCH-05.2,Attribute Value Changes By Authorized Individuals,Mechanisms exist to provide authorized individuals (or processes acting on behalf of individuals) the capability to define or change the value of associated cybersecurity & data privacy attributes.,DCH,Technology,Does the organization provide authorized individuals (or processes acting on behalf of individuals) the capability to define or change the value of associated cybersecurity & data privacy attributes?,8,Protect,No,No,No,SCF
DCH-05.3,Maintenance of Attribute Associations By System,Mechanisms exist to maintain the association and integrity of cybersecurity & data privacy attributes to individuals and objects.,DCH,Technology,Does the organization maintain the association and integrity of cybersecurity & data privacy attributes to individuals and objects?,2,Protect,No,No,No,SCF
DCH-05.4,Association of Attributes By Authorized Individuals,Mechanisms exist to provide the capability to associate cybersecurity & data privacy attributes with individuals and objects by authorized individuals (or processes acting on behalf of individuals).,DCH,Technology,Does the organization provide the capability to associate cybersecurity & data privacy attributes with individuals and objects by authorized individuals (or processes acting on behalf of individuals)?,2,Protect,No,No,No,SCF
DCH-05.5,Attribute Displays for Output Devices,"Mechanisms exist to display cybersecurity & data privacy attributes in human-readable form on each object that the system transmits to output devices to identify special dissemination, handling or distribution instructions using human-readable, standard naming conventions.",DCH,Technology,"Does the organization display cybersecurity & data privacy attributes in human-readable form on each object that the system transmits to output devices to identify special dissemination, handling or distribution instructions using human-readable, standard naming conventions?",8,Protect,No,No,No,SCF
DCH-05.6,Data Subject Attribute Associations,Mechanisms exist to require personnel to associate and maintain the association of cybersecurity & data privacy attributes with individuals and objects in accordance with cybersecurity and data privacy policies.,DCH,Process,Does the organization require personnel to associate and maintain the association of cybersecurity & data privacy attributes with individuals and objects in accordance with cybersecurity and data privacy policies?,2,Protect,No,No,No,SCF
DCH-05.7,Consistent Attribute Interpretation,"Mechanisms exist to provide a consistent, organizationally agreed upon interpretation of cybersecurity & data privacy attributes employed in access enforcement and flow enforcement decisions between distributed system components.",DCH,Technology,"Does the organization provide a consistent, organizationally agreed upon interpretation of cybersecurity & data privacy attributes employed in access enforcement and flow enforcement decisions between distributed system components?",2,Protect,No,No,No,SCF
DCH-05.8,Identity Association Techniques & Technologies,Mechanisms exist to associate cybersecurity & data privacy attributes to information.,DCH,Technology,Does the organization associate cybersecurity & data privacy attributes to information?,2,Protect,No,No,No,SCF
DCH-05.9,Attribute Reassignment,"Mechanisms exist to reclassify data as required, due to changing business/technical requirements.",DCH,Technology,"Does the organization reclassify data as required, due to changing business/technical requirements?",7,Protect,No,No,No,SCF
DCH-06,Media Storage,"Mechanisms exist to: 
(1) Physically control and securely store digital and non-digital media within controlled areas using organization-defined security measures; and
(2) Protect system media until the media are destroyed or sanitized using approved equipment, techniques and procedures.",DCH,Data,"Does the organization: 
 (1) Physically control and securely store digital and non-digital media within controlled areas using organization-defined security measures; and
 (2) Protect system media until the media are destroyed or sanitized using approved equipment, techniques and procedures?",8,Protect,No,No,No,SCF
DCH-06.1,Physically Secure All Media,Mechanisms exist to physically secure all media that contains sensitive information.,DCH,Data,Does the organization physically secure all media that contains sensitive information?,9,Protect,No,No,No,SCF
DCH-06.2,Sensitive Data Inventories,Mechanisms exist to maintain inventory logs of all sensitive media and conduct sensitive media inventories at least annually. ,DCH,Data,Does the organization maintain inventory logs of all sensitive media and conduct sensitive media inventories at least annually? ,9,Detect,No,No,No,SCF
DCH-06.3,Periodic Scans for Sensitive / Regulated Data,"Mechanisms exist to periodically scan unstructured data sources for sensitive/regulated data or data requiring special protection measures by statutory, regulatory or contractual obligations. ",DCH,Technology,"Does the organization periodically scan unstructured data sources for sensitive/regulated data or data requiring special protection measures by statutory, regulatory or contractual obligations? ",7,Detect,No,No,No,SCF
DCH-06.4,Making Sensitive Data Unreadable In Storage,Mechanisms exist to ensure sensitive/regulated data is rendered human unreadable anywhere sensitive/regulated data is stored. ,DCH,Data,Does the organization ensure sensitive/regulated data is rendered human unreadable anywhere sensitive/regulated data is stored? ,9,Protect,No,No,No,SCF
DCH-06.5,Storing Authentication Data,Mechanisms exist to prohibit the storage of sensitive transaction authentication data after authorization. ,DCH,Data,Does the organization prohibit the storage of sensitive transaction authentication data after authorization? ,5,Protect,No,No,No,SCF
DCH-07,Media Transportation ,Mechanisms exist to protect and control digital and non-digital media during transport outside of controlled areas using appropriate security measures.,DCH,Data,Does the organization protect and control digital and non-digital media during transport outside of controlled areas using appropriate security measures?,9,Protect,No,No,No,SCF
DCH-07.1,Custodians,Mechanisms exist to identify custodians throughout the transport of digital or non-digital media. ,DCH,Data,Does the organization identify custodians throughout the transport of digital or non-digital media? ,9,Protect,No,No,No,SCF
DCH-07.2,Encrypting Data In Storage Media,Cryptographic mechanisms exist to protect the confidentiality and integrity of information stored on digital media during transport outside of controlled areas.,DCH,Data,Are cryptographic mechanisms utilized to protect the confidentiality and integrity of information stored on digital media during transport outside of controlled areas?,5,Protect,No,No,No,SCF
DCH-08,Physical Media Disposal,"Mechanisms exist to securely dispose of media when it is no longer required, using formal procedures. ",DCH,Data,"Does the organization securely dispose of media when it is no longer required, using formal procedures? ",10,Protect,No,No,No,SCF
DCH-09,System Media Sanitization,"Mechanisms exist to sanitize system media with the strength and integrity commensurate with the classification or sensitivity of the information prior to disposal, release out of organizational control or release for reuse.",DCH,Data,"Does the organization sanitize system media with the strength and integrity commensurate with the classification or sensitivity of the information prior to disposal, release out of organizational control or release for reuse?",10,Protect,No,No,No,SCF
DCH-09.1,System Media Sanitization Documentation,"Mechanisms exist to supervise, track, document and verify system media sanitization and disposal actions. ",DCH,Data,"Does the organization supervise, track, document and verify system media sanitization and disposal actions? ",7,Protect,No,No,No,SCF
DCH-09.2,Equipment Testing,Mechanisms exist to test sanitization equipment and procedures to verify that the intended result is achieved. ,DCH,Technology,Does the organization test sanitization equipment and procedures to verify that the intended result is achieved? ,5,Detect,No,No,No,SCF
DCH-09.3,Sanitization of Personal Data (PD),Mechanisms exist to facilitate the sanitization of Personal Data (PD).,DCH,Data,Does the organization facilitate the sanitization of Personal Data (PD)?,9,Protect,No,No,No,SCF
DCH-09.4,First Time Use Sanitization,Mechanisms exist to apply nondestructive sanitization techniques to portable storage devices prior to first use.,DCH,Technology,Does the organization apply nondestructive sanitization techniques to portable storage devices prior to first use?,5,Protect,No,No,No,SCF
DCH-09.5,Dual Authorization for Sensitive Data Destruction,"Mechanisms exist to enforce dual authorization for the destruction, disposal or sanitization of digital media that contains sensitive / regulated data.",DCH,Process,"Does the organization enforce dual authorization for the destruction, disposal or sanitization of digital media that contains sensitive / regulated data?",5,Protect,No,No,No,SCF
DCH-10,Media Use,Mechanisms exist to restrict the use of types of digital media on systems or system components. ,DCH,Technology,Does the organization restrict the use of types of digital media on systems or system components? ,8,Protect,No,No,No,SCF
DCH-10.1,Limitations on Use ,Mechanisms exist to restrict the use and distribution of sensitive / regulated data. ,DCH,Technology,Does the organization restrict the use and distribution of sensitive / regulated data? ,10,Protect,No,No,No,SCF
DCH-10.2,Prohibit Use Without Owner,Mechanisms exist to prohibit the use of portable storage devices in organizational information systems when such devices have no identifiable owner.,DCH,Technology,Does the organization prohibit the use of portable storage devices in organizational information systems when such devices have no identifiable owner?,5,Protect,No,No,No,SCF
DCH-11,Data Reclassification ,"Mechanisms exist to reclassify data, including associated systems, applications and services, commensurate with the security category and/or classification level of the information.",DCH,Data,"Does the organization reclassify data, including associated systems, applications and services, commensurate with the security category and/or classification level of the information?",8,Protect,No,No,No,SCF
DCH-12,Removable Media Security,Mechanisms exist to restrict removable media in accordance with data handling and acceptable usage parameters.,DCH,Data,Does the organization restrict removable media in accordance with data handling and acceptable usage parameters?,10,Protect,No,No,No,SCF
DCH-13,Use of External Information Systems ,"Mechanisms exist to govern how external parties, systems and services are used to securely store, process and transmit data. ",DCH,Technology,"Does the organization govern how external parties, systems and services are used to securely store, process and transmit data? ",9,Protect,No,No,No,SCF
DCH-13.1,Limits of Authorized Use ,"Mechanisms exist to prohibit external parties, systems and services from storing, processing and transmitting data unless authorized individuals first: 
(1) Verifying the implementation of required security controls; or
(2) Retaining a processing agreement with the entity hosting the external systems or service.",DCH,Technology,"Does the organization prohibit external parties, systems and services from storing, processing and transmitting data unless authorized individuals first: 
 (1) Verifying the implementation of required security controls; or
 (2) Retaining a processing agreement with the entity hosting the external systems or service?",8,Protect,No,No,No,SCF
DCH-13.2,Portable Storage Devices,Mechanisms exist to restrict or prohibit the use of portable storage devices by users on external systems. ,DCH,Technology,Does the organization restrict or prohibit the use of portable storage devices by users on external systems? ,9,Protect,No,No,No,SCF
DCH-13.3,Protecting Sensitive Data on External Systems,"Mechanisms exist to ensure that the requirements for the protection of sensitive information processed, stored or transmitted on external systems, are implemented in accordance with applicable statutory, regulatory and contractual obligations.",DCH,Data,"Does the organization ensure that the requirements for the protection of sensitive information processed, stored or transmitted on external systems, are implemented in accordance with applicable statutory, regulatory and contractual obligations?",10,Protect,No,No,No,SCF
DCH-13.4,Non-Organizationally Owned Systems / Components / Devices,"Mechanisms exist to restrict the use of non-organizationally owned information systems, system components or devices to process, store or transmit organizational information.",DCH,Technology,"Does the organization restrict the use of non-organizationally owned information systems, system components or devices to process, store or transmit organizational information?",5,Protect,No,No,No,SCF
DCH-14,Information Sharing ,Mechanisms exist to utilize a process to assist users in making information sharing decisions to ensure data is appropriately protected.,DCH,Process,Does the organization utilize a process to assist users in making information sharing decisions to ensure data is appropriately protected?,9,Protect,No,No,No,SCF
DCH-14.1,Information Search & Retrieval,Mechanisms exist to ensure information systems implement data search and retrieval functions that properly enforce data protection / sharing restrictions.,DCH,Technology,Does the organization ensure information systems implement data search and retrieval functions that properly enforce data protection / sharing restrictions?,5,Protect,No,No,No,SCF
DCH-14.2,Transfer Authorizations,"Mechanisms exist to verify that individuals or systems transferring data between interconnecting systems have the requisite authorizations (e.g., write permissions or privileges) prior to transferring said data.",DCH,Process,"Does the organization verify that individuals or systems transferring data between interconnecting systems have the requisite authorizations (e.g., write permissions or privileges) prior to transferring said data?",8,Protect,No,No,No,SCF
DCH-14.3,Data Access Mapping,Mechanisms exist to leverage data-specific Access Control Lists (ACL) or Interconnection Security Agreements (ISAs) to generate a logical map of the parties with whom sensitive/regulated data is shared.,DCH,Data,Does the organization leverage data-specific Access Control Lists (ACL) or Interconnection Security Agreements (ISAs) to generate a logical map of the parties with whom sensitive/regulated data is shared?,9,Identify,No,No,No,SCF
DCH-15,Publicly Accessible Content,Mechanisms exist to control publicly-accessible content.,DCH,Data,Does the organization control publicly-accessible content?,10,Protect,No,No,No,SCF
DCH-16,Data Mining Protection,Mechanisms exist to protect data storage objects against unauthorized data mining and data harvesting techniques. ,DCH,Data,Does the organization protect data storage objects against unauthorized data mining and data harvesting techniques? ,7,Protect,No,No,No,SCF
DCH-17,Ad-Hoc Transfers ,Mechanisms exist to secure ad-hoc exchanges of large digital files with internal or external parties.,DCH,Data,Does the organization secure ad-hoc exchanges of large digital files with internal or external parties?,8,Protect,No,No,No,SCF
DCH-18,Media & Data Retention ,"Mechanisms exist to retain media and data in accordance with applicable statutory, regulatory and contractual obligations. ",DCH,Data,"Does the organization retain media and data in accordance with applicable statutory, regulatory and contractual obligations? ",8,Protect,No,No,No,SCF
DCH-18.1,Minimize Sensitive / Regulated Data,"Mechanisms exist to minimize sensitive/regulated data that is collected, received, processed, stored and/or transmitted throughout the information lifecycle to only those elements necessary to support necessary business processes.",DCH,Data,"Does the organization minimize sensitive/regulated data that is collected, received, processed, stored and/or transmitted throughout the information lifecycle to only those elements necessary to support necessary business processes?",8,Protect,No,No,No,SCF
DCH-18.2,"Limit Sensitive / Regulated Data In Testing, Training & Research","Mechanisms exist to minimize the use of sensitive/regulated data for research, testing, or training, in accordance with authorized, legitimate business practices.",DCH,Data,"Does the organization minimize the use of Personal Data (PD) for research, testing, or training, in accordance with the Data Protection Impact Assessment (DPIA)?",8,Protect,No,No,No,SCF
DCH-18.3,Temporary Files Containing Personal Data (PD),Mechanisms exist to perform periodic checks of temporary files for the existence of Personal Data (PD).,DCH,Data,Does the organization perform periodic checks of temporary files for the existence of Personal Data (PD)?,5,Protect,No,No,No,SCF
DCH-19,Geographic Location of Data,"Mechanisms exist to inventory, document and maintain data flows for data that is resident (permanently or temporarily) within a service's geographically distributed applications (physical and virtual), infrastructure, systems components and/or shared with other third-parties.",DCH,Data,"Does the organization inventory, document and maintain data flows for data that is resident (permanently or temporarily) within a service's geographically distributed applications (physical and virtual), infrastructure, systems components and/or shared with other third-parties?",9,Identify,No,No,No,SCF
DCH-20,Archived Data Sets ,"Mechanisms exist to protect archived data in accordance with applicable statutory, regulatory and contractual obligations. ",DCH,Data,"Does the organization protect archived data in accordance with applicable statutory, regulatory and contractual obligations? ",8,Protect,No,No,No,SCF
DCH-21,Information Disposal,"Mechanisms exist to securely dispose of, destroy or erase information.",DCH,Data,"Does the organization securely dispose of, destroy or erase information?",10,Protect,No,No,No,SCF
DCH-22,Data Quality Operations,"Mechanisms exist to check for Redundant, Obsolete/Outdated, Toxic or Trivial (ROTT) data to ensure the accuracy, relevance, timeliness, impact, completeness and de-identification of information throughout the information lifecycle.",DCH,Data,"Does the organization check for Redundant, Obsolete/Outdated, Toxic or Trivial (ROTT) data to ensure the accuracy, relevance, timeliness, impact, completeness and de-identification of information throughout the information lifecycle.",5,Protect,No,No,No,SCF
DCH-22.1,Updating & Correcting Personal Data (PD),"Mechanisms exist to utilize technical controls to correct Personal Data (PD) that is inaccurate or outdated, incorrectly determined regarding impact, or incorrectly de-identified.",DCH,Data,"Does the organization utilize technical controls to correct Personal Data (PD) that is inaccurate or outdated, incorrectly determined regarding impact, or incorrectly de-identified?",6,Protect,No,No,No,SCF
DCH-22.2,Data Tags,Mechanisms exist to utilize data tags to automate tracking of sensitive/regulated data across the information lifecycle.,DCH,Data,Does the organization utilize data tags to automate tracking of sensitive/regulated data across the information lifecycle?,3,Protect,No,No,No,SCF
DCH-22.3,Primary Source Personal Data (PD) Collection,Mechanisms exist to collect Personal Data (PD) directly from the individual. ,DCH,Data,Does the organization collect Personal Data (PD) directly from the individual? ,8,Identify,No,No,No,SCF
DCH-23,De-Identification (Anonymization),Mechanisms exist to anonymize data by removing Personal Data (PD) from datasets.,DCH,Data,Does the organization anonymize data by removing Personal Data (PD) from datasets?,8,Protect,No,No,No,SCF
DCH-23.1,De-Identify Dataset Upon Collection,Mechanisms exist to de-identify the dataset upon collection by not collecting Personal Data (PD).,DCH,Data,Does the organization de-identify the dataset upon collection by not collecting Personal Data (PD)?,8,Protect,No,No,No,SCF
DCH-23.2,Archiving,Mechanisms exist to refrain from archiving Personal Data (PD) elements if those elements in a dataset will not be needed after the dataset is archived.,DCH,Data,Does the organization refrain from archiving Personal Data (PD) elements if those elements in a dataset will not be needed after the dataset is archived?,8,Protect,No,No,No,SCF
DCH-23.3,Release,Mechanisms exist to remove Personal Data (PD) elements from a dataset prior to its release if those elements in the dataset do not need to be part of the data release.,DCH,Data,Does the organization remove Personal Data (PD) elements from a dataset prior to its release if those elements in the dataset do not need to be part of the data release?,8,Protect,No,No,No,SCF
DCH-23.4,"Removal, Masking, Encryption, Hashing or Replacement of Direct Identifiers","Mechanisms exist to remove, mask, encrypt, hash or replace direct identifiers in a dataset.",DCH,Data,"Does the organization remove, mask, encrypt, hash or replace direct identifiers in a dataset?",8,Protect,No,No,No,SCF
DCH-23.5,Statistical Disclosure Control,"Mechanisms exist to manipulate numerical data, contingency tables and statistical findings so that no person or organization is identifiable in the results of the analysis.",DCH,Process,"Does the organization manipulate numerical data, contingency tables and statistical findings so that no person or organization is identifiable in the results of the analysis?",1,Protect,No,No,No,SCF
DCH-23.6,Differential Data Privacy,Mechanisms exist to prevent disclosure of Personal Data (PD) by adding non-deterministic noise to the results of mathematical operations before the results are reported.,DCH,Data,Does the organization prevent disclosure of Personal Data (PD) by adding non-deterministic noise to the results of mathematical operations before the results are reported?,1,Protect,No,No,No,SCF
DCH-23.7,Automated De-Identification of Sensitive Data,"Mechanisms exist to perform de-identification of sensitive/regulated data, using validated algorithms and software to implement the algorithms.",DCH,Technology,"Does the organization perform de-identification of sensitive/regulated data, using validated algorithms and software to implement the algorithms?",1,Protect,No,No,No,SCF
DCH-23.8,Motivated Intruder,Mechanisms exist to perform a motivated intruder test on the de-identified dataset to determine if the identified data remains or if the de-identified data can be re-identified.,DCH,Data,Does the organization perform a motivated intruder test on the de-identified dataset to determine if the identified data remains or if the de-identified data can be re-identified?,3,Protect,No,No,No,SCF
DCH-23.9,Code Names,"Mechanisms exist to use aliases to name assets, which are mission-critical and/or contain highly-sensitive/regulated data, are unique and not readily associated with a product, project or type of data.",DCH,Data,"Does the organization use aliases to name assets, which are mission-critical and/or contain highly-sensitive/regulated data, are unique and not readily associated with a product, project or type of data?",1,Protect,No,No,No,SCF
DCH-24,Information Location,Mechanisms exist to identify and document the location of information and the specific system components on which the information resides.,DCH,Data,Does the organization identify and document the location of information and the specific system components on which the information resides?,10,Identify,No,No,No,SCF
DCH-24.1,Automated Tools to Support Information Location,Automated mechanisms exist to identify by data classification type to ensure adequate cybersecurity & data privacy controls are in place to protect organizational information and individual data privacy.,DCH,Technology,Does the organization use automated mechanisms to identify by data classification type to ensure adequate cybersecurity & data privacy controls are in place to protect organizational information and individual data privacy?,6,Identify,No,No,No,SCF
DCH-25,Transfer of Sensitive and/or Regulated Data,Mechanisms exist to restrict and govern the transfer of sensitive and/or regulated data to third-countries or international organizations.,DCH,Data,Does the organization restrict and govern the transfer of sensitive and/or regulated data to third-countries or international organizations?,10,Protect,No,No,No,SCF
DCH-25.1,Transfer Activity Limits,"Mechanisms exist to establish organization-defined ""normal business activities"" to identify anomalous transaction activities that can reduce the opportunity for sending (outbound) and/or receiving (inbound) fraudulent actions.",DCH,Process,"Does the organization establish organization-defined ""normal business activities"" to identify anomalous transaction activities that can reduce the opportunity for sending (outbound) and/or receiving (inbound) fraudulent actions?",7,Protect,No,No,No,SCF
DCH-26,Data Localization,"Mechanisms exist to constrain the impact of ""digital sovereignty laws,"" that require localized data within the host country, where data and processes may be subjected to arbitrary enforcement actions that potentially violate other applicable statutory, regulatory and/or contractual obligations.",DCH,Data,"Does the organization constrain the impact of ""digital sovereignty laws,"" that require localized data within the host country, where data and processes may be subjected to arbitrary enforcement actions that potentially violate other applicable statutory, regulatory and/or contractual obligations?",10,Protect,No,No,No,SCF
DCH-27,Data Rights Management (DRM),"Mechanisms exist to utilize Data Rights Management (DRM), or similar technologies, to protect Intellectual Property (IP) rights by preventing the unauthorized distribution and/or modification of sensitive IP.",DCH,Data,"Does the organization utilize Data Rights Management (DRM), or similar technologies, to protect Intellectual Property (IP) rights by preventing the unauthorized distribution and/or modification of sensitive IP?",6,Protect,No,No,No,SCF
EMB-01,Embedded Technology Security Program ,Mechanisms exist to facilitate the implementation of embedded technology controls. ,EMB,Technology,Does the organization facilitate the implementation of embedded technology controls? ,10,Protect,No,No,No,SCF
EMB-02,Internet of Things (IOT) ,Mechanisms exist to proactively manage the cybersecurity & data privacy risks associated with Internet of Things (IoT).,EMB,Technology,Does the organization proactively manage the cybersecurity & data privacy risks associated with Internet of Things (IoT)?,9,Protect,No,No,No,SCF
EMB-03,Operational Technology (OT) ,Mechanisms exist to proactively manage the cybersecurity & data privacy risks associated with Operational Technology (OT).,EMB,Technology,Does the organization proactively manage the cybersecurity & data privacy risks associated with Operational Technology (OT)?,9,Protect,No,No,No,SCF
EMB-04,Interface Security,Mechanisms exist to protect embedded devices against unauthorized use of the physical factory diagnostic and test interface(s).,EMB,Technology,Does the organization protect embedded devices against unauthorized use of the physical factory diagnostic and test interface(s)?,4,Protect,No,No,No,SCF
EMB-05,Embedded Technology Configuration Monitoring,Mechanisms exist to generate log entries on embedded devices when configuration changes or attempts to access interfaces are detected.,EMB,Technology,Does the organization generate log entries on embedded devices when configuration changes or attempts to access interfaces are detected?,6,Detect,No,No,No,SCF
EMB-06,Prevent Alterations,Mechanisms exist to protect embedded devices by preventing the unauthorized installation and execution of software.,EMB,Technology,Does the organization protect embedded devices by preventing the unauthorized installation and execution of software?,6,Protect,No,No,No,SCF
EMB-07,Embedded Technology Maintenance,Mechanisms exist to securely update software and upgrade functionality on embedded devices.,EMB,Technology,Does the organization securely update software and upgrade functionality on embedded devices?,6,Protect,No,No,No,SCF
EMB-08,Resilience To Outages,Mechanisms exist to configure embedded technology to be resilient to data network and power outages.,EMB,Technology,Does the organization configure embedded technology to be resilient to data network and power outages?,2,Protect,No,No,No,SCF
EMB-09,Power Level Monitoring,"Automated mechanisms exist to monitor the power levels of embedded technologies for decreased or excessive power usage, including battery drainage, to investigate for device tampering.",EMB,Technology,"Does the organization use automated mechanisms to monitor the power levels of embedded technologies for decreased or excessive power usage, including battery drainage, to investigate for device tampering?",4,Detect,No,No,No,SCF
EMB-10,Embedded Technology Reviews,"Mechanisms exist to perform evaluations of deployed embedded technologies as needed, or at least on an annual basis, to ensure that necessary updates to mitigate the risks associated with legacy embedded technologies are identified and implemented.",EMB,Process,"Does the organization perform evaluations of deployed embedded technologies as needed, or at least on an annual basis, to ensure that necessary updates to mitigate the risks associated with legacy embedded technologies are identified and implemented?",8,Identify,No,No,No,SCF
EMB-11,Message Queuing Telemetry Transport (MQTT) Security,Mechanisms exist to enforce the security of Message Queuing Telemetry Transport (MQTT) traffic.,EMB,Technology,Does the organization enforce the security of Message Queuing Telemetry Transport (MQTT) traffic?,7,Protect,No,No,No,SCF
EMB-12,Restrict Communications,"Mechanisms exist to require embedded technologies to initiate all communications and drop new, incoming communications.",EMB,Technology,"Does the organization require embedded technologies to initiate all communications and drop new, incoming communications?",8,Protect,No,No,No,SCF
EMB-13,Authorized Communications,Mechanisms exist to restrict embedded technologies to communicate only with authorized peers and service endpoints.,EMB,Technology,Does the organization restrict embedded technologies to communicate only with authorized peers and service endpoints?,8,Protect,No,No,No,SCF
EMB-14,Operating Environment Certification,Mechanisms exist to determine if embedded technologies are certified for secure use in the proposed operating environment.,EMB,Process,Does the organization determine if embedded technologies are certified for secure use in the proposed operating environment?,9,Identify,No,No,No,SCF
EMB-15,Safety Assessment,"Mechanisms exist to evaluate the safety aspects of embedded technologies via a fault tree analysis, or similar method, to determine possible consequences of misuse, misconfiguration and/or failure.",EMB,Process,"Does the organization evaluate the safety aspects of embedded technologies via a fault tree analysis, or similar method, to determine possible consequences of misuse, misconfiguration and/or failure?",9,Identify,No,No,No,SCF
EMB-16,Certificate-Based Authentication,"Mechanisms exist to enforce certificate-based authentication for embedded technologies (e.g., IoT, OT, etc.) and their supporting services.",EMB,Technology,"Does the organization enforce certificate-based authentication for embedded technologies (e.g., IoT, OT, etc.) and their supporting services?",5,Protect,No,No,No,SCF
EMB-17,Chip-To-Cloud Security,Mechanisms exist to implement embedded technologies that utilize pre-provisioned cloud trust anchors to support secure bootstrap and Zero Touch Provisioning (ZTP).,EMB,Technology,Does the organization implement embedded technologies that utilize pre-provisioned cloud trust anchors to support secure bootstrap and Zero Touch Provisioning (ZTP)?,6,Protect,No,No,No,SCF
EMB-18,Real-Time Operating System (RTOS) Security,Mechanisms exist to ensure embedded technologies utilize a securely configured Real-Time Operating System (RTOS).,EMB,Technology,Does the organization ensure embedded technologies utilize a securely configured Real-Time Operating System (RTOS)?,5,Protect,No,No,No,SCF
EMB-19,Safe Operations,Mechanisms exist to continuously validate autonomous systems that trigger an automatic state change when safe operation is no longer assured.,EMB,Technology,Does the organization continuously validate autonomous systems that trigger an automatic state change when safe operation is no longer assured?,9,Protect,No,No,No,SCF
END-01,Endpoint Security ,Mechanisms exist to facilitate the implementation of endpoint security controls.,END,Technology,Does the organization facilitate the implementation of endpoint security controls?,10,Govern,No,No,No,SCF
END-02,Endpoint Protection Measures ,"Mechanisms exist to protect the confidentiality, integrity, availability and safety of endpoint devices.",END,Technology,"Does the organization protect the confidentiality, integrity, availability and safety of endpoint devices?",9,Protect,No,No,No,SCF
END-03,Prohibit Installation Without Privileged Status ,Automated mechanisms exist to prohibit software installations without explicitly assigned privileged status. ,END,Technology,Does the organization use automated mechanisms to prohibit software installations without explicitly assigned privileged status? ,9,Protect,No,No,No,SCF
END-03.1,Software Installation Alerts,Mechanisms exist to generate an alert when new software is detected. ,END,Technology,Does the organization generate an alert when new software is detected? ,8,Protect,No,No,No,SCF
END-03.2,Governing Access Restriction for Change,"Mechanisms exist to define, document, approve and enforce access restrictions associated with changes to systems.",END,Process,"Does the organization define, document, approve and enforce access restrictions associated with changes to systems?",8,Protect,No,No,No,SCF
END-04,Malicious Code Protection (Anti-Malware) ,Mechanisms exist to utilize antimalware technologies to detect and eradicate malicious code.,END,Technology,Does the organization utilize antimalware technologies to detect and eradicate malicious code?,10,Detect,No,No,No,SCF
END-04.1,Automatic Antimalware Signature Updates,"Mechanisms exist to automatically update antimalware technologies, including signature definitions. ",END,Technology,"Does the organization automatically update antimalware technologies, including signature definitions? ",9,Protect,No,No,No,SCF
END-04.2,Documented Protection Measures,Mechanisms exist to document antimalware technologies.,END,Process,Does the organization document antimalware technologies?,3,Identify,No,No,No,SCF
END-04.3,Centralized Management of Antimalware Technologies,Mechanisms exist to centrally-manage antimalware technologies.,END,Technology,Does the organization centrally-manage antimalware technologies?,8,Detect,No,No,No,SCF
END-04.4,Heuristic / Nonsignature-Based Detection,Mechanisms exist to utilize heuristic / nonsignature-based antimalware detection capabilities.,END,Technology,Does the organization utilize heuristic / nonsignature-based antimalware detection capabilities?,8,Detect,No,No,No,SCF
END-04.5,Malware Protection Mechanism Testing,"Mechanisms exist to test antimalware technologies by introducing a known benign, non-spreading test case into the system and subsequently verifying that both detection of the test case and associated incident reporting occurs. ",END,Process,"Does the organization test antimalware technologies by introducing a known benign, non-spreading test case into the system and subsequently verifying that both detection of the test case and associated incident reporting occurs? ",5,Detect,No,No,No,SCF
END-04.6,Evolving Malware Threats,Mechanisms exist to perform periodic evaluations evolving malware threats to assess systems that are generally not considered to be commonly affected by malicious software. ,END,Process,Does the organization perform periodic evaluations evolving malware threats to assess systems that are generally not considered to be commonly affected by malicious software? ,3,Detect,No,No,No,SCF
END-04.7,Always On Protection,"Mechanisms exist to ensure that anti-malware technologies are continuously running in real-time and cannot be disabled or altered by non-privileged users, unless specifically authorized by management on a case-by-case basis for a limited time period. ",END,Technology,"Does the organization ensure that anti-malware technologies are continuously running in real-time and cannot be disabled or altered by non-privileged users, unless specifically authorized by management on a case-by-case basis for a limited time period? ",9,Detect,No,No,No,SCF
END-05,Software Firewall ,"Mechanisms exist to utilize host-based firewall software, or a similar technology, on all information systems, where technically feasible.",END,Technology,"Does the organization utilize host-based firewall software, or a similar technology, on all information systems, where technically feasible?",9,Protect,No,No,No,SCF
END-06,Endpoint File Integrity Monitoring (FIM) ,"Mechanisms exist to utilize File Integrity Monitor (FIM), or similar technologies, to detect and report on unauthorized changes to selected files and configuration settings.",END,Technology,"Does the organization utilize File Integrity Monitor (FIM), or similar technologies, to detect and report on unauthorized changes to selected files and configuration settings?",8,Protect,No,No,No,SCF
END-06.1,Integrity Checks ,Mechanisms exist to validate configurations through integrity checking of software and firmware.,END,Technology,Does the organization validate configurations through integrity checking of software and firmware?,6,Detect,No,No,No,SCF
END-06.2,Endpoint Detection & Response (EDR),Mechanisms exist to detect and respond to unauthorized configuration changes as cybersecurity incidents.,END,Technology,Does the organization detect and respond to unauthorized configuration changes as cybersecurity incidents?,9,Respond,No,No,No,SCF
END-06.3,Automated Notifications of Integrity Violations,Automated mechanisms exist to alert incident response personnel upon discovering discrepancies during integrity verification. ,END,Technology,Does the organization use automated mechanisms to alert incident response personnel upon discovering discrepancies during integrity verification? ,5,Respond,No,No,No,SCF
