clause_id,article_id,clause_type,label,paragraph_no,text,source_document
LAW_ART_39_F_V,LAW_ART_39,fraction,V,,"Disseminate international standards and best practices in information security, taking into account the nature of the data, the purposes of the processing, and the technical and economic capacities of the data controller;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_39_F_VI,LAW_ART_39,fraction,VI,,To hear and resolve the procedures for the protection of rights and verification indicated in this Law and to impose sanctions as appropriate;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_39_F_VII,LAW_ART_39,fraction,VII,,"Cooperate with other supervisory authorities and national and international organizations, in order to cooperate in data protection matters;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_39_F_VIII,LAW_ART_39,fraction,VIII,,To attend international forums within the scope of this Law;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_39_F_IX,LAW_ART_39,fraction,IX,,Elaborate privacy impact studies prior to the implementation of a new personal data processing modality or the implementation of substantial modifications to existing processing;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_39_F_X,LAW_ART_39,fraction,X,,"Disseminate knowledge of the obligations regarding the protection of personal data and provide training to the obligated parties, and",KB 2/Mexico/Federal LAW.pdf
LAW_ART_39_F_XI,LAW_ART_39,fraction,XI,,Any other duties conferred by this Law and other applicable ordinances.,KB 2/Mexico/Federal LAW.pdf
LAW_ART_40_P1,LAW_ART_40,paragraph,,1,"The procedure shall be initiated at the request of the data subject or his or her legal representative, clearly stating the content of his or her claim and the provisions of this Law that are considered to have been violated. The request for data protection must be filed with the Secretariat within fifteen days following the date on which the response is communicated to the data subject by the data controller.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_40_P2,LAW_ART_40,paragraph,,2,"In the event that the data subject does not receive a response from the data controller, the data protection request may be filed as of the expiration of the response period provided for the data controller. In this case, it will be sufficient for the data subject to attach to his/her data protection request the document proving the date on which he/she filed the request for access, rectification, cancellation or opposition.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_40_P3,LAW_ART_40,paragraph,,3,"The request for data protection will also proceed in the same terms when the data controller does not deliver the requested personal data to the data subject, or does so in an incomprehensible format, refuses to make modifications or corrections to the personal data, the data subject is not satisfied with the information delivered because he/she considers it is incomplete or does not correspond to the requested information.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_40_P4,LAW_ART_40,paragraph,,4,"Once the request for data protection has been received by the Secretariat, it will be forwarded to the data controller so that, within fifteen days, it may issue a response, offer the evidence it deems pertinent and state in writing what it deems appropriate.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_40_P5,LAW_ART_40,paragraph,,5,"The Secretariat shall admit the evidence it deems pertinent and shall proceed with its examination. Likewise, it may request from the data controller such other evidence as it deems necessary. Once the evidence has been presented, the Secretariat shall notify the data controller of its right to present its arguments, if it deems it necessary, within five days following notification.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_40_P6,LAW_ART_40,paragraph,,6,"For the due conduct of the procedure, the Secretariat will decide on the data protection request formulated, after analyzing the evidence and other elements of conviction it deems pertinent, such as those derived from the hearing or hearings held with the parties.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_40_P7,LAW_ART_40,paragraph,,7,"The Regulations of the Law shall establish the form, terms and time periods in accordance with which the procedure for the protection of rights shall be carried out.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_41_P1,LAW_ART_41,paragraph,,1,"The request for data protection may be filed in writing or through the forms of the electronic system provided for such purpose by the Secretariat, and shall contain the following information:",KB 2/Mexico/Federal LAW.pdf
LAW_ART_41_F_I,LAW_ART_41,fraction,I,,"The name of the data subject or, as the case may be, of his legal representative, as well as of the interested third party, if any;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_41_F_II,LAW_ART_41,fraction,II,,"The name of the data controller before which the request for access, rectification, cancellation or opposition of personal data was filed;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_41_F_III,LAW_ART_41,fraction,III,,The address to hear and receive notifications;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_41_F_IV,LAW_ART_41,fraction,IV,,"The date on which the response of the data controller was made known, unless the proceeding is initiated based on the provisions of Article 45 of this Law;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_41_F_V,LAW_ART_41,fraction,V,,"The acts that motivate your data protection request, and",KB 2/Mexico/Federal LAW.pdf
LAW_ART_41_F_VI,LAW_ART_41,fraction,VI,,Any other elements that are deemed appropriate to make known to the Secretariat.,KB 2/Mexico/Federal LAW.pdf
LAW_ART_41_P2,LAW_ART_41,paragraph,,2,The form and terms in which the identity of the data subject or the legal representation must be accredited shall be established in the Regulations.,KB 2/Mexico/Federal LAW.pdf
LAW_ART_41_P3,LAW_ART_41,paragraph,,3,"Likewise, the request for data protection must be accompanied by the request and the response being appealed or, as the case may be, the data allowing its identification.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_41_P4,LAW_ART_41,paragraph,,4,In case of lack of response it will only be necessary to submit the application.,KB 2/Mexico/Federal LAW.pdf
LAW_ART_41_P5,LAW_ART_41,paragraph,,5,"In the event that the request for data protection is filed by means other than electronic means, it must be accompanied by sufficient copies of the transfer.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_42_P1,LAW_ART_42,paragraph,,1,"The maximum term for issuing the decision in the procedure for the protection of rights shall be fifty days, counted from the date of filing the request for data protection. When there is just cause, the Secretariat may extend this period once and for up to the same period.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_43_P1,LAW_ART_43,paragraph,,1,"In the event that the resolution for the protection of rights is favorable to the data subject, the data controller shall be required to enforce the exercise of the rights subject to protection within ten days following the notification or, where justified, within a longer period established in the resolution itself, and shall inform the Secretariat in writing of such compliance within the following ten days.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_44_P1,LAW_ART_44,paragraph,,1,"In the event that the request for data protection does not satisfy any of the requirements referred to in Article 41 of this Law, and the Secretariat does not have the elements to remedy it, the data subject will be notified within twenty days following the filing of the request for data protection, on a single occasion, in order to remedy the omissions within a period of five days. Once the term has elapsed without the prevention having been addressed, the request for data protection shall be deemed not to have been filed. The prevention will have the effect of interrupting the term the Secretariat has to resolve the data protection request.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_45_P1,LAW_ART_45,paragraph,,1,"The Secretariat shall make up for deficiencies in the complaint in cases where this is required, provided that it does not alter the original content of the request for access, rectification, cancellation or objection of personal data, nor does it modify the facts or requests set forth therein or in the request for data protection.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_46_P1,LAW_ART_46,paragraph,,1,The resolutions of the Secretariat may:,KB 2/Mexico/Federal LAW.pdf
LAW_ART_46_F_I,LAW_ART_46,fraction,I,,To dismiss or reject the request for data protection as inadmissible;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_46_F_II,LAW_ART_46,fraction,II,,"Confirm, revoke or modify the data controller's response, or",KB 2/Mexico/Federal LAW.pdf
LAW_ART_46_F_III,LAW_ART_46,fraction,III,,"Order the delivery of personal data, in case of omission of the data controller.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_47_P1,LAW_ART_47,paragraph,,1,The request for data protection shall be dismissed as inadmissible when:,KB 2/Mexico/Federal LAW.pdf
LAW_ART_47_F_I,LAW_ART_47,fraction,I,,The Secretariat is not competent;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_47_F_II,LAW_ART_47,fraction,II,,The data subject or his representative does not duly prove his identity and personality of the latter;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_47_F_III,LAW_ART_47,fraction,III,,The Secretariat has previously heard the request for data protection against the same act and made a final decision with respect to the same appellant;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_47_F_IV,LAW_ART_47,fraction,IV,,"An appeal or means of defense filed by the data subject or, as the case may be, by the interested third party, against the act appealed before the Secretariat, is being processed before the competent courts;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_47_F_V,LAW_ART_47,fraction,V,,"It is an offensive or unreasonable data protection request, or",KB 2/Mexico/Federal LAW.pdf
LAW_ART_47_F_VI,LAW_ART_47,fraction,VI,,It is extemporaneous because the term established in Article 40 of this Law has elapsed.,KB 2/Mexico/Federal LAW.pdf
LAW_ART_48_P1,LAW_ART_48,paragraph,,1,The request for data protection shall be dismissed when:,KB 2/Mexico/Federal LAW.pdf
LAW_ART_48_F_I,LAW_ART_48,fraction,I,,The data subject dies;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_48_F_II,LAW_ART_48,fraction,II,,The data subject expressly desists;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_48_F_III,LAW_ART_48,fraction,III,,"Once the request for data protection has been admitted, a cause of inadmissibility arises, and",KB 2/Mexico/Federal LAW.pdf
LAW_ART_48_F_IV,LAW_ART_48,fraction,IV,,For any reason the same is without subject matter.,KB 2/Mexico/Federal LAW.pdf
LAW_ART_49_P1,LAW_ART_49,paragraph,,1,The Secretariat may at any time during the procedure seek conciliation between the data subject and the data controller.,KB 2/Mexico/Federal LAW.pdf
LAW_ART_49_P2,LAW_ART_49,paragraph,,2,"If a conciliation agreement is reached between both parties, it shall be recorded in writing and shall be binding. The request for data protection will be without subject matter and the Secretariat will verify compliance with the respective agreement.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_49_P3,LAW_ART_49,paragraph,,3,"For purposes of the conciliation referred to herein, the procedure established in the Regulations of this Law shall apply.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_50_P1,LAW_ART_50,paragraph,,1,"Once the request for data protection has been filed in the absence of a response to a request for the exercise of the ARCO rights by the data controller, the Secretariat shall give notice to the data controller so that, within a period not exceeding ten days, it may prove that it has responded in due time and form to the request, or else provide a response to the same. In the event that the response complies with the request, the request for data protection shall be deemed inadmissible and the Secretariat shall dismiss it.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_50_P2,LAW_ART_50,paragraph,,2,"In the second case, the Secretariat will issue its resolution based on the content of the original request and the response of the data controller referred to in the preceding paragraph.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_50_P3,LAW_ART_50,paragraph,,3,"If the resolution of the Secretariat referred to in the preceding paragraph determines that the request is admissible, the data controller will proceed to comply with it, at no cost to the data subject, and the data controller must cover all costs generated by the corresponding reproduction and mailing expenses.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_51_P1,LAW_ART_51,paragraph,,1,"Against the resolutions of the Secretariat, private parties may file an amparo proceeding. Amparo proceedings shall be heard by specialized judges and courts under the terms of Article 94 of the Political Constitution of the United Mexican States.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_52_P1,LAW_ART_52,paragraph,,1,"All decisions of the Secretariat shall be susceptible to public disclosure in public versions, eliminating those references to the data subject that identify him/her or make him/her identifiable.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_53_P1,LAW_ART_53,paragraph,,1,"The data subjects who consider that they have suffered damage or injury to their property or rights as a consequence of non-compliance with the provisions of this Law by the data controller or the processor, may exercise the rights they deem pertinent for the purposes of the appropriate compensation, in terms of the corresponding legal provisions.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_54_P1,LAW_ART_54,paragraph,,1,The Secretariat shall verify compliance with this Law and the regulations derived therefrom. The verification may be initiated ex officio or at the request of a party.,KB 2/Mexico/Federal LAW.pdf
LAW_ART_54_P2,LAW_ART_54,paragraph,,2,The ex officio verification will proceed when there is non-compliance with resolutions issued in connection with the rights protection procedures referred to in the preceding Chapter or when it is presumed that violations of this Law have been committed.,KB 2/Mexico/Federal LAW.pdf
LAW_ART_55_P1,LAW_ART_55,paragraph,,1,"In the verification procedure, the Secretariat shall have access to the information and documentation it deems necessary, in accordance with the resolution that motivates it.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_55_P2,LAW_ART_55,paragraph,,2,Public servants shall be obliged to keep confidential the information they learn from the corresponding verification.,KB 2/Mexico/Federal LAW.pdf
LAW_ART_55_P3,LAW_ART_55,paragraph,,3,"The Regulations shall develop the form, terms and time periods in which the procedure referred to in this Article shall be carried out.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_56_P1,LAW_ART_56,paragraph,,1,"If on the occasion of the processing of the procedure for the protection of rights or the verification procedure carried out by the Secretariat, the Secretariat becomes aware of an alleged breach of any of the principles or provisions of this Law, it shall initiate the procedure for the imposition of sanctions.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_57_P1,LAW_ART_57,paragraph,,1,"The procedure for the imposition of penalties shall commence with the notification made by the Secretariat to the alleged offender, regarding the facts that led to the initiation of the procedure, and shall grant him a term of fifteen days to submit evidence and state in writing what he deems appropriate. In the event the evidence is not submitted, the Secretariat will decide in accordance with the elements of conviction available to it.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_57_P2,LAW_ART_57,paragraph,,2,"The Secretariat shall admit such evidence as it deems pertinent and shall proceed to the presentation thereof. Likewise, it may request from the alleged infringing person such other evidence as it deems necessary. Once the evidence has been presented, the Secretariat shall notify the alleged infringer of its right to present its arguments, if it deems it necessary, within five days following notification.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_57_P3,LAW_ART_57,paragraph,,3,"The Secretariat, after analyzing the evidence and other elements of conviction that it deems pertinent, shall issue a final decision within fifty days following the date on which the sanctioning procedure was initiated. Such resolution shall be notified to the parties.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_57_P4,LAW_ART_57,paragraph,,4,"When there is justified cause, the Secretariat may extend this period once and for up to an equal period.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_57_P5,LAW_ART_57,paragraph,,5,"The Regulations will develop the form, terms and deadlines in which the procedure for the imposition of sanctions will be substantiated, including the presentation of evidence and allegations, the holding of hearings and the closing of the investigation.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_58_P1,LAW_ART_58,paragraph,,1,The conducts carried out by the data controller shall constitute violations of this Law:,KB 2/Mexico/Federal LAW.pdf
LAW_ART_58_F_I,LAW_ART_58,fraction,I,,"Failure to comply with the request for the exercise of the data subject's ARCO rights, without a well-founded reason, in the terms provided in this Law;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_58_F_II,LAW_ART_58,fraction,II,,Acting with negligence or malice during the substantiation of requests for the exercise of ARCO rights;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_58_F_III,LAW_ART_58,fraction,III,,"Fraudulently declaring the non-existence of personal data, when it exists totally or partially in the databases of the data controller;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_58_F_IV,LAW_ART_58,fraction,IV,,Processing personal data in contravention of the principles set forth in this Law;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_58_F_V,LAW_ART_58,fraction,V,,"Omitting in the privacy notice, any or all of the elements referred to in Article 15 of this Law;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_58_F_VI,LAW_ART_58,fraction,VI,,"Keeping inaccurate personal data when it is attributable to the data controller, or not carrying out the legally required rectifications or cancellations of the same when the rights of the data subjects are affected;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_58_F_VII,LAW_ART_58,fraction,VII,,Failure to comply with the warning referred to in Section I of Article 59 of this Law;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_58_F_VIII,LAW_ART_58,fraction,VIII,,Failure to comply with the duty of confidentiality established in Article 20 of this Law;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_58_F_IX,LAW_ART_58,fraction,IX,,"Substantially changing the original purpose of the data processing, without observing the provisions of Article 11 of this Law;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_58_F_X,LAW_ART_58,fraction,X,,Transferring data to third parties without communicating to them the privacy notice containing the limitations to which the data subject has subjected the disclosure of such data;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_58_F_XI,LAW_ART_58,fraction,XI,,"Violate the security of databases, premises, programs or equipment, when it is attributable to the data controller;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_58_F_XII,LAW_ART_58,fraction,XII,,"To carry out the transfer or assignment of personal data, outside the cases in which it is permitted by law;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_58_F_XIII,LAW_ART_58,fraction,XIII,,"Collect or transfer personal data without the express consent of the data subject, in those cases in which such consent is required;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_58_F_XIV,LAW_ART_58,fraction,XIV,,Obstructing the acts of verification of the authority;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_58_F_XV,LAW_ART_58,fraction,XV,,Collecting data in a misleading and fraudulent manner;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_58_F_XVI,LAW_ART_58,fraction,XVI,,Continuing with the illegitimate use of personal data when the cessation of such use has been requested by the Secretariat or the data subjects;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_58_F_XVII,LAW_ART_58,fraction,XVII,,Process personal data in a way that affects or prevents the exercise of the ARCO rights established in Article 16 of the Political Constitution of the United Mexican States;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_58_F_XVIII,LAW_ART_58,fraction,XVIII,,"Create databases in contravention of the provisions of Article 8, second paragraph of this Law, and",KB 2/Mexico/Federal LAW.pdf
LAW_ART_58_F_XIX,LAW_ART_58,fraction,XIX,,Any failure of the data controller to comply with the obligations established in terms of the provisions of this Law.,KB 2/Mexico/Federal LAW.pdf
LAW_ART_59_P1,LAW_ART_59,paragraph,,1,Violations of this Law shall be sanctioned by the Secretariat with:,KB 2/Mexico/Federal LAW.pdf
LAW_ART_59_F_I,LAW_ART_59,fraction,I,,"The warning for the data controller to carry out the acts requested by the data subject, under the terms provided by this Law, in the cases provided for in section I of the preceding article;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_59_F_II,LAW_ART_59,fraction,II,,"Fine of 100 to 160,000 times the Unit of Measurement and Updating, in the cases provided for in sections II to VII of the preceding article;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_59_F_III,LAW_ART_59,fraction,III,,"Fine of 200 to 320,000 times the Unit of Measurement and Updating, in the cases provided for in sections VIII to XVIII of the preceding article, and",KB 2/Mexico/Federal LAW.pdf
LAW_ART_59_F_IV,LAW_ART_59,fraction,IV,,"In the event that the violations mentioned in the preceding paragraphs persist, an additional fine will be imposed ranging from 100 to 320,000 times the Unit of Measurement and Updating. In the case of violations committed in the processing of sensitive data, the penalties may be increased up to two times the established amounts.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_60_P1,LAW_ART_60,paragraph,,1,"The Secretariat shall state the grounds and reasons for its resolutions, considering:",KB 2/Mexico/Federal LAW.pdf
LAW_ART_60_F_I,LAW_ART_60,fraction,I,,The nature of the data;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_60_F_II,LAW_ART_60,fraction,II,,"The notorious inappropriateness of the refusal of the data controller to perform the acts requested by the data subject, in terms of this Law;",KB 2/Mexico/Federal LAW.pdf
LAW_ART_60_F_III,LAW_ART_60,fraction,III,,The intentional or unintentional nature of the action or omission constituting the infraction;,KB 2/Mexico/Federal LAW.pdf
LAW_ART_60_F_IV,LAW_ART_60,fraction,IV,,"The economic capacity of the data controller, and",KB 2/Mexico/Federal LAW.pdf
LAW_ART_60_F_V,LAW_ART_60,fraction,V,,Recidivism.,KB 2/Mexico/Federal LAW.pdf
LAW_ART_61_P1,LAW_ART_61,paragraph,,1,The penalties set forth in this Chapter shall be imposed without prejudice to the resulting civil or criminal liability.,KB 2/Mexico/Federal LAW.pdf
LAW_ART_62_P1,LAW_ART_62,paragraph,,1,"A prison term of three months to three years shall be imposed on anyone who, being authorized to process personal data, with a profit motive, causes a security breach to the databases under his/her custody.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_63_P1,LAW_ART_63,paragraph,,1,"A prison term of six months to five years shall be imposed on anyone who, for the purpose of obtaining an undue profit, processes personal data by means of deception, taking advantage of the error in which the data subject or the person authorized to transmit such data is found.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_64_P1,LAW_ART_64,paragraph,,1,"In the case of sensitive personal data, the penalties referred to in this Chapter shall be doubled.",KB 2/Mexico/Federal LAW.pdf
LAW_ART_64_P2,LAW_ART_64,paragraph,,2,Article Four.- ........,KB 2/Mexico/Federal LAW.pdf
