clause_id,article_id,clause_type,marker,text,source_line,source_document
Art26-V,Art26,fraction,V.,The transfers of personal data that are made;,551,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art26-VI,Art26,fraction,VI.,The number of holders;,552,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art26-VII,Art26,fraction,VII.,"Previous breaches in treatment systems, and",553,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art26-VIII,Art26,fraction,VIII.,The risk of the potential quantitative or qualitative value that personal data processed could have for a third party not authorized to possess it.,554,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art27-I,Art27,fraction,I.,"Create internal policies for the management and processing of personal data that take into account the context in which the processing occurs and the life cycle of personal data, that is, its collection, use, and subsequent deletion;",559,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art27-II,Art27,fraction,II.,Define the functions and obligations of the personnel involved in the processing of personal data;,564,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art27-III,Art27,fraction,III.,Prepare an inventory of personal data and processing systems;,565,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art27-IV,Art27,fraction,IV.,"Conduct a risk analysis of personal data, considering the threats and vulnerabilities existing for personal data and the resources involved in its processing, such as, but not limited to, hardware, software, personnel of the controller, among others;",566,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art27-V,Art27,fraction,V.,"Conduct a gap analysis, comparing existing security measures against those missing in the responsible organization;",582,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art27-VI,Art27,fraction,VI.,"Develop a work plan for implementing the missing security measures, as well as measures for daily compliance with personal data management and processing policies;",584,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art27-VII,Art27,fraction,VII.,"Monitor and periodically review the security measures implemented, as well as the threats and violations to which personal data are subject, and",588,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art27-VIII,Art27,fraction,VIII.,"Design and implement different levels of training for personnel under your command, depending on their roles and responsibilities regarding the processing of personal data.",590,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art28-P2,Art28,paragraph,paragraph 2,"A management system shall be understood as the set of interrelated elements and activities to establish, implement, operate, monitor, review, maintain, and improve the processing and security of personal data, in accordance with the provisions of this Law and other legal provisions applicable to the matter.",596,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art29-I,Art29,fraction,I.,The inventory of personal data and processing systems;,602,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art29-II,Art29,fraction,II.,The functions and obligations of persons who process personal data;,604,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art29-III,Art29,fraction,III.,Risk analysis;,605,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art29-IV,Art29,fraction,IV.,Gap analysis;,606,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art29-V,Art29,fraction,V.,The work plan;,607,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art29-VI,Art29,fraction,VI.,"The mechanisms for monitoring and reviewing security measures, and",608,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art29-VII,Art29,fraction,VII.,The general training program.,609,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art30-I,Art30,fraction,I.,Substantial changes occur in the processing of personal data that result in a change in the level of risk;,612,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art30-II,Art30,fraction,II.,"As a result of a continuous improvement process, derived from the monitoring and review of the management system;",616,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art30-III,Art30,fraction,III.,"As a result of an improvement process to mitigate the impact of a security breach that occurred, and",618,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art30-IV,Art30,fraction,IV.,Implementation of corrective and preventive actions in the event of a security breach.,622,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art32-I,Art32,fraction,I.,Unauthorized loss or destruction;,631,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art32-II,Art32,fraction,II.,"Theft, loss or unauthorized copying;",633,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art32-III,Art32,fraction,III.,"Unauthorized use, access or processing, or",634,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art32-IV,Art32,fraction,IV.,"Unauthorized damage, alteration or modification.",635,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art35-I,Art35,fraction,I.,The nature of the incident;,666,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art35-II,Art35,fraction,II.,The personal data compromised;,669,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art35-III,Art35,fraction,III.,Recommendations on measures that the data subject may adopt to protect his or her interests;,671,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art35-IV,Art35,fraction,IV.,"Corrective actions carried out immediately, and",676,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art35-V,Art35,fraction,V.,The means where you can get more information about it.,678,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art36-P2,Art36,paragraph,paragraph 2,"The foregoing, without prejudice to the provisions established in the provisions on access to public information.",687,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art41-I,Art41,fraction,I.,"Even if the treatment is lawful, it must cease to prevent its persistence from causing harm or damage, and",717,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art41-II,Art41,fraction,II.,"Your personal data are subject to automated processing, which produces undesired legal effects or significantly affects your interests, rights or freedoms, and is intended to evaluate, without human intervention, certain personal aspects of the same or to analyze or predict, in particular, its professional performance, economic situation, health status, sexual preferences, reliability or behavior.",723,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art43-P2,Art43,paragraph,paragraph 2,"The exercise of ARCO rights by a person other than the owner or his/her representative will be possible, exceptionally, in those cases provided for by legal provision or, where appropriate, by court order.",752,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art43-P3,Art43,paragraph,paragraph 3,"In the exercise of ARCO rights by minors or persons who are under interdiction or incapacitated, in accordance with civil laws, the rules of representation established in the same legislation shall apply.",755,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art43-P4,Art43,paragraph,paragraph 4,"In the case of personal data concerning deceased persons, the person who proves to have a legal interest, in accordance with applicable laws, may exercise the rights conferred by this Chapter, provided that the person holding the rights has duly expressed his or her will to that effect or that there is a court order to that effect.",759,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art44-P2,Art44,paragraph,paragraph 2,"For the purposes of access to personal data, the laws that establish the costs of reproduction and certification They must consider in their determination that the amounts allow or facilitate the exercise of this right.",767,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art44-P3,Art44,paragraph,paragraph 3,"When the owner provides the magnetic, electronic medium or the mechanism necessary to reproduce personal data must be provided to the latter free of charge.",770,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art44-P4,Art44,paragraph,paragraph 4,"The information must be provided free of charge, when it involves the delivery of no more than twenty single sheets. Transparency units may exempt payment for reproduction and shipping depending on the socioeconomic circumstances of the data subject.",773,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art44-P5,Art44,paragraph,paragraph 5,The data controller may not establish any service or means for submitting requests to exercise ARCO rights that entail a cost for the data subject.,777,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art45-P2,Art45,paragraph,paragraph 2,"The period referred to in the previous paragraph may be extended once for up to ten days when so required. justify the circumstances, as long as the owner is notified within the response period.",785,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art45-P3,Art45,paragraph,paragraph 3,"If the exercise of ARCO rights is appropriate, the data controller must do so within a period not to exceed fifteen days from the day after the data subject is notified of the response.",788,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art46-I,Art46,fraction,I.,The name of the holder and his/her address or any other means to receive notifications;,795,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art46-II,Art46,fraction,II.,"Documents proving the identity of the holder and, where applicable, the personality and identity of his or her representative;",797,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art46-III,Art46,fraction,III.,"If possible, the responsible area that processes the personal data and to which the request is submitted;",799,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art46-IV,Art46,fraction,IV.,"A clear and precise description of the personal data in respect of which you seek to exercise any of the ARCO rights, unless it is the right of access;",816,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art46-V,Art46,fraction,V.,"The description of the ARCO right that is intended to be exercised, or what the holder requests, and",819,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art46-VI,Art46,fraction,VI.,"Any other element or document that facilitates the location of personal data, if applicable.",821,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art46-P2,Art46,paragraph,paragraph 2,"In the case of a request for access to personal data, the data subject must indicate the method in which they prefer the data to be reproduced. The data controller must respond to the request in the manner requested by the data subject, unless there is a physical or legal impossibility that limits the ability to reproduce the personal data in that manner. In this case, the data controller must offer alternative methods for providing the personal data, providing reasons and justifications for such action.",824,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art46-P3,Art46,paragraph,paragraph 3,"In the event that the data protection request does not satisfy any of the requirements referred to in this article, and the Secretariat or the Guaranteeing Authorities do not have the elements to correct it, the data subject shall be warned within five days following the submission of the request to exercise ARCO rights, on one occasion only, to correct the omissions within a period of ten days counted from the day following the notification.",830,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art46-P4,Art46,paragraph,paragraph 4,"If the deadline has elapsed without addressing the prevention, the request to exercise ARCO rights will be considered not submitted.",837,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art46-P5,Art46,paragraph,paragraph 5,The prevention will have the effect of interrupting the time that those responsible have to resolve the request to exercise ARCO rights.,840,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art46-P6,Art46,paragraph,paragraph 6,"In relation to a cancellation request, the owner must indicate the reasons that motivate him/her to request it. the deletion of your personal data from the files, records or databases of the controller.",843,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art46-P7,Art46,paragraph,paragraph 7,"In the case of a request to object, the data subject must state the legitimate reasons or the specific situation that led them to request cessation of processing, as well as the harm or damage that continued processing would cause or, where applicable, the specific purposes for which they need to exercise the right to object.",846,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art46-P8,Art46,paragraph,paragraph 8,"Applications for the exercise of ARCO rights must be submitted to the Transparency Unit of the competent authority, through written documents, forms, electronic media, or any other means established for this purpose by the Secretariat or the Guarantor Authorities, within the scope of their respective powers.",851,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art46-P9,Art46,paragraph,paragraph 9,The person responsible must process all requests for the exercise of ARCO rights and deliver the acknowledgment of corresponding receipt.,855,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art46-P10,Art46,paragraph,paragraph 10,"The Secretariat and the Guarantor Authorities, according to their area of competence, may establish forms, systems and other simplified methods to facilitate the exercise of ARCO rights by holders.",858,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art46-P11,Art46,paragraph,paragraph 11,"The means and procedures enabled by the data controller to respond to requests for the exercise of ARCO rights must be easily accessible and offer the broadest possible coverage, taking into account the profile of the data subjects and the manner in which they maintain daily or regular contact with the data controller.",861,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art47-P2,Art47,paragraph,paragraph 2,"If the data controller declares that the personal data does not exist in its files, records, systems, or files, this declaration must be included in a resolution from the Transparency Committee confirming the absence of the personal data.",869,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art47-P3,Art47,paragraph,paragraph 3,"In the event that the responsible party notices that the request for the exercise of ARCO rights corresponds to a rights other than those provided for in this Law, must redirect the route by informing the holder.",873,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art49-I,Art49,fraction,I.,When the owner or his/her representative is not duly accredited to do so;,901,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art49-II,Art49,fraction,II.,When the personal data are not in the possession of the controller;,903,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art49-III,Art49,fraction,III.,When there is a legal impediment;,904,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art49-IV,Art49,fraction,IV.,When the rights of a third party are injured;,905,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art49-V,Art49,fraction,V.,When judicial or administrative proceedings are obstructed;,906,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art49-VI,Art49,fraction,VI.,"When there is a resolution from a competent authority that restricts access to personal data or does not allow rectification, cancellation or opposition thereof;",907,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art49-VII,Art49,fraction,VII.,When the cancellation or opposition has been previously made;,909,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art49-VIII,Art49,fraction,VIII.,When the person responsible is not competent;,910,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art49-IX,Art49,fraction,IX.,When they are necessary to protect the legally protected interests of the holder;,911,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art49-X,Art49,fraction,X.,When they are necessary to comply with obligations legally acquired by the holder;,912,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art49-XI,Art49,fraction,XI.,"When, based on its legal powers, daily use, protection and management are necessary and proportional to maintain the integrity, stability and permanence of the Mexican State, or",916,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art49-XII,Art49,fraction,XII.,"When personal data is part of the information that entities subject to the financial regulation and supervision of the obliged subject have provided to the latter, in compliance with requests for such information about their operations, organization, and activities.",918,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art49-P2,Art49,paragraph,paragraph 2,"In all of the above cases, the responsible party must inform the owner of the reason for their decision within the period of up to twenty days referred to in the first paragraph of Article 45 of this Law, and by the same means in which the request was made, accompanying, where appropriate, any relevant evidence.",922,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art51-P2,Art51,paragraph,paragraph 2,"Where the data subject has provided personal data and the processing is based on consent or a contract, they shall have the right to transmit such personal data and any other information they have provided and which is stored in an automated processing system to another system in a commonly used electronic format, without hindrance from the data controller from whom the personal data are obtained.",935,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art53-P2,Art53,paragraph,paragraph 2,The contract or legal instrument decided by the responsible party must provide for at least the following: General clauses related to the services provided by the person in charge:,965,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art53-I,Art53,fraction,I.,Carry out the processing of personal data in accordance with the instructions of the controller;,967,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art53-II,Art53,fraction,II.,Refrain from processing personal data for purposes other than those instructed by the controller;,969,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art53-III,Art53,fraction,III.,Implement security measures in accordance with applicable legal instruments;,970,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art53-IV,Art53,fraction,IV.,Inform the controller when a breach occurs of the personal data that he or she processes on his or her instructions;,971,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art53-V,Art53,fraction,V.,Maintain confidentiality regarding the personal data processed;,976,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art53-VI,Art53,fraction,VI.,"Delete or return the personal data being processed once the legal relationship with the controller has been fulfilled, provided that there is no legal provision requiring the retention of the personal data, and",977,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art53-VII,Art53,fraction,VII.,"Refrain from transferring personal data except when the data controller so determines, or the communication results from subcontracting, or by express mandate of the competent authority.",981,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art53-P3,Art53,paragraph,paragraph 3,"Agreements between the controller and the person in charge related to the processing of personal data must not contravene this Law and other applicable provisions, as well as the provisions of the corresponding privacy notice.",984,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art55-P2,Art55,paragraph,paragraph 2,"When the contract or legal instrument formalizing the relationship between the controller and the person in charge provides that the latter may, in turn, subcontract services, the authorization referred to in the previous paragraph shall be deemed to have been granted pursuant to the provisions of these provisions.",997,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art57-P2,Art57,paragraph,paragraph 2,"Where appropriate, the controller must delimit the processing of personal data by the person external provider through contractual clauses or other legal instruments.",1011,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art58-I,Art58,fraction,I.,Comply with at least the following:,1017,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art58-I-a,Art58,letter,a),Have and apply personal data protection policies that are in line with the principles and duties that correspond to the provisions of this Law and other applicable legal provisions;,1020,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art58-I-b,Art58,letter,b),Make transparent the subcontracting that involves the information on which the service is provided. service;,1024,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art58-I-c,Art58,letter,c),"Refrain from including conditions in the provision of the service that authorize or allow you to assume the ownership or property of the information on which the service is provided, and",1042,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art58-I-d,Art58,letter,d),"Maintain confidentiality regarding the personal data on which the service is provided, and",1045,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art58-II,Art58,fraction,II.,"Have mechanisms in place, at least, to:",1046,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art58-II-a,Art58,letter,a),Announce changes to its privacy policies or conditions of the service it provides;,1048,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art58-II-b,Art58,letter,b),Allow the controller to limit the type of processing of personal data about which it is processed. provides the service;,1050,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art58-II-c,Art58,letter,c),Establish and maintain security measures for the protection of personal data on which the service is provided;,1053,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art58-II-d,Art58,letter,d),"Ensure the deletion of personal data once the service provided to the controller has concluded and the controller has been able to recover them, and",1056,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art58-II-e,Art58,letter,e),"Prevent access to personal data by persons who do not have access privileges, or, in the case of a well- founded and motivated request from a competent authority, inform the controller of this fact.",1058,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art58-P2,Art58,paragraph,paragraph 2,"In any case, the person responsible may not adhere to services that do not guarantee the proper protection of the data. personal data, in accordance with this Law and other provisions applicable to the matter.",1062,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art60-P2,Art60,paragraph,paragraph 2,The provisions of the preceding paragraph shall not apply in the following cases:,1077,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art60-I,Art60,fraction,I.,"When the transfer is national and is carried out between responsible parties by virtue of compliance with a legal provision or in the exercise of powers expressly conferred on them, or",1078,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art60-II,Art60,fraction,II.,"When the transfer is international and is provided for in a law or treaty signed and ratified by Mexico, or is made at the request of a foreign authority or competent international organization in its capacity as recipient, provided that the powers between the transferring controller and the recipient are homologous or the purposes that motivate the transfer are analogous or compatible with those that gave rise to the processing by the transferring controller.",1081,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art64-I,Art64,fraction,I.,"When the transfer is provided for in this Law or other laws, conventions or international treaties to which the Mexican State is a party;",1116,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art64-II,Art64,fraction,II.,"When the transfer is made between controllers, as long as the personal data is used for the exercise of their own powers, compatible or analogous with the purpose that motivated the processing of the personal data;",1119,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art64-III,Art64,fraction,III.,"When the transfer is legally required for the investigation and prosecution of crimes, as well as the procurement or administration of justice;",1123,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art64-IV,Art64,fraction,IV.,"When the transfer is necessary for the recognition, exercise or defense of a right before a competent authority, provided that the latter requests it;",1125,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art64-V,Art64,fraction,V.,"When the transfer is necessary for medical prevention or diagnosis, the provision of healthcare, medical treatment or the management of healthcare services, provided that such purposes are accredited;",1127,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art64-VI,Art64,fraction,VI.,When the transfer is necessary for the maintenance or fulfillment of a legal relationship between the controller and the owner;,1131,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art64-VII,Art64,fraction,VII.,"When the transfer is necessary by virtue of a contract entered into or to be entered into in the interest of the data subject, by the data controller and a third party;",1133,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art64-VIII,Art64,fraction,VIII.,"When it concerns cases in which the controller is not obliged to obtain the consent of the data subject for the processing and transfer of his or her personal data, in accordance with the provisions of Article 16 of this Law, or",1135,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art64-IX,Art64,fraction,IX.,When the transfer is necessary for reasons of national security.,1138,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art64-P2,Art64,paragraph,paragraph 2,The updating of some of the exceptions provided for in this article does not exempt the person responsible from complying with the applicable obligations provided for in this Chapter.,1140,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art66-I,Art66,fraction,I.,Raise the level of protection of personal data;,1154,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art66-II,Art66,fraction,II.,Harmonize the processing of personal data in a specific sector;,1156,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
Art66-III,Art66,fraction,III.,Facilitate the exercise of ARCO rights by the holders;,1157,Mexico LGPDPPSO (DOF 20-03-2025) — PDP-Public_03-21-2025_GoogleTranslate.pdf (machine translation)
