id,control_id,level,text
IMP-04.a-CMS,04.a,Level CMS,"The organization develops and disseminates an organization-wide information security program plan that: provides an overview of the requirements for the security program and a description of the security program management controls and common controls in place or planned for meeting those requirements; includes the identification and assignment of roles, responsibilities, management commitment, coordination among organizational entities, and compliance; reflects coordination among organizational entities responsible for the different aspects of information security (i.e., technical, physical, personnel, cyber-physical); and is approved by a senior official with responsibility and accountability for the risk being incurred to organizational operations (including mission, functions, image, and reputation), organizational assets, individuals, other organizations, and the Nation. The organization: reviews the organization-wide information security program plan within every 365 days; updates the plan to address organizational changes and problems identified during plan implementation or security control assessments; and protects the information security program plan from unauthorized disclosure and modification."
IMP-04.a-PCI,04.a,Level PCI,"The organization ensures that policies are documented, communicated and in use for the following: managing firewalls; managing vendor defaults and other security parameters; protecting stored cardholder data; encrypting transmissions of cardholder data; protecting systems against malware; developing and maintaining secure systems and applications; restricting access to cardholder data; identification and authentication; restricting physical access to cardholder data; monitoring access to network resources and cardholder data; and security monitoring and testing."
IMP-04.a-NYDOH,04.a,Level NYDOH,"The organization develops and disseminates an organization-wide information security program plan that provides an overview of the requirements for the security program and a description of the security program management controls and common controls in place or planned for meeting those requirements, includes the identification and assignment of roles, responsibilities, management commitment, coordination among organizational entities, and compliance, reflects the coordination among organizational entities responsible for information security (i.e., technical, physical, personnel, cyber- physical), and is approved by a senior official with responsibility and accountability for the risk being incurred to organizational operations (including mission, functions, image, and reputation). The information security program plan is approved by a senior official with responsibility and accountability for the risk being incurred to organizational operations (including mission, functions, image, and reputation), organizational assets, individuals, other organizations, the state, and the Nation. The organization reviews the organization-wide information security program plan every three years and following significant changes, and protects the information security program plan from unauthorized disclosure and modification."
IMP-04.a-DGF,04.a,Level DGF,"Data Governance policies, rules, and standards are explicitly defined, documented, and communicated."
IMP-04.b-L1,04.b,Level 1 (Validated),The information security policy documents are reviewed at planned intervals or if significant changes occur to ensure the policies’ continuing adequacy and effectiveness. Security policies are communicated throughout the organization.
IMP-04.b-L2,04.b,Level 2 (Validated),"The information security policy documents have an owner who has approved management responsibility for the development, review, and evaluation of the security policy. Policies are reviewed no less than every 365 days or if significant changes occur in the operating or business environment, updated/improved based on specific feedback (e.g., prior reviews, incidents and preventative/corrective actions), and approved by an appropriate level of management. The input to the management review includes information on: feedback from interested parties; results of independent reviews; status of preventive and corrective actions; results of previous management reviews; process performance and information security policy compliance; changes that could affect the organization’s approach to managing information security, including changes to the organizational environment, business circumstances, resource availability, contractual, regulatory, and legal conditions, or to the technical environment; trends related to threats and vulnerabilities; reported information security incidents; and recommendations provided by relevant authorities."
IMP-04.b-L3,04.b,Level 3 (Certified),"Management’s risk profile review addresses: the changing nature of the organization’s operations and thus risk profile and risk management needs; the changes made to the IT infrastructure of the organization, along with the changes these bring to the organization’s risk profile; the changes identified in the external environment that similarly impact the organization’s risk profile; the latest controls, compliance and assurance requirements from arrangements of national bodies and of new legislation or regulation; the latest guidance and recommendations from professional associations and from information privacy commissioners regarding the protection of covered information; the results of legal cases tested in courts that thereby establish or cancel precedents and established practices; and the challenges and issues regarding the policy, as expressed to the organization by its staff, customers, and their partners and care givers, researchers, and governments, e.g., privacy commissioners."
IMP-04.b-CMS,04.b,Level CMS,"The organization actively monitors for changes to applicable privacy laws, regulations, and relevant policies to ensure the organization's security and privacy policies remain effective."
IMP-04.b-DGF,04.b,Level DGF,"Data Governance policies, rules, and standards are updated as needed or at least annually."
IMP-05.a-L1,05.a,Level 1 (Validated),"A senior-level information security official is appointed. The senior-level information security official is responsible for ensuring the organization’s information security processes are in place, communicated to all stakeholders, and consider and address organizational requirements."
IMP-05.a-L2,05.a,Level 2 (Validated),"Senior management formally appoints security specialists and reviews and coordinates results of the security specialists’ advice throughout the organization.
Capital planning and investment requests for security across the organization: include the resources needed to implement the security program; employ a business case (or Exhibit 300 and/or 53 for federal government); and ensures the resources are available for expenditure as planned."
IMP-05.a-L3,05.a,Level 3 (Certified),"The organization: formally creates a dedicated security management forum; publishes the dedicated security management forum’s member list; and publishes the dedicated security management forum’s charter.
The organization conducts an annual assessment of the effectiveness of its security program performed by a qualified outside organization."
IMP-05.a-PCI,05.a,Level PCI,"When being assessed as a service provider, the organization’s executive management establishes: responsibility for the protection of cardholder data; a PCI DSS compliance program which includes overall accountability for maintaining PCI DSS compliance; a PCI DSS compliance program which includes defining a charter for a PCI DSS compliance program; and a PCI DSS compliance program which includes communication to executive management."
IMP-05.a-DGF,05.a,Level DGF,"The compliance and success of the Data Governance program is evaluated at the organization. The application levels and reports on such attributes are shared with the leadership periodically.
The individuals performing Data Governance work have the skills, experience, and necessary training to implement Data Governance processes/activities, as evidenced by knowledge of the tools, processes, corporate policies, and business expectations around management of the data."
IMP-05.b-L1,05.b,Level 1 (Validated),"Security activities (e.g., implementing controls, correcting nonconformities) are coordinated in advance and communicated across the entire organization where necessary."
IMP-05.b-L2,05.b,Level 2 (Validated),"The organization determines information security requirements for the information system in mission/business process planning, documents and allocates the resources required to protect the information system or information system service as part of its capital planning and investment control process, establishes a discrete line item for information security in organizational programming and budgeting information, and assigns authority and accountability to resources for communicating threat information.
Information security coordination: involves active cooperation and collaboration across the entire organization; ensures that security activities across the entire organization are executed in compliance with the information security policy; ensures that security policy deviations are identified and reviewed; identifies how to handle non-compliance (such as sanctions or disciplinary action); assesses the adequacy of the implementation of information security controls; coordinates the implementation of information security controls; effectively promotes information security education, training, and awareness throughout the organization; ensures that threat information has been communicated to identified internal stakeholders; and ensures that threat information has been communicated to identified external stakeholders."
IMP-05.b-L3,05.b,Level 3 (Certified),The organization convenes an internal meeting for the organization’s security single point of contact and the organizational area/business unit security contacts on a monthly or near-to-monthly basis.
IMP-05.b-CMS,05.b,Level CMS,"The organization establishes a discrete line item in CMS programming and budgeting documentation for the implementation and management of information systems security.
The organization develops a security plan for the information system that is consistent with the CMS System Security Plan (SSP) Procedure."
IMP-05.b-NYDOH,05.b,Level NYDOH,"The security plan for the information system: is consistent with the RMH Procedures; is consistent with the organization’s enterprise architecture; explicitly defines the authorization boundary for the system; describes the operational context of the information system in terms of missions and business processes; provides the security categorization of the information system including supporting rationale; describes the operational environment for the information system and relationships with or connections to other information systems; provides an overview of the security requirements for the system; identifies any relevant overlays, if applicable; describes the security controls in place or planned for meeting those requirements including a rationale for the tailoring and supplementation decisions; and is reviewed and approved by the authorizing official or designated representative prior to plan implementation.
The organization updates the security plan: minimally every three years, to address current conditions; whenever there are significant changes to the information system/environment of operation that affect security; whenever problems are identified during plan implementation or security control assessments; whenever the data sensitivity level increases; after a serious security violation due to changes in the threat environment; and before the previous security authorization expires."
IMP-05.b-DGF,05.b,Level DGF,"The stakeholders impacted by Data Governance are well understood.
Funding for Data Governance activities are budgeted and provided for."
IMP-05.c-L1,05.c,Level 1 (Validated),"The organization clearly allocates and assigns responsibilities to identify and protect individual IT assets in accordance with the security policies. Where necessary, the organization supplements policies with more detailed guidance for specific assets and facilities. When security responsibilities are delegated to others, the individual originally assigned these responsibilities remains accountable, and the organization determines that any delegated tasks have been correctly performed."
IMP-05.c-L2,05.c,Level 2 (Validated),"The organizations senior-level information security official coordinates, develops, implements, and maintains an organization-wide information security program. The organization formally assigns the following specific information security responsibilities to an individual or team: establishment, documentation and distribution of security policies and procedures; monitoring and analyzing security alerts and information, and distributing security alerts, information and analysis to appropriate personnel; establishment, documentation and distribution of security incident response and escalation procedures to ensure timely and effective handling of all situations; administering user accounts, including additions, deletions and modifications; and monitoring and controlling all access to data. Information security roles and responsibilities are coordinated and aligned with internal roles, and external partners.
The organization identifies, by name or position, non-professional or professional security contacts in each major organizational area or business unit. The organization clearly defines the roles of each security contact including the administration and implementation of the organization’s security programs, responsibilities of each security contact including the administration and implementation of the organization’s security programs, and authority of each security contact including the administration and implementation of the organization’s security programs. Each security contact annually documents compliance related to identified legal requirements, reports to the organization’s single point of contact for security, provides evaluations on the effectiveness of the policies and procedures implemented in addressing risk, provides evaluations of service provider arrangements, provides significant incidents and the response, and provides recommendations for material changes to the security programs for which they are responsible. The organization's single point of contact for security matters provides supplemental security awareness and training. Security contacts are responsible for reviewing reports related to the security organization, network, systems and programs implemented, and formally approving any material changes to these items prior to implementation."
IMP-05.c-L3,05.c,Level 3 (Certified),The organization specifically defines the roles and responsibilities of each security contact in writing.
IMP-05.c-DGF,05.c,Level DGF,"The organization has identified an executive owner responsible for the Data Governance program, goals, and implementation roadmap."
IMP-05.d-L1,05.d,Level 1 (Validated),Management formally authorizes (approves) new information assets and facilities for processing (use) before commencing operations and periodically reviews and updates authorizations (approvals) at a frequency defined by the organization – but no less than three years.
IMP-05.d-L2,05.d,Level 2 (Validated),"The following is required for the authorization process for information assets and facilities: new information processing assets (internal to the organization or via a service provided by a third-party) have appropriate user management authorization of their purpose and use; authorization is also obtained from the manager responsible for maintaining the local information system security environment to ensure that all relevant security policies and requirements are met; information assets have appropriate security measures commensurate with the type of information it will store, process, or transmit; the assets address compliance with all applicable laws, regulations, standards, policies, and other applicable sections of the HITRUST CSF; hardware and software is checked to ensure that they are compatible with other system components; and the use of personal or privately owned information processing equipment (e.g., laptops, home- computers, or hand-held devices) for processing business information, may introduce new vulnerabilities and necessary controls are identified and implemented."
IMP-05.d-L3,05.d,Level 3 (Certified),"All facilities undergo a site security survey, prior to lease or purchase, by the organization’s security department or a trusted third-party. The organization resolves all security shortcomings before any covered information is processed at that location. All sites that process covered information are reviewed whenever the site undergoes a significant change in mission or makes substantive physical changes in its facilities or workforce and no less than annually."
IMP-05.d-CMS,05.d,Level CMS,The organization: ensures that the authorizing official authorizes the information system for processing before commencing operations; updates the security authorization within every three years; updates the security authorization when significant changes are made to the system; updates the security authorization when changes in requirements result in the need to process data of a higher sensitivity; updates the security authorization when changes occur to authorizing legislation or federal requirements; updates the security authorization after the occurrence of a serious security violation which raises questions about the validity of an earlier security authorization; updates the security authorization prior to expiration of a previous security authorization.
IMP-05.d-HIX,05.d,Level HIX,"The organization ensures that the authorizing official authorizes the information system for processing before commencing operations. A senior organization official signs the systems Authority to Operate (ATO) before commencing operations. If the organization maintains a system-to-system connection with CMS through an executed interconnection security agreement (ISA), the CMS-granted Authority to Connect (ATC) is updated within every three years, when significant changes are made to the system, when changes in requirements result in the need to process data of a higher sensitivity, when changes occur to authorizing legislation or federal requirements, after the occurrence of a serious security violation, which raises questions about the validity of an earlier security authorization, and prior to the expiration of a previous security authorization."
IMP-05.d-NYDOH,05.d,Level NYDOH,"The organization has assigned authority to the CMS CIO, CISO, and Senior Official for Privacy (SOP) to order the immediate termination and/or suspension of any interconnection that, in the judgment of the CMS officer and CMS Security Operations, presents an unacceptable level of risk to the CMS enterprise and/or mission.
The organization updates the security authorization when changes occur to authorizing legislation or federal requirements that impact the system."
IMP-05.e-L1,05.e,Level 1 (Validated),Requirements for confidentiality and non-disclosure agreements are reviewed at least annually and when changes occur that influence these requirements. Confidentiality and non-disclosure agreements comply with all applicable laws and regulations for the jurisdiction to which it applies.
IMP-05.e-L2,05.e,Level 2 (Validated),"The organization publishes a list of representatives who are authorized to sign a non- disclosure agreement on behalf of the organization, and keeps the list up to date to reflect personnel changes and departures."
IMP-05.e-HIE,05.e,Level HIE,"As part of the agreement with connecting organizations, the HIE specifies which organization owns the data, and any restrictions as part of that ownership such as retention, integrity, and accuracy of data as part of its agreement with connecting organizations. Further, if the HIE is the owner of the data, all federal and state requirements associated with the patients’ information are met."
IMP-05.f-L1,05.f,Level 1 (Validated),The organization includes key contacts including phone numbers and email addresses as part of its incident management and/or business continuity plan. The organization designates a point of contact to review the list at least annually to keep it current.
IMP-05.f-L2,05.f,Level 2 (Validated),"Each group within the organization (e.g., information security) has procedures documented and implemented that specify when and by whom authorities (e.g., law enforcement, fire department, supervisory authorities) are contacted, and how identified information security incidents are reported in a timely manner if it is suspected that laws may have been broken.
The organization conducts an exercise at least annually to make contact with a majority (at least 80 percent) of the listed contacts in the plan being exercised. The organization documents that the contact person and information are current during an incident/continuity plan exercise."
IMP-05.f-L3,05.f,Level 3 (Certified),The organization includes key contacts including phone numbers and email addresses as part of its incident management and/or business continuity plan. The organization designates a point of contact to review the list of key contacts in its incident management and/or business continuity plan at least quarterly to keep it current.
IMP-05.g-L1,05.g,Level 1 (Validated),"Membership in organization-defined special interest groups or forums/services are considered as a means to: improve knowledge of best practices and stay up to date with relevant security information; ensure the understanding of the information security environment is current and complete (e.g., threat monitoring/intelligence services); receive early warnings of alerts, advisories, and patches pertaining to attacks and vulnerabilities; gain access to specialist information security advice; share and exchange information about new technologies, products, threats, or vulnerabilities; and provide suitable liaison points when dealing with information security incidents."
IMP-05.g-L2,05.g,Level 2 (Validated),"Membership in special interest groups or forums/services is required and actively maintained.
The organization has a process to quickly identify newly discovered security threats and vulnerabilities such as a credible subscription service and map new threats and vulnerabilities into its security policies, guidelines, and daily operational procedures."
IMP-05.g-CMS,05.g,Level CMS,The organization implements security directives in accordance with established time frames or notifies CMS of the degree of noncompliance.
IMP-05.g-HIX,05.g,Level HIX,"The organization: disseminates security alerts, advisories and directives to organization-defined personnel with roles in system administration, monitoring, and/or security responsibilities; and implements security directives in accordance with established time frames or notifies the business owner of the degree of noncompliance."
IMP-05.h-L1,05.h,Level 1 (Validated),An independent review of the information security management program and information security controls is conducted at least annually or whenever there is a material change to the business practices that may implicate the security or integrity of records containing personal information.
IMP-05.h-L2,05.h,Level 2 (Validated),"An independent review of the organization’s information security management program is initiated by management to ensure the continuing suitability, adequacy, and effectiveness of the organization’s approach to managing information security and privacy. The tests and methods used are sufficient to validate the effectiveness of the security plan. Independent security program reviews: include an assessment of the organizations adherence to its security plan; address the need for changes to the approach to security in light of evolving circumstances, including the policy and control objectives and other opportunities for improvement, including those based on regular vulnerability assessments (e.g., network scans and penetration testing); carefully control information security tests to limit the risks to confidentiality, integrity, and system availability; are carried out by individuals independent of the area under review (e.g., the internal audit function, an independent manager or a third-party organization specializing in such reviews); are carried out by individuals who have the appropriate skills and experience; and include notification requirements to confirm whom to inform within the organization about the timing and nature of the assessment.
Independent security program reviews are recorded and reported to the management who initiated the review, and maintained for a predetermined period of time as determined by the organization, but not less than three years."
IMP-05.h-NYDOH,05.h,Level NYDOH,"The organization assesses the security and privacy controls in the information system and its environment of operation, as defined in implementation standards, within every 365 days in accordance with the CMS Information Security (IS) Acceptable Risk Safeguards (ARS) Including CMS Minimum Security Requirements (CMSR) Standards to determine the extent to which the controls are implemented correctly, operating as intended, and producing the desired outcome with respect to meeting established security and privacy requirements.
The organization provides the results of the security and privacy control assessment within 30 days after its completion, in writing, to the Business Owner responsible for the system and personnel responsible for reviewing the assessment documentation, updating system security documentation where necessary to reflect any changes to the system."
IMP-05.i-L1,05.i,Level 1 (Validated),"Access granted to external parties is limited to the minimum necessary, limited in duration, and is revoked when no longer needed."
IMP-05.i-L2,05.i,Level 2 (Validated),"Access to the organization’s information and systems by external parties is not permitted until due diligence is carried out to identify any requirements for specific controls where access to sensitive information (e.g., covered information, cardholder data) by external parties is required prior to establishing a formal relationship with the service provider, the appropriate controls have been implemented and, where feasible, a contract has been signed defining the terms and conditions for the connection or access and the working arrangement, all security requirements resulting from work with external parties or internal controls are reflected by the agreement with the external party, and it is ensured that the external party is aware of their obligations, and accepts the responsibilities and liabilities involved in accessing, processing, communicating, or managing the organization’s information and information assets.
All remote access connections between the organization and all external parties are secured via encrypted channels (e.g., VPN). Any covered information shared with an external party is encrypted prior to transmission."
IMP-05.i-L3,05.i,Level 3 (Certified),"Due diligence of the external party includes interviews, document review, checklists, review certifications (e.g., HITRUST) or other remote means and is integrated with the execution of a non-disclosure agreement (NDA)."
IMP-05.i-NYDOH,05.i,Level NYDOH,"Privacy requirements must be addressed in agreements that cover relationships in which external information systems are used to access, process, store, or transmit and manage PII.
The organization facilitates information sharing by enabling authorized users to determine whether access authorizations assigned to the sharing partner match the access restrictions on the information for approved information-sharing circumstances where user discretion is required."
IMP-05.j-L1,05.j,Level 1 (Validated),"The following security term is addressed prior to giving customers access to any of the organization’s assets: description of the product or service to be provided; the right to monitor, and revoke, any activity related to the organization’s assets; the respective liabilities of the organization and the customer. It is ensured that the customer is aware of their obligations. It is ensured that the customer accepts the responsibilities and liabilities prior to accessing, processing, communicating, or managing the organization’s information and information assets."
IMP-05.j-L2,05.j,Level 2 (Validated),"The following security terms related to asset protection are addressed prior to giving customers access to any of the organization's assets: procedures to protect the organization’s assets, including information and software, and management of known vulnerabilities; procedures to determine whether any compromise of the assets (e.g., loss or modification of data) has occurred; integrity; restrictions on copying and disclosing information; permitted access methods, and the control and use of unique identifiers such as user IDs and passwords; an authorization process for user access and privileges; a statement that all access that is not explicitly authorized is forbidden; and a process for revoking access rights or interrupting the connection between systems. The following security terms related to security incident management are addressed prior to giving customers access to any of the organization’s assets: reporting of information inaccuracies (e.g., of personal details), information security incidents, and security breaches; notification of information inaccuracies (e.g., of personal details), information security incidents, and security breaches; and investigation of information inaccuracies (e.g., of personal details), information security incidents, and security breaches. The following security terms are addressed prior to giving customers access to any of the organization’s assets: a description of each service to be made available; the target level of service and unacceptable levels of service; the different reasons, requirements, and benefits for customer access; responsibilities with respect to legal matters and how it is ensured that the legal requirements are met (e.g., data protection legislation), especially taking into account different national legal systems if the agreement involves co-operation with customers in other countries; and intellectual property rights (IPRs) and copyright assignment and protection of any collaborative work. Access by customers to the organization’s information is not provided until the appropriate controls have been implemented and, where feasible, a contract has been signed defining the terms and conditions for the connection or access and the working arrangement.
All security requirements resulting from work with external parties or internal controls are reflected by the agreement with the external party."
IMP-05.j-CMS,05.j,Level CMS,"The organization requires that PII, as well as software and services that receive, process, store, or transmit PII must be isolated within a service provider environment to the maximum extent possible so that the other service provider customers sharing physical or virtual space cannot gain access to such data or applications."
IMP-05.k-L1,05.k,Level 1 (Validated),The organization identifies and mandates information security controls to specifically address supplier access to the organization’s information and information assets.
IMP-05.k-L2,05.k,Level 2 (Validated),"The standard agreement with third-parties includes: the information security policy; procedures to protect organizational assets, including information, software, and hardware; any required physical protection controls and mechanisms; controls to ensure protection against malicious software; procedures to determine whether any compromise of the assets (e.g., loss or modification of information, software and hardware) has occurred; controls to ensure the return or destruction of information and assets at the end of, or at an agreed point in time during the agreement; confidentiality, integrity, availability, and any other relevant property of the assets; restrictions on copying and disclosing information, and using confidentiality agreements; user and administrator training in methods, procedures, and security; ensuring user awareness for information security responsibilities and issues; provision for the transfer of personnel, where appropriate; responsibilities regarding hardware and software installation and maintenance; a clear reporting structure and agreed reporting formats; a clear and specified process of change management; the different reasons, requirements, and benefits that make the access by the third party necessary; permitted access methods, and the control and use of unique identifiers such as user IDs and passwords; an authorization process for user access and privileges; a requirement to maintain a list of individuals authorized to use the services being made available, and what their rights and privileges are with respect to such use; a statement that all access that is not explicitly authorized is forbidden; a process for revoking access rights or interrupting the connection between systems.
The standard agreement with third-parties states: that the third party, following the discovery of a breach of unsecured covered information, notifies the organization of such breach, including the identification of each individual whose unsecured PII has been, or is reasonably believed by the third party to have been, accessed, acquired, or disclosed during such breach; that all security incident and breach-related notifications are made without unreasonable delay and in no case later than 60 calendar days after the discovery of a breach if the third party is an agent of the organization, otherwise the timing of the notification is explicitly addressed in the contract if the third party is not an agent of the organization; that evidence is maintained demonstrating that all security incident and breach-related notifications were made without unreasonable delay; that any other information that may be needed in the security incident and breach-related notification to individuals, either at the time notice of the breach is provided or promptly thereafter as information becomes available. The standard agreement with third-parties includes: a description of the product or service to be provided, and a description of the information to be made available along with its security classification; the target level of service and unacceptable levels of service; the definition of verifiable performance criteria, their monitoring and reporting; the right to monitor, and revoke, any activity related to the organization’s assets; the right to audit responsibilities, defined in the agreement, to have those audits carried out by a third party, and to enumerate the statutory rights of auditors; the penalties exacted in the event of any failure in respect of the above; the establishment of an escalation process for problem resolution; service continuity requirements, including measures for availability and reliability, in accordance with an organization’s business priorities; the respective liabilities of the parties to the agreement; responsibilities with respect to legal matters and how it is ensured that the legal requirements are met (e.g., data protection legislation) especially taking into account different national legal systems if the agreement involves co-operation with organizations in other countries; intellectual property rights (IPRs) and copyright assignment and protection of any collaborative work; conditions for renegotiation/termination of agreements, including a contingency plan in place in case either party wishes to terminate the relation before the end of the agreements; conditions for renegotiation/termination of agreements, including renegotiation of agreements if the security requirements of the organization change; conditions for renegotiation/termination of agreements, including current documentation of asset lists, licenses, agreements, or rights relating to them. The organization requires third-party providers to notify a designated individual or role (e.g., a member of the contracting or supply chain function) of any personnel transfers or terminations of third-party personnel who possess organizational credentials and/or badges, or who have information system privileges within 15 calendar days."
IMP-05.k-GDPR,05.k,Level GDPR,"If the organization is classified as a joint controller, the controller jointly determines: the purposes and means of processing with one or more other controllers; with one or more other controllers their respective responsibilities for compliance with their obligations under GDPR in a transparent manner; with one or more other controllers their respective responsibilities with respect to the exercising of the rights of the data subject whether obtained by the controller from the subject or from another source, by means of an arrangement between them unless, and in so far as, the respective responsibilities of the controllers are determined by EU or Member State law to which the controllers are subject; and with one or more other controllers their respective responsibilities with respect to their respective duties to provide information regarding access to personal data whether obtained by the controller from the subject or from another source, by means of an arrangement between them unless, and in so far as, the respective responsibilities of the controllers are determined by EU or Member State law to which the controllers are subject. This arrangement duly reflects the respective roles and relationships of the joint controllers vis-à-vis the data subjects. The essence of the arrangement is made available to the data subject. Each data controller involved in the arrangement specifically allows a data subject to exercise the subjects rights under the GDPR in respect of and against each of the controllers.
The processor only engages with another processer when given prior specific or general written authorization of the controller. In the case of general written authorization–the processor informs the controller of any intended changes concerning the addition or replacement of other processors, thereby giving the controller the opportunity to object to such changes."
IMP-05.k-HIE,05.k,Level HIE,"As part of the agreement with the connecting organizations, the HIE specifies: the requirements of the connecting organization to define and communicate to the HIE access roles for the connecting organization’s employees; that it is the sole responsibility of the connecting organization to appropriately restrict access in accordance with federal and state requirements (e.g., mental health information); and the requirements of connecting organizations to request and receive detailed access logs related to the connecting organization’s records."
IMP-05.k-PCI,05.k,Level PCI,"The organization identifies and documents information about which PCI DSS requirements are managed by each service provider, and which are managed by the organization."
IMP-05.k-NIS2,05.k,Level NIS2,"The organization develops and maintains a supply chain security policy which documents, at a minimum, the organization's role in the supply chain, the cybersecurity practices of suppliers and service providers, including their secure development procedures, the ability of suppliers and service providers to meet security requirements, the overall quality and resilience of information technology products and services with security risk-management measures embedded in them, the risks and classification level of information technology products and services, and the ability of the organization to diversify sources of supply."
IMP-06.a-L1,06.a,Level 1 (Validated),"All relevant statutory, regulatory, and contractual requirements, including the specific controls and individual responsibilities to meet these requirements, are explicitly defined and formally documented (e.g., in policies and procedures, as appropriate) for each information system type, and communicated to the user community as necessary through documented security training and awareness programs."
IMP-06.a-L2,06.a,Level 2 (Validated),"The organization joins industry trade associations, subscribes to thought leadership and market/security research organizations, or establishes some other reliable process to stay abreast of business sector, industry, technology, infrastructure, legal, and regulatory environment trends that may impact the organization’s security policies. Consequences of business sector, industry, technology, infrastructure, legal and regulatory environment trends impacting the organizations security policies are incorporated into the development or update of IT policies and procedures."
IMP-06.b-L1,06.b,Level 1 (Validated),"The organization establishes restrictions on the use of open source software. Open source software used by the organization is legally licensed, authorized, and adheres to the organizations secure configuration policy."
IMP-06.b-L2,06.b,Level 2 (Validated),"The organization ensures compliance with any legislative, regulatory, or contractual requirements that may place restrictions on the copying of proprietary material including copyrights, design rights, or trademarks by: acquiring software only through known and reputable sources, to ensure that copyright is not violated; maintaining proof and evidence of ownership of licenses, master disks, manuals, etc.; implementing controls to ensure that any maximum number of users permitted is not exceeded; carrying out annual checks that only authorized software and licensed products are installed; developing and providing a policy for maintaining agreed upon license conditions; using manual audit tools; complying with terms and conditions for software and information obtained from public networks; and use of proprietary software must also be in compliance with encryption, export and local data privacy regulations.
The organization ensures compliance with any legislative, regulatory, or contractual requirements that may place restrictions on the copying of proprietary material including copyrights, design rights, or trademarks by also: publishing an intellectual property rights compliance policy which defines the legal use of software and information products; maintaining awareness of policies to protect intellectual property rights, and giving notice of the intent to take disciplinary action against personnel breaching them; maintaining appropriate asset registers, and identifying all assets with requirements to protect intellectual property rights; developing and providing a policy for disposing or transferring software to others; not duplicating, converting to another format or extracting from commercial recordings (film, audio) other than permitted by copyright law; and not copying in full or in part, books, articles, reports or other documents, other than permitted by copyright law."
IMP-06.b-L3,06.b,Level 3 (Certified),"The organization controls and documents the use of publicly accessible peer-to-peer file sharing technology to ensure that this capability is not used for the unauthorized distribution, display, performance, or reproduction of copyrighted work.
Software license tracking is accomplished by manual methods (e.g., simple spreadsheets) or automated methods (e.g., specialized tracking applications) depending on organizational need."
IMP-06.c-L1,06.c,Level 1 (Validated),"Guidelines are issued and implemented by the organization on the ownership, classification, retention, storage, handling, and disposal of all records and information."
IMP-06.c-L2,06.c,Level 2 (Validated),"The organization’s formal policies, formal procedures, other critical records (e.g., results from a risk assessment), and disclosures of individuals’ protected health information are retained for a minimum of six years. For electronic health records, the organization must retain records of disclosures to carry out treatment, payment and healthcare operations for a minimum of three years.
Important records, such as contracts, personnel records, financial information, client/customer information are protected from loss, destruction, and falsification. Security controls, such as access controls, encryption, backups, electronic signatures, locked facilities, or containers are implemented to protect these essential records and information."
