control_id,requirement_id,assurance_level
12.a,IMP-12.a-L2,Level 2 (Validated)
12.a,IMP-12.a-HIPAA,Level HIPAA
12.b,IMP-12.b-L1,Level 1 (Validated)
12.b,IMP-12.b-L2,Level 2 (Validated)
12.c,IMP-12.c-L1,Level 1 (Validated)
12.c,IMP-12.c-L2,Level 2 (Validated)
12.c,IMP-12.c-L3,Level 3 (Certified)
12.c,IMP-12.c-CMS,Level CMS
12.c,IMP-12.c-HIX,Level HIX
12.c,IMP-12.c-NYDOH,Level NYDOH
12.d,IMP-12.d-L1,Level 1 (Validated)
12.d,IMP-12.d-L2,Level 2 (Validated)
12.d,IMP-12.d-L3,Level 3 (Certified)
12.e,IMP-12.e-L1,Level 1 (Validated)
12.e,IMP-12.e-L2,Level 2 (Validated)
12.e,IMP-12.e-L3,Level 3 (Certified)
12.e,IMP-12.e-CMS,Level CMS
12.e,IMP-12.e-NYDOH,Level NYDOH
13.a,IMP-13.a-L1,Level 1 (Validated)
13.a,IMP-13.a-L2,Level 2 (Validated)
13.a,IMP-13.a-CMS,Level CMS
13.a,IMP-13.a-GDPR,Level GDPR
13.a,IMP-13.a-HIPAA,Level HIPAA
13.a,IMP-13.a-PHIPA,Level PHIPA
13.b,IMP-13.b-L1,Level 1 (Validated)
13.b,IMP-13.b-L2,Level 2 (Validated)
13.b,IMP-13.b-GDPR,Level GDPR
13.b,IMP-13.b-HIPAA,Level HIPAA
13.b,IMP-13.b-CCPA,Level CCPA
13.b,IMP-13.b-PHIPA,Level PHIPA
13.c,IMP-13.c-L1,Level 1 (Validated)
13.c,IMP-13.c-CMS,Level CMS
13.c,IMP-13.c-HIPAA,Level HIPAA
13.d,IMP-13.d-L1,Level 1 (Validated)
13.d,IMP-13.d-L2,Level 2 (Validated)
13.d,IMP-13.d-GDPR,Level GDPR
13.d,IMP-13.d-HIPAA,Level HIPAA
13.d,IMP-13.d-CCPA,Level CCPA
13.d,IMP-13.d-NYDOH,Level NYDOH
13.d,IMP-13.d-PHIPA,Level PHIPA
13.e,IMP-13.e-L1,Level 1 (Validated)
13.e,IMP-13.e-GDPR,Level GDPR
13.e,IMP-13.e-HIPAA,Level HIPAA
13.e,IMP-13.e-CCPA,Level CCPA
13.e,IMP-13.e-NYDOH,Level NYDOH
13.e,IMP-13.e-PHIPA,Level PHIPA
13.f,IMP-13.f-L1,Level 1 (Validated)
13.f,IMP-13.f-GDPR,Level GDPR
13.f,IMP-13.f-HIPAA,Level HIPAA
13.f,IMP-13.f-CCPA,Level CCPA
13.f,IMP-13.f-PHIPA,Level PHIPA
13.g,IMP-13.g-L1,Level 1 (Validated)
13.g,IMP-13.g-GDPR,Level GDPR
13.h,IMP-13.h-L1,Level 1 (Validated)
13.h,IMP-13.h-CMS,Level CMS
13.i,IMP-13.i-L1,Level 1 (Validated)
13.i,IMP-13.i-GDPR,Level GDPR
13.i,IMP-13.i-PHIPA,Level PHIPA
13.j,IMP-13.j-L1,Level 1 (Validated)
13.j,IMP-13.j-L2,Level 2 (Validated)
13.j,IMP-13.j-GDPR,Level GDPR
13.j,IMP-13.j-HIPAA,Level HIPAA
13.j,IMP-13.j-PHIPA,Level PHIPA
13.k,IMP-13.k-L1,Level 1 (Validated)
13.k,IMP-13.k-L2,Level 2 (Validated)
13.k,IMP-13.k-L3,Level 3 (Certified)
13.k,IMP-13.k-Federal,Level Federal
13.k,IMP-13.k-GDPR,Level GDPR
13.k,IMP-13.k-HIPAA,Level HIPAA
13.k,IMP-13.k-PHIPA,Level PHIPA
13.l,IMP-13.l-L1,Level 1 (Validated)
13.l,IMP-13.l-L3,Level 3 (Certified)
13.l,IMP-13.l-CMS,Level CMS
13.l,IMP-13.l-GLBA,Level GLBA
13.m,IMP-13.m-L1,Level 1 (Validated)
13.m,IMP-13.m-L2,Level 2 (Validated)
13.m,IMP-13.m-CMS,Level CMS
13.m,IMP-13.m-PHIPA,Level PHIPA
13.n,IMP-13.n-L1,Level 1 (Validated)
13.n,IMP-13.n-GDPR,Level GDPR
13.o,IMP-13.o-L1,Level 1 (Validated)
13.o,IMP-13.o-L2,Level 2 (Validated)
13.o,IMP-13.o-CMS,Level CMS
13.o,IMP-13.o-HIPAA,Level HIPAA
13.o,IMP-13.o-NYDOH,Level NYDOH
13.o,IMP-13.o-PHIPA,Level PHIPA
13.p,IMP-13.p-L1,Level 1 (Validated)
13.p,IMP-13.p-CMS,Level CMS
13.p,IMP-13.p-GDPR,Level GDPR
13.p,IMP-13.p-PHIPA,Level PHIPA
13.q,IMP-13.q-L1,Level 1 (Validated)
13.q,IMP-13.q-CMS,Level CMS
13.q,IMP-13.q-GDPR,Level GDPR
13.r,IMP-13.r-L1,Level 1 (Validated)
13.r,IMP-13.r-GDPR,Level GDPR
13.r,IMP-13.r-HIPAA,Level HIPAA
13.r,IMP-13.r-NYDOH,Level NYDOH
13.s,IMP-13.s-L1,Level 1 (Validated)
13.t,IMP-13.t-L1,Level 1 (Validated)
13.t,IMP-13.t-CMS,Level CMS
13.t,IMP-13.t-CCPA,Level CCPA
13.t,IMP-13.t-NYDOH,Level NYDOH
13.u,IMP-13.u-L1,Level 1 (Validated)
13.u,IMP-13.u-L2,Level 2 (Validated)
13.u,IMP-13.u-PHIPA,Level PHIPA
