enhancement_id,control_id,enhancement_number,enhancement_name,enhancement_text,discussion,related_controls,status,source_document
CM-5(5),CM-5,5,ACCESS RESTRICTIONS FOR CHANGE | PRIVILEGE LIMITATION FOR PRODUCTION AND OPERATION,(a) Limit privileges to change system components and system-related information within a production or operational environment; and (b) Review and reevaluate privileges [Assignment: organization-defined frequency].,"In many organizations, systems support multiple mission and business functions. Limiting privileges to change system components with respect to operational systems is necessary because changes to a system component may have far-reaching effects on mission and business processes supported by the system. The relationships between systems and mission/business processes are, in some cases, unknown to developers. System-related information includes operational procedures.",AC-2.,Active,NIST.SP.800-53r5.pdf
CM-5(6),CM-5,6,ACCESS RESTRICTIONS FOR CHANGE | LIMIT LIBRARY PRIVILEGES,Limit privileges to change software resident within software libraries.,Software libraries include privileged programs.,AC-2.,Active,NIST.SP.800-53r5.pdf
CM-5(7),CM-5,7,ACCESS RESTRICTIONS FOR CHANGE | AUTOMATIC IMPLEMENTATION OF SECURITY SAFEGUARDS,[Withdrawn: Incorporated into SI-7.],,,Withdrawn,NIST.SP.800-53r5.pdf
CM-6(1),CM-6,1,"CONFIGURATION SETTINGS | AUTOMATED MANAGEMENT, APPLICATION, AND VERIFICATION","Manage, apply, and verify configuration settings for [Assignment: organization-defined system components] using [Assignment: organization-defined automated mechanisms].","Automated tools (e.g., hardening tools, baseline configuration tools) can improve the accuracy, consistency, and availability of configuration settings information. Automation can also provide data aggregation and data correlation capabilities, alerting mechanisms, and dashboards to support risk-based decision-making within the organization.",CA-7.,Active,NIST.SP.800-53r5.pdf
CM-6(2),CM-6,2,CONFIGURATION SETTINGS | RESPOND TO UNAUTHORIZED CHANGES,Take the following actions in response to unauthorized changes to [Assignment: organization-defined configuration settings]: [Assignment: organization-defined actions].,"Responses to unauthorized changes to configuration settings include alerting designated organizational personnel, restoring established configuration settings, or—in extreme cases—halting affected system processing.","IR-4, IR-6, SI-7.",Active,NIST.SP.800-53r5.pdf
CM-6(3),CM-6,3,CONFIGURATION SETTINGS | UNAUTHORIZED CHANGE DETECTION,[Withdrawn: Incorporated into SI-7.],,,Withdrawn,NIST.SP.800-53r5.pdf
CM-6(4),CM-6,4,CONFIGURATION SETTINGS | CONFORMANCE DEMONSTRATION,[Withdrawn: Incorporated into CM-4.],,,Withdrawn,NIST.SP.800-53r5.pdf
CM-7(1),CM-7,1,LEAST FUNCTIONALITY | PERIODIC REVIEW,"(a) Review the system [Assignment: organization-defined frequency] to identify unnecessary and/or nonsecure functions, ports, protocols, software, and services; and (b) Disable or remove [Assignment: organization-defined functions, ports, protocols, software, and services within the system deemed to be unnecessary and/or nonsecure].","Organizations review functions, ports, protocols, and services provided by systems or system components to determine the functions and services that are candidates for elimination. Such reviews are especially important during transition periods from older technologies to newer technologies (e.g., transition from IPv4 to IPv6). These technology transitions may require implementing the older and newer technologies simultaneously during the transition period and returning to minimum essential functions, ports, protocols, and services at the earliest opportunity. Organizations can either decide the relative security of the function, port, protocol, and/or service or base the security decision on the assessment of other entities. Unsecure protocols include Bluetooth, FTP, and peer-to-peer networking.",AC-18.,Active,NIST.SP.800-53r5.pdf
CM-7(2),CM-7,2,LEAST FUNCTIONALITY | PREVENT PROGRAM EXECUTION,"Prevent program execution in accordance with [Selection (one or more): [Assignment: organization-defined policies, rules of behavior, and/or access agreements regarding software program usage and restrictions]; rules authorizing the terms and conditions of software program usage].","Prevention of program execution addresses organizational policies, rules of behavior, and/or access agreements that restrict software usage and the terms and conditions imposed by the developer or manufacturer, including software licensing and copyrights. Restrictions include prohibiting auto-execute features, restricting roles allowed to approve program execution, permitting or prohibiting specific software programs, or restricting the number of program instances executed at the same time.","CM-8, PL-4, PL-9, PM-5, PS-6.",Active,NIST.SP.800-53r5.pdf
CM-7(3),CM-7,3,LEAST FUNCTIONALITY | REGISTRATION COMPLIANCE,"Ensure compliance with [Assignment: organization-defined registration requirements for functions, ports, protocols, and services].","Organizations use the registration process to manage, track, and provide oversight for systems and implemented functions, ports, protocols, and services.",,Active,NIST.SP.800-53r5.pdf
CM-7(4),CM-7,4,LEAST FUNCTIONALITY | UNAUTHORIZED SOFTWARE — DENY-BY-EXCEPTION,"(a) Identify [Assignment: organization-defined software programs not authorized to execute on the system]; (b) Employ an allow-all, deny-by-exception policy to prohibit the execution of unauthorized software programs on the system; and (c) Review and update the list of unauthorized software programs [Assignment: organization-defined frequency].","Unauthorized software programs can be limited to specific versions or from a specific source. The concept of prohibiting the execution of unauthorized software may also be applied to user actions, system ports and protocols, IP addresses/ranges, websites, and MAC addresses.","CM-6, CM-8, CM-10, PL-9, PM-5.",Active,NIST.SP.800-53r5.pdf
CM-7(5),CM-7,5,LEAST FUNCTIONALITY | AUTHORIZED SOFTWARE — ALLOW-BY-EXCEPTION,"(a) Identify [Assignment: organization-defined software programs authorized to execute on the system]; (b) Employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs on the system; and (c) Review and update the list of authorized software programs [Assignment: organization-defined frequency].","Authorized software programs can be limited to specific versions or from a specific source. To facilitate a comprehensive authorized software process and increase the strength of protection for attacks that bypass application level authorized software, software programs may be decomposed into and monitored at different levels of detail. These levels include applications, application programming interfaces, application modules, scripts, system processes, system services, kernel functions, registries, drivers, and dynamic link libraries. The concept of permitting the execution of authorized software may also be applied to user actions, system ports and protocols, IP addresses/ranges, websites, and MAC addresses. Organizations consider verifying the integrity of authorized software programs using digital signatures, cryptographic checksums, or hash functions. Verification of authorized software can occur either prior to execution or at system startup. The identification of authorized URLs for websites is addressed in CA-3(5) and SC-7.","CM-2, CM-6, CM-8, CM-10, PL-9, PM-5, SA-10, SC-34, SI-7.",Active,NIST.SP.800-53r5.pdf
CM-7(6),CM-7,6,LEAST FUNCTIONALITY | CONFINED ENVIRONMENTS WITH LIMITED PRIVILEGES,Require that the following user-installed software execute in a confined physical or virtual machine environment with limited privileges: [Assignment: organization-defined user-installed software].,"Organizations identify software that may be of concern regarding its origin or potential for containing malicious code. For this type of software, user installations occur in confined environments of operation to limit or contain damage from malicious code that may be executed.","CM-11, SC-44.",Active,NIST.SP.800-53r5.pdf
CM-7(7),CM-7,7,LEAST FUNCTIONALITY | CODE EXECUTION IN PROTECTED ENVIRONMENTS,Allow execution of binary or machine-executable code only in confined physical or virtual machine environments and with the explicit approval of [Assignment: organization-defined personnel or roles] when such code is: (a) Obtained from sources with limited or no warranty; and/or (b) Without the provision of source code.,"Code execution in protected environments applies to all sources of binary or machine-executable code, including commercial software and firmware and open-source software.","CM-10, SC-44.",Active,NIST.SP.800-53r5.pdf
CM-7(8),CM-7,8,LEAST FUNCTIONALITY | BINARY OR MACHINE EXECUTABLE CODE,(a) Prohibit the use of binary or machine-executable code from sources with limited or no warranty or without the provision of source code; and (b) Allow exceptions only for compelling mission or operational requirements and with the approval of the authorizing official.,"Binary or machine executable code applies to all sources of binary or machine-executable code, including commercial software and firmware and open-source software. Organizations assess software products without accompanying source code or from sources with limited or no warranty for potential security impacts. The assessments address the fact that software products without the provision of source code may be difficult to review, repair, or extend. In addition, there may be no owners to make such repairs on behalf of organizations. If open-source software is used, the assessments address the fact that there is no warranty, the open-source software could contain back doors or malware, and there may be no support available.","SA-5, SA-22.",Active,NIST.SP.800-53r5.pdf
CM-7(9),CM-7,9,LEAST FUNCTIONALITY | PROHIBITING THE USE OF UNAUTHORIZED HARDWARE,(a) Identify [Assignment: organization-defined hardware components authorized for system use]; (b) Prohibit the use or connection of unauthorized hardware components; (c) Review and update the list of authorized hardware components [Assignment: organization-defined frequency].,Hardware components provide the foundation for organizational systems and the platform for the execution of authorized software programs. Managing the inventory of hardware components and controlling which hardware components are permitted to be installed or connected to organizational systems is essential in order to provide adequate security.,,Active,NIST.SP.800-53r5.pdf
CM-8(1),CM-8,1,SYSTEM COMPONENT INVENTORY | UPDATES DURING INSTALLATION AND REMOVAL,"Update the inventory of system components as part of component installations, removals, and system updates.","Organizations can improve the accuracy, completeness, and consistency of system component inventories if the inventories are updated as part of component installations or removals or during general system updates. If inventories are not updated at these key times, there is a greater likelihood that the information will not be appropriately captured and documented. System updates include hardware, software, and firmware components.",PM-16.,Active,NIST.SP.800-53r5.pdf
CM-8(2),CM-8,2,SYSTEM COMPONENT INVENTORY | AUTOMATED MAINTENANCE,"Maintain the currency, completeness, accuracy, and availability of the inventory of system components using [Assignment: organization-defined automated mechanisms].","Organizations maintain system inventories to the extent feasible. For example, virtual machines can be difficult to monitor because such machines are not visible to the network when not in use. In such cases, organizations maintain as up-to-date, complete, and accurate an inventory as is deemed reasonable. Automated maintenance can be achieved by the implementation of CM-2(2) for organizations that combine system component inventory and baseline configuration activities.",,Active,NIST.SP.800-53r5.pdf
CM-8(3),CM-8,3,SYSTEM COMPONENT INVENTORY | AUTOMATED UNAUTHORIZED COMPONENT DETECTION,"(a) Detect the presence of unauthorized hardware, software, and firmware components within the system using [Assignment: organization-defined automated mechanisms] [Assignment: organization-defined frequency]; and (b) Take the following actions when unauthorized components are detected: [Selection (one or more): disable network access by such components; isolate the components; notify [Assignment: organization-defined personnel or roles]].","Automated unauthorized component detection is applied in addition to the monitoring for unauthorized remote connections and mobile devices. Monitoring for unauthorized system components may be accomplished on an ongoing basis or by the periodic scanning of systems for that purpose. Automated mechanisms may also be used to prevent the connection of unauthorized components (see CM-7(9)). Automated mechanisms can be implemented in systems or in separate system components. When acquiring and implementing automated mechanisms, organizations consider whether such mechanisms depend on the ability of the system component to support an agent or supplicant in order to be detected since some types of components do not have or cannot support agents (e.g., IoT devices, sensors). Isolation can be achieved , for example, by placing unauthorized system components in separate domains or subnets or quarantining such components. This type of component isolation is commonly referred to as “sandboxing.”","AC-19, CA-7, RA-5, SC-3, SC-39, SC-44, SI-3, SI-4, SI-7.",Active,NIST.SP.800-53r5.pdf
CM-8(4),CM-8,4,SYSTEM COMPONENT INVENTORY | ACCOUNTABILITY INFORMATION,"Include in the system component inventory information, a means for identifying by [Selection (one or more): name; position; role], individuals responsible and accountable for administering those components.","Identifying individuals who are responsible and accountable for administering system components ensures that the assigned components are properly administered and that organizations can contact those individuals if some action is required (e.g., when the component is determined to be the source of a breach, needs to be recalled or replaced, or needs to be relocated).",AC-3.,Active,NIST.SP.800-53r5.pdf
CM-8(5),CM-8,5,SYSTEM COMPONENT INVENTORY | NO DUPLICATE ACCOUNTING OF COMPONENTS,[Withdrawn: Incorporated into CM-8.],,,Withdrawn,NIST.SP.800-53r5.pdf
CM-8(6),CM-8,6,SYSTEM COMPONENT INVENTORY | ASSESSED CONFIGURATIONS AND APPROVED DEVIATIONS,Include assessed component configurations and any approved deviations to current deployed configurations in the system component inventory.,"Assessed configurations and approved deviations focus on configuration settings established by organizations for system components, the specific components that have been assessed to determine compliance with the required configuration settings, and any approved deviations from established configuration settings.",,Active,NIST.SP.800-53r5.pdf
CM-8(7),CM-8,7,SYSTEM COMPONENT INVENTORY | CENTRALIZED REPOSITORY,Provide a centralized repository for the inventory of system components.,"Organizations may implement centralized system component inventories that include components from all organizational systems. Centralized repositories of component inventories provide opportunities for efficiencies in accounting for organizational hardware, software, and firmware assets. Such repositories may also help organizations rapidly identify the location and responsible individuals of components that have been compromised, breached, or are otherwise in need of mitigation actions. Organizations ensure that the resulting centralized inventories include system-specific information required for proper component accountability.",,Active,NIST.SP.800-53r5.pdf
CM-8(8),CM-8,8,SYSTEM COMPONENT INVENTORY | AUTOMATED LOCATION TRACKING,Support the tracking of system components by geographic location using [Assignment: organization-defined automated mechanisms].,"The use of automated mechanisms to track the location of system components can increase the accuracy of component inventories. Such capability may help organizations rapidly identify the location and responsible individuals of system components that have been compromised, breached, or are otherwise in need of mitigation actions. The use of tracking mechanisms can be coordinated with senior agency officials for privacy if there are implications that affect individual privacy.",,Active,NIST.SP.800-53r5.pdf
CM-8(9),CM-8,9,SYSTEM COMPONENT INVENTORY | ASSIGNMENT OF COMPONENTS TO SYSTEMS,(a) Assign system components to a system; and (b) Receive an acknowledgement from [Assignment: organization-defined personnel or roles] of this assignment.,"System components that are not assigned to a system may be unmanaged, lack the required protection, and become an organizational vulnerability.",,Active,NIST.SP.800-53r5.pdf
CM-9(1),CM-9,1,CONFIGURATION MANAGEMENT PLAN | ASSIGNMENT OF RESPONSIBILITY,Assign responsibility for developing the configuration management process to organizational personnel that are not directly involved in system development.,"In the absence of dedicated configuration management teams assigned within organizations, system developers may be tasked with developing configuration management processes using personnel who are not directly involved in system development or system integration. This separation of duties ensures that organizations establish and maintain a sufficient degree of independence between the system development and integration processes and configuration management processes to facilitate quality control and more effective oversight.",,Active,NIST.SP.800-53r5.pdf
CM-10(1),CM-10,1,SOFTWARE USAGE RESTRICTIONS | OPEN-SOURCE SOFTWARE,Establish the following restrictions on the use of open-source software: [Assignment: organization-defined restrictions].,"Open-source software refers to software that is available in source code form. Certain software rights normally reserved for copyright holders are routinely provided under software license agreements that permit individuals to study, change, and improve the software. From a security perspective, the major advantage of open-source software is that it provides organizations with the ability to examine the source code. In some cases, there is an online community associated with the software that inspects, tests, updates, and reports on issues found in software on an ongoing basis. However, remediating vulnerabilities in open-source software may be problematic. There may also be licensing issues associated with open-source software, including the constraints on derivative use of such software. Open-source software that is available only in binary form may increase the level of risk in using such software.",SI-7.,Active,NIST.SP.800-53r5.pdf
CM-11(1),CM-11,1,USER-INSTALLED SOFTWARE | ALERTS FOR UNAUTHORIZED INSTALLATIONS,[Withdrawn: Incorporated into CM-8(3).],,,Withdrawn,NIST.SP.800-53r5.pdf
CM-11(2),CM-11,2,USER-INSTALLED SOFTWARE | SOFTWARE INSTALLATION WITH PRIVILEGED STATUS,Allow user installation of software only with explicit privileged status.,"Privileged status can be obtained, for example, by serving in the role of system administrator.","AC-5, AC-6.",Active,NIST.SP.800-53r5.pdf
CM-11(3),CM-11,3,USER-INSTALLED SOFTWARE | AUTOMATED ENFORCEMENT AND MONITORING,Enforce and monitor compliance with software installation policies using [Assignment: organization-defined automated mechanisms].,Organizations enforce and monitor compliance with software installation policies using automated mechanisms to more quickly detect and respond to unauthorized software installation which can be an indicator of an internal or external hostile attack.,,Active,NIST.SP.800-53r5.pdf
CM-12(1),CM-12,1,INFORMATION LOCATION | AUTOMATED TOOLS TO SUPPORT INFORMATION LOCATION,Use automated tools to identify [Assignment: organization-defined information by information type] on [Assignment: organization-defined system components] to ensure controls are in place to protect organizational information and individual privacy.,The use of automated tools helps to increase the effectiveness and efficiency of the information location capability implemented within the system. Automation also helps organizations manage the data produced during information location activities and share such information across the organization. The output of automated information location tools can be used to guide and inform system architecture and design decisions.,,Active,NIST.SP.800-53r5.pdf
CP-2(1),CP-2,1,CONTINGENCY PLAN | COORDINATE WITH RELATED PLANS,Coordinate contingency plan development with organizational elements responsible for related plans.,"Plans that are related to contingency plans include Business Continuity Plans, Disaster Recovery Plans, Critical Infrastructure Plans, Continuity of Operations Plans, Crisis Communications Plans, Insider Threat Implementation Plans, Data Breach Response Plans, Cyber Incident Response Plans, Breach Response Plans, and Occupant Emergency Plans.",,Active,NIST.SP.800-53r5.pdf
CP-2(2),CP-2,2,CONTINGENCY PLAN | CAPACITY PLANNING,"Conduct capacity planning so that necessary capacity for information processing, telecommunications, and environmental support exists during contingency operations.","Capacity planning is needed because different threats can result in a reduction of the available processing, telecommunications, and support services intended to support essential mission and business functions. Organizations anticipate degraded operations during contingency operations and factor the degradation into capacity planning. For capacity planning, environmental support refers to any environmental factor for which the organization determines that it needs to provide support in a contingency situation, even if in a degraded state. Such determinations are based on an organizational assessment of risk, system categorization (impact level), and organizational risk tolerance.","PE-11, PE-12, PE-13, PE-14, PE-18, SC-5.",Active,NIST.SP.800-53r5.pdf
CP-2(3),CP-2,3,CONTINGENCY PLAN | RESUME MISSION AND BUSINESS FUNCTIONS,Plan for the resumption of [Selection: all; essential] mission and business functions within [Assignment: organization-defined time period] of contingency plan activation.,Organizations may choose to conduct contingency planning activities to resume mission and business functions as part of business continuity planning or as part of business impact analyses. Organizations prioritize the resumption of mission and business functions. The time period for resuming mission and business functions may be dependent on the severity and extent of the disruptions to the system and its supporting infrastructure.,,Active,NIST.SP.800-53r5.pdf
CP-2(4),CP-2,4,CONTINGENCY PLAN | RESUME ALL MISSION AND BUSINESS FUNCTIONS,[Withdrawn: Incorporated into CP-2(3).],,,Withdrawn,NIST.SP.800-53r5.pdf
CP-2(5),CP-2,5,CONTINGENCY PLAN | CONTINUE MISSION AND BUSINESS FUNCTIONS,Plan for the continuance of [Selection: all; essential] mission and business functions with minimal or no loss of operational continuity and sustains that continuity until full system restoration at primary processing and/or storage sites.,Organizations may choose to conduct the contingency planning activities to continue mission and business functions as part of business continuity planning or business impact analyses. Primary processing and/or storage sites defined by organizations as part of contingency planning may change depending on the circumstances associated with the contingency.,,Active,NIST.SP.800-53r5.pdf
CP-2(6),CP-2,6,CONTINGENCY PLAN | ALTERNATE PROCESSING AND STORAGE SITES,Plan for the transfer of [Selection: all; essential] mission and business functions to alternate processing and/or storage sites with minimal or no loss of operational continuity and sustain that continuity through system restoration to primary processing and/or storage sites.,Organizations may choose to conduct contingency planning activities for alternate processing and storage sites as part of business continuity planning or business impact analyses. Primary processing and/or storage sites defined by organizations as part of contingency planning may change depending on the circumstances associated with the contingency.,,Active,NIST.SP.800-53r5.pdf
CP-2(7),CP-2,7,CONTINGENCY PLAN | COORDINATE WITH EXTERNAL SERVICE PROVIDERS,Coordinate the contingency plan with the contingency plans of external service providers to ensure that contingency requirements can be satisfied.,"When the capability of an organization to carry out its mission and business functions is dependent on external service providers, developing a comprehensive and timely contingency plan may become more challenging. When mission and business functions are dependent on external service providers, organizations coordinate contingency planning activities with the external entities to ensure that the individual plans reflect the overall contingency needs of the organization.",SA-9.,Active,NIST.SP.800-53r5.pdf
CP-2(8),CP-2,8,CONTINGENCY PLAN | IDENTIFY CRITICAL ASSETS,Identify critical system assets supporting [Selection: all; essential] mission and business functions.,"Organizations may choose to identify critical assets as part of criticality analysis, business continuity planning, or business impact analyses. Organizations identify critical system assets so that additional controls can be employed (beyond the controls routinely implemented) to help ensure that organizational mission and business functions can continue to be conducted during contingency operations. The identification of critical information assets also facilitates the prioritization of organizational resources. Critical system assets include technical and operational aspects. Technical aspects include system components, information technology services, information technology products, and mechanisms. Operational aspects include procedures (i.e., manually executed operations) and personnel (i.e., individuals operating technical controls and/or executing manual procedures). Organizational program protection plans can assist in identifying critical assets. If critical assets are resident within or supported by external service providers, organizations consider implementing CP-2(7) as a control enhancement.","CM-8, RA-9.",Active,NIST.SP.800-53r5.pdf
CP-3(1),CP-3,1,CONTINGENCY TRAINING | SIMULATED EVENTS,Incorporate simulated events into contingency training to facilitate effective response by personnel in crisis situations.,"The use of simulated events creates an environment for personnel to experience actual threat events, including cyber-attacks that disable websites, ransomware attacks that encrypt organizational data on servers, hurricanes that damage or destroy organizational facilities, or hardware or software failures.",,Active,NIST.SP.800-53r5.pdf
CP-3(2),CP-3,2,CONTINGENCY TRAINING | MECHANISMS USED IN TRAINING ENVIRONMENTS,Employ mechanisms used in operations to provide a more thorough and realistic contingency training environment.,"Operational mechanisms refer to processes that have been established to accomplish an organizational goal or a system that supports a particular organizational mission or business objective. Actual mission and business processes, systems, and/or facilities may be used to generate simulated events and enhance the realism of simulated events during contingency training.",,Active,NIST.SP.800-53r5.pdf
CP-4(1),CP-4,1,CONTINGENCY PLAN TESTING | COORDINATE WITH RELATED PLANS,Coordinate contingency plan testing with organizational elements responsible for related plans.,"Plans related to contingency planning for organizational systems include Business Continuity Plans, Disaster Recovery Plans, Continuity of Operations Plans, Crisis Communications Plans, Critical Infrastructure Plans, Cyber Incident Response Plans, and Occupant Emergency Plans. Coordination of contingency plan testing does not require organizations to create organizational elements to handle related plans or to align such elements with specific plans. However, it does require that if such organizational elements are responsible for related plans, organizations coordinate with those elements.","IR-8, PM-8.",Active,NIST.SP.800-53r5.pdf
CP-4(2),CP-4,2,CONTINGENCY PLAN TESTING | ALTERNATE PROCESSING SITE,Test the contingency plan at the alternate processing site: (a) To familiarize contingency personnel with the facility and available resources; and (b) To evaluate the capabilities of the alternate processing site to support contingency operations.,Conditions at the alternate processing site may be significantly different than the conditions at the primary site. Having the opportunity to visit the alternate site and experience the actual capabilities available at the site can provide valuable information on potential vulnerabilities that could affect essential organizational mission and business functions. The on-site visit can also provide an opportunity to refine the contingency plan to address the vulnerabilities discovered during testing.,CP-7.,Active,NIST.SP.800-53r5.pdf
CP-4(3),CP-4,3,CONTINGENCY PLAN TESTING | AUTOMATED TESTING,Test the contingency plan using [Assignment: organization-defined automated mechanisms].,"Automated mechanisms facilitate thorough and effective testing of contingency plans by providing more complete coverage of contingency issues, selecting more realistic test scenarios and environments, and effectively stressing the system and supported mission and business functions.",,Active,NIST.SP.800-53r5.pdf
CP-4(4),CP-4,4,CONTINGENCY PLAN TESTING | FULL RECOVERY AND RECONSTITUTION,Include a full recovery and reconstitution of the system to a known state as part of contingency plan testing.,"Recovery is executing contingency plan activities to restore organizational mission and business functions. Reconstitution takes place following recovery and includes activities for returning systems to fully operational states. Organizations establish a known state for systems that includes system state information for hardware, software programs, and data. Preserving system state information facilitates system restart and return to the operational mode of organizations with less disruption of mission and business processes.","CP-10, SC-24.",Active,NIST.SP.800-53r5.pdf
CP-4(5),CP-4,5,CONTINGENCY PLAN TESTING | SELF-CHALLENGE,Employ [Assignment: organization-defined mechanisms] to [Assignment: organization-defined system or system component] to disrupt and adversely affect the system or system component.,"Often, the best method of assessing system resilience is to disrupt the system in some manner. The mechanisms used by the organization could disrupt system functions or system services in many ways, including terminating or disabling critical system components, changing the configuration of system components, degrading critical functionality (e.g., restricting network bandwidth), or altering privileges. Automated, on-going, and simulated cyber-attacks and service disruptions can reveal unexpected functional dependencies and help the organization determine its ability to ensure resilience in the face of an actual cyber-attack.",,Active,NIST.SP.800-53r5.pdf
CP-6(1),CP-6,1,ALTERNATE STORAGE SITE | SEPARATION FROM PRIMARY SITE,Identify an alternate storage site that is sufficiently separated from the primary storage site to reduce susceptibility to the same threats.,"Threats that affect alternate storage sites are defined in organizational risk assessments and include natural disasters, structural failures, hostile attacks, and errors of omission or commission. Organizations determine what is considered a sufficient degree of separation between primary and alternate storage sites based on the types of threats that are of concern. For threats such as hostile attacks, the degree of separation between sites is less relevant.",RA-3.,Active,NIST.SP.800-53r5.pdf
CP-6(2),CP-6,2,ALTERNATE STORAGE SITE | RECOVERY TIME AND RECOVERY POINT OBJECTIVES,Configure the alternate storage site to facilitate recovery operations in accordance with recovery time and recovery point objectives.,Organizations establish recovery time and recovery point objectives as part of contingency planning. Configuration of the alternate storage site includes physical facilities and the systems supporting recovery operations that ensure accessibility and correct execution.,,Active,NIST.SP.800-53r5.pdf
CP-6(3),CP-6,3,ALTERNATE STORAGE SITE | ACCESSIBILITY,Identify potential accessibility problems to the alternate storage site in the event of an area-wide disruption or disaster and outline explicit mitigation actions.,Area-wide disruptions refer to those types of disruptions that are broad in geographic scope with such determinations made by organizations based on organizational assessments of risk. Explicit mitigation actions include duplicating backup information at other alternate storage sites if access problems occur at originally designated alternate sites or planning for physical access to retrieve backup information if electronic accessibility to the alternate site is disrupted.,RA-3.,Active,NIST.SP.800-53r5.pdf
CP-7(1),CP-7,1,ALTERNATE PROCESSING SITE | SEPARATION FROM PRIMARY SITE,Identify an alternate processing site that is sufficiently separated from the primary processing site to reduce susceptibility to the same threats.,"Threats that affect alternate processing sites are defined in organizational assessments of risk and include natural disasters, structural failures, hostile attacks, and errors of omission or commission. Organizations determine what is considered a sufficient degree of separation between primary and alternate processing sites based on the types of threats that are of concern. For threats such as hostile attacks, the degree of separation between sites is less relevant.",RA-3.,Active,NIST.SP.800-53r5.pdf
CP-7(2),CP-7,2,ALTERNATE PROCESSING SITE | ACCESSIBILITY,Identify potential accessibility problems to alternate processing sites in the event of an area-wide disruption or disaster and outlines explicit mitigation actions.,Area-wide disruptions refer to those types of disruptions that are broad in geographic scope with such determinations made by organizations based on organizational assessments of risk.,RA-3.,Active,NIST.SP.800-53r5.pdf
CP-7(3),CP-7,3,ALTERNATE PROCESSING SITE | PRIORITY OF SERVICE,Develop alternate processing site agreements that contain priority-of-service provisions in accordance with availability requirements (including recovery time objectives).,Priority of service agreements refer to negotiated agreements with service providers that ensure that organizations receive priority treatment consistent with their availability requirements and the availability of information resources for logical alternate processing and/or at the physical alternate processing site. Organizations establish recovery time objectives as part of contingency planning.,,Active,NIST.SP.800-53r5.pdf
CP-7(4),CP-7,4,ALTERNATE PROCESSING SITE | PREPARATION FOR USE,Prepare the alternate processing site so that the site can serve as the operational site supporting essential mission and business functions.,Site preparation includes establishing configuration settings for systems at the alternate processing site consistent with the requirements for such settings at the primary site and ensuring that essential supplies and logistical considerations are in place.,"CM-2, CM-6, CP-4.",Active,NIST.SP.800-53r5.pdf
CP-7(5),CP-7,5,ALTERNATE PROCESSING SITE | EQUIVALENT INFORMATION SECURITY SAFEGUARDS,[Withdrawn: Incorporated into CP-7.],,,Withdrawn,NIST.SP.800-53r5.pdf
CP-7(6),CP-7,6,ALTERNATE PROCESSING SITE | INABILITY TO RETURN TO PRIMARY SITE,Plan and prepare for circumstances that preclude returning to the primary processing site.,"There may be situations that preclude an organization from returning to the primary processing site such as if a natural disaster (e.g., flood or a hurricane) damaged or destroyed a facility and it was determined that rebuilding in the same location was not prudent.",,Active,NIST.SP.800-53r5.pdf
CP-8(1),CP-8,1,TELECOMMUNICATIONS SERVICES | PRIORITY OF SERVICE PROVISIONS,(a) Develop primary and alternate telecommunications service agreements that contain priority-of-service provisions in accordance with availability requirements (including recovery time objectives); and (b) Request Telecommunications Service Priority for all telecommunications services used for national security emergency preparedness if the primary and/or alternate telecommunications services are provided by a common carrier.,"Organizations consider the potential mission or business impact in situations where telecommunications service providers are servicing other organizations with similar priority of service provisions. Telecommunications Service Priority (TSP) is a Federal Communications Commission (FCC) program that directs telecommunications service providers (e.g., wireline and wireless phone companies) to give preferential treatment to users enrolled in the program when they need to add new lines or have their lines restored following a disruption of service, regardless of the cause. The FCC sets the rules and policies for the TSP program, and the Department of Homeland Security manages the TSP program. The TSP program is always in effect and not contingent on a major disaster or attack taking place. Federal sponsorship is required to enroll in the TSP program.",,Active,NIST.SP.800-53r5.pdf
CP-8(2),CP-8,2,TELECOMMUNICATIONS SERVICES | SINGLE POINTS OF FAILURE,Obtain alternate telecommunications services to reduce the likelihood of sharing a single point of failure with primary telecommunications services.,"In certain circumstances, telecommunications service providers or services may share the same physical lines, which increases the vulnerability of a single failure point. It is important to have provider transparency for the actual physical transmission capability for telecommunication services.",,Active,NIST.SP.800-53r5.pdf
CP-8(3),CP-8,3,TELECOMMUNICATIONS SERVICES | SEPARATION OF PRIMARY AND ALTERNATE PROVIDERS,Obtain alternate telecommunications services from providers that are separated from primary service providers to reduce susceptibility to the same threats.,"Threats that affect telecommunications services are defined in organizational assessments of risk and include natural disasters, structural failures, cyber or physical attacks, and errors of omission or commission. Organizations can reduce common susceptibilities by minimizing shared infrastructure among telecommunications service providers and achieving sufficient geographic separation between services. Organizations may consider using a single service provider in situations where the service provider can provide alternate telecommunications services that meet the separation needs addressed in the risk assessment.",,Active,NIST.SP.800-53r5.pdf
