subarticle_id,subarticle_number,article_id,article_number,reference,text,source_document
A17-1,1,A17,17,Article 17(1),"Considering that data privacy is a fundamental right to informational self-determination, it is prudent for a data controller to prioritise the interest of the data subject which may be effectively addressed through his or her consent.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A17-2,2,A17,17,Article 17(2),"Where reliance on consent may effectively defeat the rule of law, another lawful basis may be considered.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A17-3,3,A17,17,Article 17(3),"In any complaint to the Commission as to whether consent was not obtained before data processing, and the Commission is to make a determination whether reliance on consent would effectively defeat the rule of law, the Commission shall take into account:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A17-4,4,A17,17,Article 17(4),The items listed in sub (3) above are hereafter referred to collectively as Special Rule of Law Indexes (SRLI).,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A17-5,5,A17,17,Article 17(5),Reliance on any lawful basis of data processing which is not consent and not supported by any SRLI shall be strictly scrutinised during NDP Act compliance audits and in any proceeding where the conduct of a data controller or processor is called into question.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A17-6,6,A17,17,Article 17(6),"Whenever a data controller relies on consent, it shall keep a proper record that guarantees accountability in respect of the consent.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A17-7,7,A17,17,Article 17(7),"In determining whether a data controller is accountable in the mode of obtaining consent, the data controller shall:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A17-8,8,A17,17,Article 17(8),Nothing in this NDP Act-GAID shall prevent a data subject from giving constructive or implied consent to data processing in some circumstances and such consent may be inferred from either of the following circumstances:,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A17-9,9,A17,17,Article 17(9),"At all times where consent is required, a data subject shall be provided with a clear and explicit option to accept or to decline.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A18-1,1,A18,18,Article 18(1),"Without prejudice to the provisions of the NDP Act and in addition to other circumstances in which consent may be required under this NDP Act-GAID or by operation of law, consent is required:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A18-2,2,A18,18,Article 18(2),A CAR shall state whether or not the data controller or the data processor relies on consent to carry out data processing in any of the activities itemised in Sub-Article 1 of this Article.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A19-1,1,A19,19,Article 19(1),The use of cookies on a website or other digital platforms requires consent.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A19-2,2,A19,19,Article 19(2),"The consent shall be freely given, informed and specific.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A19-3,3,A19,19,Article 19(3),A Data Controller should display a cookie banner in a manner that is conspicuous and obvious to a user or site visitor.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A19-4,4,A19,19,Article 19(4),"Consent to necessary cookies which does not process sensitive data, financial data or any data stored privately by a data subject does not necessarily need the ticking of a box or similar methods; consent in such circumstances may be obtained or given through any activity of the data subject that is clearly indicated as an expression of consent.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A19-5,5,A19,19,Article 19(5),"In this article ""necessary cookies"" means cookies that enable core functionality such as security, network stability management, and accessibility. All other forms of cookies require a specific selection of ""yes or no"" (alternatively: ""accept"" or ""reject"") options presented to the data subject.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A19-6,6,A19,19,Article 19(6),"In deploying cookies, website owners are required to:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A19-7,7,A19,19,Article 19(7),The Commission shall treat any personal data tracking tool which performs functions that are similar to cookies as bound by the rules that apply to the use of cookies – taking into account the legal ground that where the same reasons exist the same rules shall apply.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A20-1,1,A20,20,Article 20(1),"In addition to other obligations under the NDP Act and this NDP Act-GAID, every data processing shall only proceed from purposes that are:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A20-2,2,A20,20,Article 20(2),"No consent shall be sought, given or accepted in any circumstance that may engender direct or indirect propagation of atrocities, hate, child rights violations and criminal acts.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A21-1,1,A21,21,Article 21(1),"At the preliminary stage of a contract with a data subject, a data controller may carry out data processing on the data subject for the purpose of due diligence.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A21-2,2,A21,21,Article 21(2),"Where the contract did not materialise, any personal data collected relating to the data subject shall be destroyed within six (6) months unless there is a justifiable ground to archive the data for the purposes of any future legal claim.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A21-3,3,A21,21,Article 21(3),A contract on data processing with a data subject shall in addition to the requirement in Section 27 of the NDP Act make provision for termination of the contract prior to the tenure of the contract.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A21-4,4,A21,21,Article 21(4),"Pursuant to Section 46 of the 1999 Constitution and Section 34(1)(a)(vi) of the NDP Act, a specific term of a contract on personal data processing that ousts or purports to oust the adjudicatory jurisdiction of Nigerian courts or the executive jurisdiction of the Commission shall be treated as void.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A21-5,5,A21,21,Article 21(5),"Without prejudice to Article 21(4) and the inherent powers of courts of competent jurisdiction, a contract on personal data processing between a data controller and a data subject may make provision for Alternative Dispute Resolution (ADR) mechanisms, and any decision arising from such mechanisms is subject to a review by the Commission.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A22-1,1,A22,22,Article 22(1),"Without prejudice to the inherent jurisdiction of a court in Nigeria, a decision reached through an ADR mechanism may be reviewed by the Commission upon a complaint by the data subject or a party to the ADR on any of the following grounds:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A23-1,1,A23,23,Article 23(1),A legal obligation means any one of the following:,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A23-2,2,A23,23,Article 23(2),"Where a legal obligation derogates from the general safeguards of the NDP Act, it shall be treated as a derogation from the right to privacy as enshrined under Section 37 of the 1999 Constitution, and accordingly, Section 45 of the 1999 Constitution applies.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A23-3,3,A23,23,Article 23(3),"In line with Section 45 of the 1999 Constitution, data processing shall only take place in such circumstances of derogation as stipulated in Sub-Article (2) of this Article if the enabling law for the said legal obligation is reasonably justifiable in a democratic society and:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A23-4,4,A23,23,Article 23(4),Data processing under legal obligation shall be strictly limited to the minimum requirement under a law in line with Article 23 (3) above and shall not be used for a voyage of discovery into the privacy of a data subject or in circumstances of establishing a speculative claim.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A23-5,5,A23,23,Article 23(5),"In any circumstance where a legal obligation for data processing is to be imposed on a data controller or data processor, account shall be taken of any less intrusive method of processing proposed by any of the following persons:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A23-6,6,A23,23,Article 23(6),"Without prejudice to the NDP Act, a data controller or data processor who is in possession of the personal data of a data subject may rely on the written opinion of its DPO in order to satisfy itself with:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A23-7,7,A23,23,Article 23(7),"Whenever a data controller or a data processor is unsatisfied with an administrative order, warrant or directive regarding the processing of personal data, he or she may seek guidance from the Commission in line with Section 3(4) of the NDP Act and take into account, the safeguards mandated under this Article.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A23-8,8,A23,23,Article 23(8),"Whenever a data controller or a data processor is unsatisfied with a judicial order regarding the processing of personal data, he or she may approach the appropriate court to seek a variation or the setting aside of the order in accordance with binding judicial precedents.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A24-1,1,A24,24,Article 24(1),"In all adjudicatory or administrative proceedings pertaining to personal data processing, it shall be essential to the character of a democratic society to meticulously evaluate:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A24-2,2,A24,24,Article 24(2),"Nothing in the NDP Act, this NDP Act-GAID, any legislation, or any legal instrument shall be deemed as authorising any form of data processing without compliance with Sections 37 and 45 of the 1999 Constitution of the Federal Republic of Nigeria.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A25-1,1,A25,25,Article 25(1),"A data controller may rely on vital interest as a lawful basis for the processing of personal data, particularly when circumstances do not permit the data subject to give consent to the processing.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A25-2,2,A25,25,Article 25(2),The vital interest referred to in Article 25 (1) may be that of the data subject or of a third party and it shall meet the conditions stipulated below:,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A25-3,3,A25,25,Article 25(3),The method of processing employed for the purposes of vital interest shall be necessary and proportionate.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A25-4,4,A25,25,Article 25(4),"The data controller shall give an account of its processing to the affected data subject, his or her representative in interest, or to a competent authority upon request.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A26-1,1,A26,26,Article 26(1),Public interest may be relied upon as a lawful basis of data processing in circumstances where there is:,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A26-2,2,A26,26,Article 26(2),"In addition to other obligations that may be imposed under the NDP Act, in any regulatory instrument issued by the Commission and any other legislation, a data controller shall take into account the provision of Article 23 of this NDP Act-GAID when carrying out data processing on the ground of public interest.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A26-3,3,A26,26,Article 26(3),The method of processing employed for the purposes of public interest shall be necessary and proportionate.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A26-4,4,A26,26,Article 26(4),Article 23 of this NDP Act-GAID regarding the evaluation of legal obligation shall also apply to the evaluation of public interest when it is relied upon as a lawful basis of data processing.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A27-1,1,A27,27,Article 27(1),A data controller shall cautiously consider reliance on legitimate interest as a lawful basis for data processing and shall be required in a compliance audit to show the basis of its preference.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A27-2,2,A27,27,Article 27(2),"Section 25 (2) of the NDP Act makes compatibility with contract, vital interest, legal obligation or public interest, a basis for reliance on legitimate interest. Accordingly, it shall be mandatory for a data controller under the circumstances to:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A28-1,1,A28,28,Article 28(1),Provision of information to a data subject shall be in accordance with Section 27 of the NDP Act. The information shall be clear and shall take into consideration vulnerable data subjects.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A28-2,2,A28,28,Article 28(2),"In circumstances of exclusive physical events, interviews or interactions where a data controller may not be able to provide data subjects with a privacy policy or if provided, the class of data subjects may not be able to understand the privacy policy without the aid of an interpreter, the data controller shall provide the information in the form that the data subject can understand.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A28-3,3,A28,28,Article 28(3),The information to be provided by the data controller includes but is not limited to the following:,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A29-1,1,A29,29,Article 29(1),"A Data Privacy Impact Assessment (DPIA) is mandated under Section 28 of the NDP Act when data processing may likely result in high risk to the rights and freedoms of a data subject by virtue of its nature, scope, context, and purposes.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A29-2,2,A29,29,Article 29(2),Introduction of new technologies or new processing techniques or directives mandating collection of personal data or processing of personal data on a large scale requires a DPIA on the following grounds:,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A29-3,3,A29,29,Article 29(3),A DPIA is mandatory and shall be filed with the Commission in any of the following circumstances:,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A29-4,4,A29,29,Article 29(4),A DPIA shall be vetted by a certified DPO duly accredited by the Commission.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A29-5,5,A29,29,Article 29(5),The outcome of a DPIA conducted by a data controller or a data processor shall be part of the NDP Act CAR to be filed with the Commission.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A29-6,6,A29,29,Article 29(6),"Failure, refusal or negligence in the conduct of a DPIA may, among others, result in a restriction on all platforms where data subjects may have contact with a data controller or a data processor for the purpose of carrying out any transaction in which personal data is required.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A29-7,7,A29,29,Article 29(7),"In carrying out a DPIA, a data controller or a data processor shall, in addition to the NDP Act, be guided by the provisions in this NDP Act-GAID.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A29-8,8,A29,29,Article 29(8),"In addition to the circumstances in Article 29 (3), a data controller or a data processor who deploys software for processing of sensitive personal data, among other datasets shall carry out a DPIA and submit same to the Commission within four (4) months after the issuance of this NDP Act-GAID.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A29-9,9,A29,29,Article 29(9),"Whenever required, a DPIA shall be carried out and submitted to the Commission before the commencement of data processing.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A29-10,10,A29,29,Article 29(10),"In any event, where data processing commenced before the coming into force of the NDP Act and this NDP Act-GAID, a DPIA shall be carried out within six (6) months of the issuance of this NDP Act-GAID.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A29-11,11,A29,29,Article 29(11),"A DPIA which indicates that data processing may be carried out shall in addition to the contents prescribed under Section 28(4) of the NDP Act, contain measures which guarantee privacy by design and by default – and shall particularly take into account the following principles:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A29-12,12,A29,29,Article 29(12),The DPIA submitted to the Commission shall be signed by: a duly certified DPO who is accredited by the Commission.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A30-1,1,A30,30,Article 30(1),"A data controller or data processor shall have schedules for monitoring, evaluation and maintenance of data security systems.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A30-2,2,A30,30,Article 30(2),"The schedules shall take into account people, processes and technologies involved in data security and each shall contain applicable technical and organisational measures including but not limited to:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A30-3,3,A30,30,Article 30(3),A data controller or data processor shall assign relevant officers to carry out the tasks under the schedule and stipulate time to take appropriate technical and organisational measures under the schedule.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A30-4,4,A30,30,Article 30(4),The schedule shall be vetted and certified by a duly certified information security officer.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A30-5,5,A30,30,Article 30(5),"Notwithstanding the schedule, a data controller shall carry out monitoring, evaluation and maintenance of data security systems as frequently as possible, taking into account the risks of data processing.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A31-1,1,A31,31,Article 31(1),A data controller or a data processor shall prepare and implement an organisational schedule for internal sensitisation and training on privacy.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A31-2,2,A31,31,Article 31(2),"The schedule shall contain a mode of evaluating the level of compliance with the NDP Act, this NDP Act-GAID and other regulatory instruments issued by the Commission.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A31-3,3,A31,31,Article 31(3),"In respect of people, a data controller or data processor may adopt the use of meetings, questionnaires and interviews.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A31-4,4,A31,31,Article 31(4),The schedule shall be used to identify:,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A31-5,5,A31,31,Article 31(5),"A data controller or a data processor shall publish the schedule on appropriate communication mediums where employees and other relevant workers, agents, and contractors, who are engaged in relevant activities may see it.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A31-6,6,A31,31,Article 31(6),A data controller or data processor shall:,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
