Function_Code,Function_Description,Function,Category_Code,Category_Description,Category,Subcategory_Description,Subcategory,Implementation_Example
DE,Possible cybersecurity attacks and compromises are found and analyzed,DETECT,DE.CM,"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",Continuous Monitoring,Personnel activity and technology usage are monitored to find potentially adverse events,DE.CM-03,Use behavior analytics software to detect anomalous user activity to mitigate insider threats
DE,Possible cybersecurity attacks and compromises are found and analyzed,DETECT,DE.CM,"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",Continuous Monitoring,External service provider activities and services are monitored to find potentially adverse events,DE.CM-06,Monitor remote and onsite administration and maintenance activities that external providers perform on organizational systems
DE,Possible cybersecurity attacks and compromises are found and analyzed,DETECT,DE.CM,"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",Continuous Monitoring,"Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events",DE.CM-09,"Monitor email, web, file sharing, collaboration services, and other common attack vectors to detect malware, phishing, data leaks and exfiltration, and other adverse events"
DE,Possible cybersecurity attacks and compromises are found and analyzed,DETECT,DE.AE,"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",Adverse Event Analysis,Potentially adverse events are analyzed to better understand associated activities,DE.AE-02,Use security information and event management (SIEM) or other tools to continuously monitor log events for known malicious and suspicious activity
DE,Possible cybersecurity attacks and compromises are found and analyzed,DETECT,DE.AE,"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",Adverse Event Analysis,Information is correlated from multiple sources,DE.AE-03,Constantly transfer log data generated by other sources to a relatively small number of log servers
DE,Possible cybersecurity attacks and compromises are found and analyzed,DETECT,DE.AE,"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",Adverse Event Analysis,The estimated impact and scope of adverse events are understood,DE.AE-04,"Use SIEMs or other tools to estimate impact and scope, and review and refine the estimates"
DE,Possible cybersecurity attacks and compromises are found and analyzed,DETECT,DE.AE,"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",Adverse Event Analysis,Information on adverse events is provided to authorized staff and tools,DE.AE-06,"Use cybersecurity software to generate alerts and provide them to the security operations center (SOC), incident responders, and incident response tools"
DE,Possible cybersecurity attacks and compromises are found and analyzed,DETECT,DE.AE,"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",Adverse Event Analysis,Cyber threat intelligence and other contextual information are integrated into the analysis,DE.AE-07,"Securely provide cyber threat intelligence feeds to detection technologies, processes, and personnel"
DE,Possible cybersecurity attacks and compromises are found and analyzed,DETECT,DE.AE,"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",Adverse Event Analysis,Incidents are declared when adverse events meet the defined incident criteria,DE.AE-08,Apply incident criteria to known and assumed characteristics of activity in order to determine whether an incident should be declared
RS,Actions regarding a detected cybersecurity incident are taken,RESPOND,RS.MA,Responses to detected cybersecurity incidents are managed,Incident Management,The incident response plan is executed in coordination with relevant third parties once an incident is declared,RS.MA-01,Detection technologies automatically report confirmed incidents
RS,Actions regarding a detected cybersecurity incident are taken,RESPOND,RS.MA,Responses to detected cybersecurity incidents are managed,Incident Management,Incident reports are triaged and validated,RS.MA-02,Preliminarily review incident reports to confirm that they are cybersecurity-related and necessitate incident response activities
RS,Actions regarding a detected cybersecurity incident are taken,RESPOND,RS.MA,Responses to detected cybersecurity incidents are managed,Incident Management,Incidents are categorized and prioritized,RS.MA-03,"Further review and categorize incidents based on the type of incident (e.g., data breach, ransomware, DDoS, account compromise)"
RS,Actions regarding a detected cybersecurity incident are taken,RESPOND,RS.MA,Responses to detected cybersecurity incidents are managed,Incident Management,Incidents are escalated or elevated as needed,RS.MA-04,Track and validate the status of all ongoing incidents
RS,Actions regarding a detected cybersecurity incident are taken,RESPOND,RS.MA,Responses to detected cybersecurity incidents are managed,Incident Management,The criteria for initiating incident recovery are applied,RS.MA-05,Apply incident recovery criteria to known and assumed characteristics of the incident to determine whether incident recovery processes should be initiated
RS,Actions regarding a detected cybersecurity incident are taken,RESPOND,RS.AN,Investigations are conducted to ensure effective response and support forensics and recovery activities,Incident Analysis,Analysis is performed to establish what has taken place during an incident and the root cause of the incident,RS.AN-03,Determine the sequence of events that occurred during the incident and which assets and resources were involved in each event
RS,Actions regarding a detected cybersecurity incident are taken,RESPOND,RS.AN,Investigations are conducted to ensure effective response and support forensics and recovery activities,Incident Analysis,"Actions performed during an investigation are recorded, and the records' integrity and provenance are preserved",RS.AN-06,"Require each incident responder and others (e.g., system administrators, cybersecurity engineers) who perform incident response tasks to record their actions and make the record immutable"
RS,Actions regarding a detected cybersecurity incident are taken,RESPOND,RS.AN,Investigations are conducted to ensure effective response and support forensics and recovery activities,Incident Analysis,"Incident data and metadata are collected, and their integrity and provenance are preserved",RS.AN-07,"Collect, preserve, and safeguard the integrity of all pertinent incident data and metadata (e.g., data source, date/time of collection) based on evidence preservation and chain-of-custody procedures"
RS,Actions regarding a detected cybersecurity incident are taken,RESPOND,RS.AN,Investigations are conducted to ensure effective response and support forensics and recovery activities,Incident Analysis,An incident's magnitude is estimated and validated,RS.AN-08,Review other potential targets of the incident to search for indicators of compromise and evidence of persistence
RS,Actions regarding a detected cybersecurity incident are taken,RESPOND,RS.CO,"Response activities are coordinated with internal and external stakeholders as required by laws, regulations, or policies",Incident Response Reporting and Communication,Internal and external stakeholders are notified of incidents,RS.CO-02,"Follow the organization's breach notification procedures after discovering a data breach incident, including notifying affected customers"
RS,Actions regarding a detected cybersecurity incident are taken,RESPOND,RS.CO,"Response activities are coordinated with internal and external stakeholders as required by laws, regulations, or policies",Incident Response Reporting and Communication,Information is shared with designated internal and external stakeholders,RS.CO-03,Securely share information consistent with response plans and information sharing agreements
RS,Actions regarding a detected cybersecurity incident are taken,RESPOND,RS.MI,Activities are performed to prevent expansion of an event and mitigate its effects,Incident Mitigation,Incidents are contained,RS.MI-01,"Cybersecurity technologies (e.g., antivirus software) and cybersecurity features of other technologies (e.g., operating systems, network infrastructure devices) automatically perform containment actions"
RS,Actions regarding a detected cybersecurity incident are taken,RESPOND,RS.MI,Activities are performed to prevent expansion of an event and mitigate its effects,Incident Mitigation,Incidents are eradicated,RS.MI-02,"Cybersecurity technologies and cybersecurity features of other technologies (e.g., operating systems, network infrastructure devices) automatically perform eradication actions"
RC,Assets and operations affected by a cybersecurity incident are restored,RECOVER,RC.RP,Restoration activities are performed to ensure operational availability of systems and services affected by cybersecurity incidents,Incident Recovery Plan Execution,The recovery portion of the incident response plan is executed once initiated from the incident response process,RC.RP-01,Begin recovery procedures during or after incident response processes
RC,Assets and operations affected by a cybersecurity incident are restored,RECOVER,RC.RP,Restoration activities are performed to ensure operational availability of systems and services affected by cybersecurity incidents,Incident Recovery Plan Execution,"Recovery actions are selected, scoped, prioritized, and performed",RC.RP-02,Select recovery actions based on the criteria defined in the incident response plan and available resources
RC,Assets and operations affected by a cybersecurity incident are restored,RECOVER,RC.RP,Restoration activities are performed to ensure operational availability of systems and services affected by cybersecurity incidents,Incident Recovery Plan Execution,The integrity of backups and other restoration assets is verified before using them for restoration,RC.RP-03,"Check restoration assets for indicators of compromise, file corruption, and other integrity issues before use"
RC,Assets and operations affected by a cybersecurity incident are restored,RECOVER,RC.RP,Restoration activities are performed to ensure operational availability of systems and services affected by cybersecurity incidents,Incident Recovery Plan Execution,Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms,RC.RP-04,Use business impact and system categorization records (including service delivery objectives) to validate that essential services are restored in the appropriate order
RC,Assets and operations affected by a cybersecurity incident are restored,RECOVER,RC.RP,Restoration activities are performed to ensure operational availability of systems and services affected by cybersecurity incidents,Incident Recovery Plan Execution,"The integrity of restored assets is verified, systems and services are restored, and normal operating status is confirmed",RC.RP-05,Check restored assets for indicators of compromise and remediation of root causes of the incident before production use
RC,Assets and operations affected by a cybersecurity incident are restored,RECOVER,RC.RP,Restoration activities are performed to ensure operational availability of systems and services affected by cybersecurity incidents,Incident Recovery Plan Execution,"The end of incident recovery is declared based on criteria, and incident-related documentation is completed",RC.RP-06,"Prepare an after-action report that documents the incident itself, the response and recovery actions taken, and lessons learned"
RC,Assets and operations affected by a cybersecurity incident are restored,RECOVER,RC.CO,Restoration activities are coordinated with internal and external parties,Incident Recovery Communication,Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders,RC.CO-03,"Securely share recovery information, including restoration progress, consistent with response plans and information sharing agreements"
RC,Assets and operations affected by a cybersecurity incident are restored,RECOVER,RC.CO,Restoration activities are coordinated with internal and external parties,Incident Recovery Communication,Public updates on incident recovery are shared using approved methods and messaging,RC.CO-04,Follow the organization's breach notification procedures for recovering from a data breach incident
