requirement_part_id,requirement_id,standard_id,part_number,part_description,applicable_systems,measure,source_document
CIP-006-R3.1,CIP-006-R3,CIP-006,R3.1,Maintenance and testing of each Physical Access Control System and locally mounted hardware or devices at the Physical Security Perimeter at least once every 24 calendar months to ensure they function properly.,"Physical Access Control Systems (PACS) associated with: High Impact BES Cyber Systems, or Medium Impact BES Cyber Systems with External Routable Connectivity; Locally mounted hardware or devices at the Physical Security Perimeter associated with: High Impact BES Cyber Systems, or Medium Impact BES Cyber Systems with External Routable Connectivity","An example of evidence may include, but is not limited to, a maintenance and testing program that provides for testing each Physical Access Control System and locally mounted hardware or devices associated with each applicable Physical Security Perimeter at least once every 24 calendar months and additional evidence to demonstrate that this testing was done, such as dated maintenance records, or other documentation showing testing and maintenance has been performed on each applicable device or system at least once every 24 calendar months.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-007-R1.1,CIP-007-R1,CIP-007,R1.1,"Where technically feasible, enable only logical network accessible ports that have been determined to be needed by the Responsible Entity, including port ranges or services where needed to handle dynamic ports. If a device has no provision for disabling or restricting logical ports on the device then those ports that are open are deemed needed.",High Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; 2. PACS; and 3. PCA,"Examples of evidence may include, but are not limited to: Documentation of the need for all enabled ports on all applicable Cyber Assets and Electronic Access Points, individually or by group. Listings of the listening ports on the Cyber Assets, individually or by group, from either the device configuration files, command output (such as netstat), or network scans of open ports; or Configuration files of host-based firewalls or other device level mechanisms that only allow needed ports and deny all others.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-007-R1.2,CIP-007-R1,CIP-007,R1.2,"Protect against the use of unnecessary physical input/output ports used for network connectivity, console commands, or Removable Media.",High Impact BES Cyber Systems and their associated: 1. PCA; and 2. Nonprogrammable communication components located inside both a PSP and an ESP; Medium Impact BES Cyber Systems at Control Centers and their associated: 1. PCA; and 2. Nonprogrammable communication components located inside both a PSP and an ESP.,"An example of evidence may include, but is not limited to, documentation showing types of protection of physical input/output ports, either logically through system configuration or physically using a port lock or signage.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-007-R2.1,CIP-007-R2,CIP-007,R2.1,"A patch management process for tracking, evaluating, and installing cyber security patches for applicable Cyber Assets. The tracking portion shall include the identification of a source or sources that the Responsible Entity tracks for the release of cyber security patches for applicable Cyber Assets that are updateable and for which a patching source exists.",High Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA; Medium Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA,"An example of evidence may include, but is not limited to, documentation of a patch management process and documentation or lists of sources that are monitored, whether on an individual BES Cyber System or Cyber Asset basis.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-007-R2.2,CIP-007-R2,CIP-007,R2.2,"At least once every 35 calendar days, evaluate security patches for applicability that have been released since the last evaluation from the source or sources identified in Part 2.1.",High Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA; Medium Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA,"An example of evidence may include, but is not limited to, an evaluation conducted by, referenced by, or on behalf of a Responsible Entity of security-related patches released by the documented sources at least once every 35 calendar days.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-007-R2.3,CIP-007-R2,CIP-007,R2.3,"For applicable patches identified in Part 2.2, within 35 calendar days of the evaluation completion, take one of the following actions: Apply the applicable patches; or Create a dated mitigation plan; or Revise an existing mitigation plan. Mitigation plans shall include the Responsible Entity’s planned actions to mitigate the vulnerabilities addressed by each security patch and a timeframe to complete these mitigations.",High Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA; Medium Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA,"Examples of evidence may include, but are not limited to: Records of the installation of the patch (e.g., exports from automated patch management tools that provide installation date, verification of BES Cyber System Component software revision, or registry exports that show software has been installed); or A dated plan showing when and how the vulnerability will be addressed, to include documentation of the actions to be taken by the Responsible Entity to mitigate the vulnerabilities addressed by the security patch and a timeframe for the completion of these mitigations.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-007-R2.4,CIP-007-R2,CIP-007,R2.4,"For each mitigation plan created or revised in Part 2.3, implement the plan within the timeframe specified in the plan, unless a revision to the plan or an extension to the timeframe specified in Part 2.3 is approved by the CIP Senior Manager or delegate.",High Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA; Medium Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA,"An example of evidence may include, but is not limited to, records of implementation of mitigations.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-007-R3.1,CIP-007-R3,CIP-007,R3.1,"Deploy method(s) to deter, detect, or prevent malicious code.",High Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA; Medium Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA,"An example of evidence may include, but is not limited to, records of the Responsible Entity’s performance of these processes (e.g., through traditional antivirus, system hardening, policies, etc.).","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-007-R3.2,CIP-007-R3,CIP-007,R3.2,Mitigate the threat of detected malicious code.,High Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA; Medium Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA,"Examples of evidence may include, but are not limited to: Records of response processes for malicious code detection Records of the performance of these processes when malicious code is detected.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-007-R3.3,CIP-007-R3,CIP-007,R3.3,"For those methods identified in Part 3.1 that use signatures or patterns, have a process for the update of the signatures or patterns. The process must address testing and installing the signatures or patterns.",High Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA; Medium Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA,"An example of evidence may include, but is not limited to, documentation showing the process used for the update of signatures or patterns.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-007-R4.1,CIP-007-R4,CIP-007,R4.1,"Log events at the BES Cyber System level (per BES Cyber System capability) or at the Cyber Asset level (per Cyber Asset capability) for identification of, and after-the-fact investigations of, Cyber Security Incidents that includes, as a minimum, each of the following types of events: 4.1.1. Detected successful login attempts; 4.1.2. Detected failed access attempts and failed login attempts; 4.1.3. Detected malicious code.",High Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA; Medium Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA,"Examples of evidence may include, but are not limited to, a paper or system generated listing of event types for which the BES Cyber System is capable of detecting and, for generated events, is configured to log. This listing must include the required types of events.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-007-R4.2,CIP-007-R4,CIP-007,R4.2,"Generate alerts for security events that the Responsible Entity determines necessitates an alert, that includes, as a minimum, each of the following types of events (per Cyber Asset or BES Cyber System capability): 4.2.1. Detected malicious code from Part 4.1; and 4.2.2. Detected failure of Part 4.1 event logging.",High Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; 2. PACS; and 3. PCA,"Examples of evidence may include, but are not limited to, paper or system-generated listing of security events that the Responsible Entity determined necessitate alerts, including paper or system generated list showing how alerts are configured.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-007-R4.3,CIP-007-R4,CIP-007,R4.3,"Where technically feasible, retain applicable event logs identified in Part 4.1 for at least the last 90 consecutive calendar days except under CIP Exceptional Circumstances.",High Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA; Medium Impact BES Cyber Systems at Control Centers and their associated: 1. EACMS; 2. PACS; and 3. PCA,"Examples of evidence may include, but are not limited to, documentation of the event log retention process and paper or system generated reports showing log retention configuration set at 90 days or greater.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-007-R4.4,CIP-007-R4,CIP-007,R4.4,Review a summarization or sampling of logged events as determined by the Responsible Entity at intervals no greater than 15 calendar days to identify undetected Cyber Security Incidents.,High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PCA,"Examples of evidence may include, but are not limited to, documentation describing the review, any findings from the review (if any), and dated documentation showing the review occurred.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-007-R5.1,CIP-007-R5,CIP-007,R5.1,"Have a method(s) to enforce authentication of interactive user access, where technically feasible.",High Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA; Medium Impact BES Cyber Systems at Control Centers and their associated: 1. EACMS; 2. PACS; and 3. PCA; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; 2. PACS; and 3. PCA,"An example of evidence may include, but is not limited to, documentation describing how access is authenticated.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-007-R5.2,CIP-007-R5,CIP-007,R5.2,"Identify and inventory all known enabled default or other generic account types, either by system, by groups of systems, by location, or by system type(s).",High Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA; Medium Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA,"An example of evidence may include, but is not limited to, a listing of accounts by account types showing the enabled or generic account types in use for the BES Cyber System.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-007-R5.3,CIP-007-R5,CIP-007,R5.3,Identify individuals who have authorized access to shared accounts.,High Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; 2. PACS; and 3. PCA,"An example of evidence may include, but is not limited to, listing of shared accounts and the individuals who have authorized access to each shared account.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-007-R5.4,CIP-007-R5,CIP-007,R5.4,"Change known default passwords, per Cyber Asset capability",High Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA; Medium Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA,"Examples of evidence may include, but are not limited to: Records of a procedure that passwords are changed when new devices are in production; or Documentation in system manuals or other vendor documents showing default vendor passwords were generated pseudo-randomly and are thereby unique to the device.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-007-R5.5,CIP-007-R5,CIP-007,R5.5,"For password-only authentication for interactive user access, either technically or procedurally enforce the following password parameters: 5.5.1. Password length that is, at least, the lesser of eight characters or the maximum length supported by the Cyber Asset; and 5.5.2. Minimum password complexity that is the lesser of three or more different types of characters (e.g., uppercase alphabetic, lowercase alphabetic, numeric, non-alphanumeric) or the maximum complexity supported by the Cyber Asset.",High Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA; Medium Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA,"Examples of evidence may include, but are not limited to: System-generated reports or screen-shots of the system-enforced password parameters, including length and complexity; or Attestations that include a reference to the documented procedures that were followed.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-007-R5.6,CIP-007-R5,CIP-007,R5.6,"Where technically feasible, for password-only authentication for interactive user access, either technically or procedurally enforce password changes or an obligation to change the password at least once every 15 calendar months.",High Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; 2. PACS; and 3. PCA,"Examples of evidence may include, but are not limited to: System-generated reports or screen-shots of the system-enforced periodicity of changing passwords; or Attestations that include a reference to the documented procedures that were followed.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-007-R5.7,CIP-007-R5,CIP-007,R5.7,"Where technically feasible, either: Limit the number of unsuccessful authentication attempts; or Generate alerts after a threshold of unsuccessful authentication attempts.",High Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA; Medium Impact BES Cyber Systems at Control Centers and their associated: 1. EACMS; 2. PACS; and 3. PCA,"Examples of evidence may include, but are not limited to: Documentation of the account-lockout parameters; or Rules in the alerting configuration showing how the system notified individuals after a determined number of unsuccessful login attempts.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-008-R1.1,CIP-008-R1,CIP-008,R1.1,"One or more processes to identify, classify, and respond to Cyber Security Incidents.",High Impact BES Cyber Systems and their associated: EACMS; Medium Impact BES Cyber Systems and their associated: EACMS,"An example of evidence may include, but is not limited to, dated documentation of Cyber Security Incident response plan(s) that include the process(es) to identify, classify, and respond to Cyber Security Incidents.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-008-R1.2,CIP-008-R1,CIP-008,R1.2,"One or more processes: 1.2.1 That include criteria to evaluate and define attempts to compromise; 1.2.2 To determine if an identified Cyber Security Incident is: • A Reportable Cyber Security Incident; or • An attempt to compromise, as determined by applying the criteria from Part 1.2.1, one or more systems identified in the “Applicable Systems” column for this Part; and 1.2.3 To provide notification per Requirement R4.",High Impact BES Cyber Systems and their associated: EACMS; Medium Impact BES Cyber Systems and their associated: EACMS,"Examples of evidence may include, but are not limited to, dated documentation of Cyber Security Incident response plan(s) that provide guidance or thresholds for determining which Cyber Security Incidents are also Reportable Cyber Security Incidents or a Cyber Security Incident that is determined to be an attempt to compromise a system identified in the “Applicable Systems” column including justification for attempt determination criteria and documented processes for notification.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-008-R1.3,CIP-008-R1,CIP-008,R1.3,The roles and responsibilities of Cyber Security Incident response groups or individuals.,High Impact BES Cyber Systems and their associated: EACMS; Medium Impact BES Cyber Systems and their associated: EACMS,"An example of evidence may include, but is not limited to, dated Cyber Security Incident response process(es) or procedure(s) that define roles and responsibilities (e.g., monitoring, reporting, initiating, documenting, etc.) of Cyber Security Incident response groups or individuals.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-008-R1.4,CIP-008-R1,CIP-008,R1.4,Incident handling procedures for Cyber Security Incidents.,High Impact BES Cyber Systems and their associated: EACMS; Medium Impact BES Cyber Systems and their associated: EACMS,"An example of evidence may include, but is not limited to, dated Cyber Security Incident response process(es) or procedure(s) that address incident handling (e.g., containment, eradication, recovery/incident resolution).","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-008-R2.1,CIP-008-R2,CIP-008,R2.1,Test each Cyber Security Incident response plan(s) at least once every 15 calendar months: • By responding to an actual Reportable Cyber Security Incident; • With a paper drill or tabletop exercise of a Reportable Cyber Security Incident; or • With an operational exercise of a Reportable Cyber Security Incident.,High Impact BES Cyber Systems and their associated: EACMS; Medium Impact BES Cyber Systems and their associated: EACMS,"Examples of evidence may include, but are not limited to, dated evidence of a lessons-learned report that includes a summary of the test or a compilation of notes, logs, and communication resulting from the test. Types of exercises may include discussion or operations based exercises.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-008-R2.2,CIP-008-R2,CIP-008,R2.2,"Use the Cyber Security Incident response plan(s) under Requirement R1 when responding to a Reportable Cyber Security Incident, responding to a Cyber Security Incident that attempted to compromise a system identified in the “Applicable Systems” column for this Part, or performing an exercise of a Reportable Cyber Security Incident. Document deviations from the plan(s) taken during the response to the incident or exercise.",High Impact BES Cyber Systems and their associated: EACMS; Medium Impact BES Cyber Systems and their associated: EACMS,"Examples of evidence may include, but are not limited to, incident reports, logs, and notes that were kept during the incident response process, and follow-up documentation that describes deviations taken from the plan during the incident response or exercise.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-008-R2.3,CIP-008-R2,CIP-008,R2.3,Retain records related to Reportable Cyber Security Incidents and Cyber Security Incidents that attempted to compromise a system identified in the “Applicable Systems” column for this Part as per the Cyber Security Incident response plan(s) under Requirement R1.,High Impact BES Cyber Systems and their associated: EACMS; Medium Impact BES Cyber Systems and their associated: EACMS,"An example of evidence may include, but is not limited to, dated documentation, such as security logs, police reports, emails, response forms or checklists, forensic analysis results, restoration records, and post-incident review notes related to Reportable Cyber Security Incidents and a Cyber Security Incident that is determined to be an attempt to compromise a system identified in the “Applicable Systems” column.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-008-R3.1,CIP-008-R3,CIP-008,R3.1,No later than 90 calendar days after completion of a Cyber Security Incident response plan(s) test or actual Reportable Cyber Security Incident response: 3.1.1. Document any lessons learned or document the absence of any lessons learned; 3.1.2. Update the Cyber Security Incident response plan based on any documented lessons learned associated with the plan; and 3.1.3. Notify each person or group with a defined role in the Cyber Security Incident response plan of the updates to the Cyber Security Incident response plan based on any documented lessons learned.,High Impact BES Cyber Systems and their associated: EACMS; Medium Impact BES Cyber Systems and their associated: EACMS,"An example of evidence may include, but is not limited to, all of the following: 1. Dated documentation of post incident(s) review meeting notes or follow-up report showing lessons learned associated with the Cyber Security Incident response plan(s) test or actual Reportable Cyber Security Incident response or dated documentation stating there were no lessons learned; 2. Dated and revised Cyber Security Incident response plan showing any changes based on the lessons learned; and 3. Evidence of plan update distribution including, but not limited to: • Emails; • USPS or other mail service; • Electronic distribution system; or • Training sign-in sheets.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-008-R3.2,CIP-008-R3,CIP-008,R3.2,"No later than 60 calendar days after a change to the roles or responsibilities, Cyber Security Incident response groups or individuals, or technology that the Responsible Entity determines would impact the ability to execute the plan: 3.2.1. Update the Cyber Security Incident response plan(s); and 3.2.2. Notify each person or group with a defined role in the Cyber Security Incident response plan of the updates.",High Impact BES Cyber Systems and their associated: EACMS; Medium Impact BES Cyber Systems and their associated: EACMS,"An example of evidence may include, but is not limited to: 1. Dated and revised Cyber Security Incident response plan with changes to the roles or responsibilities, responders or technology; and 2. Evidence of plan update distribution including, but not limited to: • Emails; • USPS or other mail service; • Electronic distribution system; or • Training sign-in sheets.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-008-R4.1,CIP-008-R4,CIP-008,R4.1,"Initial notifications and updates shall include the following attributes, at a minimum, to the extent known: 4.1.1 The functional impact; 4.1.2 The attack vector used; and 4.1.3 The level of intrusion that was achieved or attempted.",High Impact BES Cyber Systems and their associated: EACMS; Medium Impact BES Cyber Systems and their associated: EACMS,"Examples of evidence may include, but are not limited to, dated documentation of initial notifications and updates to the E-ISAC and NCCIC.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-008-R4.2,CIP-008-R4,CIP-008,R4.2,"After the Responsible Entity’s determination made pursuant to documented process(es) in Requirement R1, Part 1.2, provide initial notification within the following timelines: • One hour after the determination of a Reportable Cyber Security Incident. • By the end of the next calendar day after determination that a Cyber Security Incident was an attempt to compromise a system identified in the “Applicable Systems” column for this Part.",High Impact BES Cyber Systems and their associated: EACMS; Medium Impact BES Cyber Systems and their associated: EACMS,"Examples of evidence may include, but are not limited to, dated documentation of notices to the E-ISAC and NCCIC.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-008-R4.3,CIP-008-R4,CIP-008,R4.3,"Provide updates, if any, within 7 calendar days of determination of new or changed attribute information required in Part 4.1.",High Impact BES Cyber Systems and their associated: EACMS; Medium Impact BES Cyber Systems and their associated: EACMS,"Examples of evidence may include, but are not limited to, dated documentation of submissions to the E-ISAC and NCCIC.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-009-R1.1,CIP-009-R1,CIP-009,R1.1,Conditions for activation of the recovery plan(s).,High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS; Medium Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS,"An example of evidence may include, but is not limited to, one or more plans that include language identifying conditions for activation of the recovery plan(s).","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-009-R1.2,CIP-009-R1,CIP-009,R1.2,Roles and responsibilities of responders.,High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS; Medium Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS,"An example of evidence may include, but is not limited to, one or more recovery plans that include language identifying the roles and responsibilities of responders.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-009-R1.3,CIP-009-R1,CIP-009,R1.3,One or more processes for the backup and storage of information required to recover BES Cyber System functionality.,High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS; Medium Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS,"An example of evidence may include, but is not limited to, documentation of specific processes for the backup and storage of information required to recover BES Cyber System functionality.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-009-R1.4,CIP-009-R1,CIP-009,R1.4,One or more processes to verify the successful completion of the backup processes in Part 1.3 and to address any backup failures.,High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS; Medium Impact BES Cyber Systems at Control Centers and their associated: 1. EACMS; and 2. PACS,"An example of evidence may include, but is not limited to, logs, workflow or other documentation confirming that the backup process completed successfully and backup failures, if any, were addressed.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-009-R1.5,CIP-009-R1,CIP-009,R1.5,"One or more processes to preserve data, per Cyber Asset capability, for determining the cause of a Cyber Security Incident that triggers activation of the recovery plan(s). Data preservation should not impede or restrict recovery.",High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS; Medium Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS,"An example of evidence may include, but is not limited to, procedures to preserve data, such as preserving a corrupted drive or making a data mirror of the system before proceeding with recovery.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-009-R2.1,CIP-009-R2,CIP-009,R2.1,Test each of the recovery plans referenced in Requirement R1 at least once every 15 calendar months: • By recovering from an actual incident; • With a paper drill or tabletop exercise; or • With an operational exercise.,High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS; Medium Impact BES Cyber Systems at Control Centers and their associated: 1. EACMS; and 2. PACS,"An example of evidence may include, but is not limited to, dated evidence of a test (by recovering from an actual incident, with a paper drill or tabletop exercise, or with an operational exercise) of the recovery plan at least once every 15 calendar months. For the paper drill or full operational exercise, evidence may include meeting notices, minutes, or other records of exercise findings.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-009-R2.2,CIP-009-R2,CIP-009,R2.2,Test a representative sample of information used to recover BES Cyber System functionality at least once every 15 calendar months to ensure that the information is useable and is compatible with current configurations. An actual recovery that incorporates the information used to recover BES Cyber System functionality substitutes for this test.,High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS; Medium Impact BES Cyber Systems at Control Centers and their associated: 1. EACMS; and 2. PACS,"An example of evidence may include, but is not limited to, operational logs or test results with criteria for testing the usability (e.g. sample tape load, browsing tape contents) and compatibility with current system configurations (e.g. manual or automated comparison checkpoints between backup media contents and current configuration).","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-009-R2.3,CIP-009-R2,CIP-009,R2.3,Test each of the recovery plans referenced in Requirement R1 at least once every 36 calendar months through an operational exercise of the recovery plans in an environment representative of the production environment. An actual recovery response may substitute for an operational exercise.,High Impact BES Cyber Systems,"Examples of evidence may include, but are not limited to, dated documentation of: • An operational exercise at least once every 36 calendar months between exercises, that demonstrates recovery in a representative environment; or • An actual recovery response that occurred within the 36 calendar month timeframe that exercised the recovery plans.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-009-R3.1,CIP-009-R3,CIP-009,R3.1,No later than 90 calendar days after completion of a recovery plan test or actual recovery: 3.1.1. Document any lessons learned associated with a recovery plan test or actual recovery or document the absence of any lessons learned; 3.1.2. Update the recovery plan based on any documented lessons learned associated with the plan; and 3.1.3. Notify each person or group with a defined role in the recovery plan of the updates to the recovery plan based on any documented lessons learned.,High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS; Medium Impact BES Cyber Systems at Control Centers and their associated: 1. EACMS; and 2. PACS,"An example of evidence may include, but is not limited to, all of the following: 1. Dated documentation of identified deficiencies or lessons learned for each recovery plan test or actual incident recovery or dated documentation stating there were no lessons learned; 2. Dated and revised recovery plan showing any changes based on the lessons learned; and 3. Evidence of plan update distribution including, but not limited to: • Emails; • USPS or other mail service; • Electronic distribution system; or • Training sign-in sheets.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-009-R3.2,CIP-009-R3,CIP-009,R3.2,"No later than 60 calendar days after a change to the roles or responsibilities, responders, or technology that the Responsible Entity determines would impact the ability to execute the recovery plan: 3.2.1. Update the recovery plan; and 3.2.2. Notify each person or group with a defined role in the recovery plan of the updates.",High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS; Medium Impact BES Cyber Systems at Control Centers and their associated: 1. EACMS; and 2. PACS,"An example of evidence may include, but is not limited to, all of the following: 1. Dated and revised recovery plan with changes to the roles or responsibilities, responders, or technology; and 2. Evidence of plan update distribution including, but not limited to: • Emails; • USPS or other mail service; • Electronic distribution system; or • Training sign-in sheets.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-010-R1.1,CIP-010-R1,CIP-010,R1.1,"Develop a baseline configuration, individually or by group, which shall include the following items: 1.1.1. Operating system(s) (including version) or firmware where no independent operating system exists; 1.1.2. Any commercially available or open-source application software (including version) intentionally installed; 1.1.3. Any custom software installed; 1.1.4. Any logical network accessible ports; and 1.1.5. Any security patches applied.",High Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA; Medium Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA,"Examples of evidence may include, but are not limited to: • A spreadsheet identifying the required items of the baseline configuration for each Cyber Asset, individually or by group; or • A record in an asset management system that identifies the required items of the baseline configuration for each Cyber Asset, individually or by group.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-010-R1.2,CIP-010-R1,CIP-010,R1.2,Authorize and document changes that deviate from the existing baseline configuration.,High Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA; Medium Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA,"Examples of evidence may include, but are not limited to: • A change request record and associated electronic authorization (performed by the individual or group with the authority to authorize the change) in a change management system for each change; or • Documentation that the change was performed in accordance with the requirement.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-010-R1.3,CIP-010-R1,CIP-010,R1.3,"For a change that deviates from the existing baseline configuration, update the baseline configuration as necessary within 30 calendar days of completing the change.",High Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA; Medium Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA,"An example of evidence may include, but is not limited to, updated baseline documentation with a date that is within 30 calendar days of the date of the completion of the change.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-010-R1.4,CIP-010-R1,CIP-010,R1.4,"For a change that deviates from the existing baseline configuration: 1.4.1. Prior to the change, determine required cyber security controls in CIP-005 and CIP-007 that could be impacted by the change; 1.4.2. Following the change, verify that required cyber security controls determined in 1.4.1 are not adversely affected; and 1.4.3. Document the results of the verification.",High Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA; Medium Impact BES Cyber Systems and their associated: 1. EACMS; 2. PACS; and 3. PCA,"An example of evidence may include, but is not limited to, a list of cyber security controls verified or tested along with the dated test results.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
