safeguard_id,title,asset_type,security_function,implementation_groups,description
17.4,Establish and Maintain an Incident Response Process for,Documentation,Govern,IG2;IG3,"Establish and maintain an incident response process for third-party service providers. The process should include reporting requirements and a communications plan. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
17.5,Assign Key Roles and Responsibilities,Users,Respond,IG2;IG3,"Assign key roles and responsibilities for incident response. Example roles include: incident commander, scribe, and public relations. Review and update roles and responsibilities annually, or when significant enterprise changes occur that could impact this Safeguard."
17.6,Define Mechanisms for Communicating During Incident Response,Documentation,Respond,IG2;IG3,"Define mechanisms for communicating during incident response. Example mechanisms include: out-of-band communication, secure messaging apps, and encrypted email. Review and update mechanisms annually, or when significant enterprise changes occur that could impact this Safeguard."
17.7,Conduct Routine Incident Response Exercises,Users,Recover,IG2;IG3,"Conduct routine incident response exercises. Example exercises include: tabletop exercises and simulations. Conduct exercises annually, or more frequently."
17.8,Conduct Post-Incident Reviews,Documentation,Recover,IG2;IG3,"Conduct post-incident reviews. The reviews should identify lessons learned and opportunities for improvement. Conduct reviews after each major incident."
17.9,Establish and Maintain Security Incident Thresholds,Documentation,Identify,IG3,"Establish and maintain security incident thresholds. The thresholds should differentiate between an event and an incident. Review and update thresholds annually, or when significant enterprise changes occur that could impact this Safeguard."
18.1,Establish and Maintain a Penetration Testing Program,Documentation,Govern,IG2;IG3,"Establish and maintain a penetration testing program appropriate to the size, complexity, industry, and maturity of the enterprise. Penetration testing program characteristics include scope, such as network, web application, Application Programming Interface (API), hosted services, and physical premise controls; frequency; limitations, such as acceptable hours, and excluded attack types; point of contact information; remediation, such as how findings will be routed internally; and retrospective requirements."
18.2,Perform Periodic External Penetration Tests,Network,Detect,IG2;IG3,"Perform periodic external penetration tests based on program requirements, no less than annually. External penetration testing must include enterprise and environmental reconnaissance to detect exploitable information. Penetration testing requires specialized skills and experience and must be conducted through a qualified party. The testing may be clear box or opaque box."
18.3,Perform Periodic Internal Penetration Tests,Network,Detect,IG2;IG3,"Perform periodic internal penetration tests based on program requirements, no less than annually. The testing may be clear box or opaque box. Penetration testing requires specialized skills and experience and must be conducted through a qualified party."
18.4,Validate Security Measures,Network,Protect,IG2;IG3,"Validate security measures after each penetration test. If deemed necessary, modify rulesets and capabilities to detect the techniques used by testers."
18.5,Perform Periodic Red Team Exercises,Network,Detect,IG3,"Perform periodic red team exercises to test organizational readiness to identify and stop attacks or to respond quickly and effectively. Red team exercises must be conducted through a qualified party."
