hipaa_id,hipaa_title,hipaa_standard_id,cfr_citation,nist_function,nist_category,nist_subcategory_id,nist_subcategory_name,mapping_type,confidence,alignment_level,mapping_rationale,source_doc,source_section,source_page,relationship_id,created_date,created_by
HIPAA-164.312(c)(1),Integrity Controls,RS-IC-001,45 CFR 164.312(c)(1),Protect,Data Security,PR.DS-01,Data at rest is protected,direct,High,High,Both require protection data integrity,NIST SP 800-66r2,5.3.3,71,REL-HIPAA-RS-IC-001-NIST-PR.DS-01,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.312(c)(2),Mechanism to Authenticate Data,RS-MAD-001,45 CFR 164.312(c)(2),Protect,Data Security,PR.DS-01,Data at rest is protected,direct,High,High,Electronic mechanisms verify data not improperly altered,NIST SP 800-66r2,5.3.3,72,REL-HIPAA-RS-MAD-001-NIST-PR.DS-01,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.312(d),Person or Entity Authentication,RS-PEA-001,45 CFR 164.312(d),Protect,Access Management,PR.AA-03,Authentication processes are managed,direct,High,High,Both require authentication users services,NIST SP 800-66r2,5.3.4,73,REL-HIPAA-RS-PEA-001-NIST-PR.AA-03,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.312(d),Person or Entity Authentication,RS-PEA-001,45 CFR 164.312(d),Protect,Access Management,PR.AA-02,Identity proofing and binding of identities are managed,partial,High,High,Authentication requires identity proofing binding credentials,NIST SP 800-66r2,5.3.4,73,REL-HIPAA-RS-PEA-001-NIST-PR.AA-02,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.312(e)(1),Transmission Security,RS-TS-001,45 CFR 164.312(e)(1),Protect,Data Security,PR.DS-02,Data in transit is protected,direct,High,High,Both require protection confidentiality integrity data-in-transit,NIST SP 800-66r2,5.3.5,75,REL-HIPAA-RS-TS-001-NIST-PR.DS-02,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.312(e)(1),Transmission Security,RS-TS-001,45 CFR 164.312(e)(1),Protect,Infrastructure,PR.IR-01,System infrastructure resilience and data confidentiality are protected,partial,Medium,Medium,Network protection helps secure data transmission,NIST SP 800-66r2,5.3.5,75,REL-HIPAA-RS-TS-001-NIST-PR.IR-01,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.312(e)(2)(i),Encryption in Transit,RS-EIT-001,45 CFR 164.312(e)(2)(i),Protect,Data Security,PR.DS-02,Data in transit is protected,direct,High,High,Both ensure transmitted data not improperly modified,NIST SP 800-66r2,5.3.5,76,REL-HIPAA-RS-EIT-001-NIST-PR.DS-02,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.312(e)(2)(ii),Encryption During Transmission,RS-EDT-001,45 CFR 164.312(e)(2)(ii),Protect,Data Security,PR.DS-02,Data in transit is protected,direct,High,High,Encryption protects data-in-transit confidentiality,NIST SP 800-66r2,5.3.5,76,REL-HIPAA-RS-EDT-001-NIST-PR.DS-02,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.316(a),Standards and Implementation Specifications,RS-STD-001,45 CFR 164.316(a),Govern,Policy Organization,GV.PO-01,Policies are established and enforced,direct,High,High,Both require cybersecurity policy established enforced,NIST SP 800-66r2,5.5.1,81,REL-HIPAA-RS-STD-001-NIST-GV.PO-01,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.316(b)(1),Documentation,RS-DOC-001,45 CFR 164.316(b)(1),Govern,Policy Organization,GV.PO-01,Policies are established and enforced,partial,High,High,Documentation supports policy implementation,NIST SP 800-66r2,5.5.2,83,REL-HIPAA-RS-DOC-001-NIST-GV.PO-01,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.316(b)(1),Documentation,RS-DOC-001,45 CFR 164.316(b)(1),Identify,Improvement,ID.IM-03,Operational processes are documented and implemented,partial,Medium,Medium,Documentation operational processes supports improvement identification,NIST SP 800-66r2,5.5.2,83,REL-HIPAA-RS-DOC-001-NIST-ID.IM-03,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.404(b),Individual Notification,RS-BN-IND-001,45 CFR 164.404(b),Identify,Improvement,ID.IM-04,Incident response plans are established communicated and maintained,direct,High,High,Both require notification individuals security breach unsecured PHI,NIST SP 800-66r2,5.6,88,REL-HIPAA-RS-BN-IND-001-NIST-ID.IM-04,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.404(b),Individual Notification,RS-BN-IND-001,45 CFR 164.404(b),Respond,Coordination,RS.CO-02,Stakeholder notification about incidents is performed,direct,High,High,Breach notification requires informing affected parties incidents,NIST SP 800-66r2,5.6,88,REL-HIPAA-RS-BN-IND-001-NIST-RS.CO-02,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.406(b),Notification Procedures,RS-BN-NP-001,45 CFR 164.406(b),Identify,Improvement,ID.IM-04,Incident response plans are established communicated and maintained,partial,High,High,Notification procedures established maintained,NIST SP 800-66r2,5.6,89,REL-HIPAA-RS-BN-NP-001-NIST-ID.IM-04,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.410(b),HHS Notification,RS-BN-HHS-001,45 CFR 164.410(b),Identify,Improvement,ID.IM-04,Incident response plans are established communicated and maintained,direct,High,High,Both require notification federal authorities data breaches,NIST SP 800-66r2,5.6,89,REL-HIPAA-RS-BN-HHS-001-NIST-ID.IM-04,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.504(e),Business Associate Breach Notification,RS-BA-BN-001,45 CFR 164.504(e),Govern,Supply Chain,GV.SC-02,Cybersecurity roles and responsibilities with suppliers are established,direct,High,High,Business associate security obligations require notification,NIST SP 800-66r2,5.7,92,REL-HIPAA-RS-BA-BN-001-NIST-GV.SC-02,2026-01-10,HIPAA_Framework_Mapper
